episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1011.9968148077381,55.0,0.695049504950495,0.0,0.7405140758873927,1.0,200,0.0,0.0,11.0,19.0,20.0,0.02,1.0,1.0
2,200,-1029.4131197845925,33.0,0.7197452229299363,0.0,0.49839816933638426,1.0,400,0.0,0.0,15.0,14.0,10.0,0.005,1.0,1.0
3,200,-933.8249919485504,74.0,0.655310621242485,0.0,0.9441379310344826,1.0,600,0.0,0.0,20.0,18.0,28.0,0.0,1.0,1.0
4,200,-990.8482337501098,49.0,0.6960985626283368,0.0,0.5750898203592814,1.0,800,0.0,0.0,18.0,17.0,16.0,0.0,1.0,1.0
5,200,-1184.405864368225,35.0,0.7563176895306859,0.0,0.49695740365111546,0.999981,1000,4.047163963317871,-0.011043733917176723,18.0,13.0,14.0,0.02,1.0,1.0
6,200,-973.612642118689,32.0,0.7053571428571429,0.0,0.4338983050847456,0.996181,1200,1.745827333331108,-4.265662239426747,8.0,15.0,10.0,0.01,1.0,1.0
7,200,-1018.5600397288181,44.0,0.7051546391752578,0.0,0.3926977687626774,0.992381,1400,1.1189653140306473,-4.801521883010865,18.0,10.0,17.0,0.005,1.0,1.0
8,200,-1023.7711315170457,34.0,0.7215189873417721,0.0,0.285432098765432,0.988581,1600,0.9073837473988533,-4.853866903781891,9.0,19.0,8.0,0.005,1.0,1.0
9,200,-1025.0076951923236,49.0,0.7128712871287128,0.0,0.522524483133841,0.984781,1800,0.7821632680296898,-4.83987178325653,16.0,14.0,18.0,0.015,1.0,1.0
10,200,-1036.9268962428866,26.0,0.7319148936170212,0.0,0.38192090395480205,0.980981,2000,0.7586204029619694,-4.915972127914428,12.0,19.0,4.0,0.005,1.0,1.0
11,200,-981.7532459310071,49.0,0.6953781512605042,0.0,0.5935723114956736,0.977181,2200,0.970596709549427,-4.628007185459137,20.0,15.0,18.0,0.01,1.0,1.0
12,200,-1081.1036291596622,16.0,0.7542372881355932,0.0,0.43389830508474503,0.973381,2400,0.8834369453787804,-4.8616856098175045,6.0,10.0,3.0,0.0,1.0,1.0
13,200,-926.93130313115,74.0,0.6526946107784432,0.0,0.7272244355909694,0.969581,2600,0.9171154093742371,-5.323059048652649,15.0,27.0,25.0,0.01,1.0,1.0
14,200,-1062.1062115854681,39.0,0.7225548902195609,0.0,0.5346221441124779,0.965781,2800,1.0507692709565162,-6.036540973186493,13.0,12.0,15.0,0.01,1.0,1.0
15,200,-971.0293428814415,69.0,0.6666666666666666,0.0,0.8479073909171859,0.961981,3000,1.1159784591197968,-6.354010744094849,22.0,17.0,27.0,0.01,1.0,1.0
16,200,-964.8291454470007,77.0,0.6588693957115009,0.0,0.7004134672179562,0.958181,3200,1.0246143478155136,-6.629960649013519,19.0,24.0,27.0,0.005,1.0,1.0
17,200,-1078.3762012992588,42.0,0.7253384912959381,0.0,0.597966101694915,0.954381,3400,0.9993328034877778,-6.9108497166633605,18.0,23.0,10.0,0.005,1.0,1.0
18,200,-1006.748914174466,43.0,0.7081632653061225,0.0,0.759342915811088,0.950581,3600,0.9597658753395081,-7.018882598876953,13.0,14.0,16.0,0.015,1.0,1.0
19,200,-1025.315982467706,52.0,0.6978131212723658,0.0,0.875080906148867,0.946781,3800,0.9816979649662971,-7.338310968875885,27.0,14.0,21.0,0.01,0.9230769230769231,1.0
20,200,-1102.2161508539625,26.0,0.7464788732394366,0.0,0.3976470588235292,0.942981,4000,0.9806738248467446,-7.363177568912506,29.0,12.0,7.0,0.005,1.0,1.0
21,200,-979.1635309951587,72.0,0.6705202312138728,0.0,0.9207815275310833,0.939181,4200,1.057413623034954,-6.592302002906799,19.0,24.0,25.0,0.005,1.0,1.0
22,200,-990.80352854046,48.0,0.6942148760330579,0.0,0.7890410958904107,0.935381,4400,0.9865592348575593,-6.955476469993592,21.0,16.0,19.0,0.025,1.0,1.0
23,200,-1061.1703853842434,50.0,0.715370018975332,0.0,0.6849315068493149,0.931581,4600,1.002222944200039,-7.318887641429901,17.0,19.0,17.0,0.005,1.0,1.0
24,200,-1002.5377780682517,37.0,0.7136842105263158,0.0,0.51758034026465,0.927781,4800,1.0068655943870544,-7.5607258772850034,7.0,8.0,15.0,0.01,1.0,1.0
25,200,-969.7827584270971,59.0,0.6748466257668712,0.0,0.6941176470588234,0.923981,5000,1.0506977671384812,-7.844563820362091,28.0,22.0,19.0,0.005,1.0,1.0
26,200,-966.1137520328774,58.0,0.6768916155419223,0.0,0.6921810699588477,0.920181,5200,1.0325461149215698,-7.373539700508117,20.0,29.0,17.0,0.02,1.0,1.0
