episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1011.9968148077381,55.0,0.695049504950495,0.0,0.7405140758873927,1.0,cuda,200,0.0,0.0,11.0,19.0,20.0,0.02,1.0,1.0
2,200,-1004.5685790815494,37.0,0.7112526539278131,0.0,0.6534606205250594,1.0,cuda,400,0.0,0.0,15.0,16.0,12.0,0.015,1.0,1.0
3,200,-1076.4284561956858,31.0,0.7399193548387096,0.0,0.39792960662525867,1.0,cuda,600,0.0,0.0,9.0,12.0,10.0,0.005,1.0,1.0
4,200,-886.2619955203525,62.0,0.6553191489361702,0.0,0.8796338672768876,1.0,cuda,800,0.0,0.0,12.0,14.0,24.0,0.0,1.0,1.0
5,200,-1146.1759533626048,37.0,0.750465549348231,0.0,0.6827930174563588,1.0,cuda,1000,0.0,0.0,9.0,13.0,13.0,0.005,1.0,1.0
6,200,-940.5462488179647,44.0,0.6814159292035398,0.0,0.5054830287206266,1.0,cuda,1200,0.0,0.0,17.0,15.0,16.0,0.025,1.0,1.0
7,200,-1020.9894594070703,39.0,0.7098121085594989,0.0,0.6961098398169333,1.0,cuda,1400,0.0,0.0,13.0,19.0,10.0,0.0,1.0,1.0
8,200,-1006.385675478874,48.0,0.7026476578411406,0.0,0.6243902439024389,1.0,cuda,1600,0.0,0.0,25.0,18.0,15.0,0.01,1.0,1.0
9,200,-1008.7250900617264,49.0,0.7014028056112225,0.0,0.5906519065190651,1.0,cuda,1800,0.0,0.0,20.0,12.0,20.0,0.01,1.0,1.0
10,200,-1012.1272766249572,25.0,0.7270742358078602,0.0,0.399361022364217,0.999962,cuda,2000,4.920324325561523,-0.002641131170094013,10.0,11.0,7.0,0.0,1.0,1.0
11,200,-1016.5335903574795,42.0,0.7125256673511293,0.0,0.5939393939393938,0.992362,cuda,2200,2.1176205134391783,-3.867212528884411,15.0,16.0,15.0,0.025,1.0,1.0
12,200,-989.1031461159204,39.0,0.7036247334754797,0.0,0.5235800344234077,0.984762,cuda,2400,1.3661714124679565,-4.7132401323318485,11.0,7.0,19.0,0.02,1.0,1.0
13,200,-961.0493828211088,63.0,0.6713709677419355,0.0,0.8544671689989234,0.977162,cuda,2600,1.2726233008503913,-4.732577047348022,29.0,21.0,22.0,0.005,1.0,1.0
14,200,-1055.4846438732238,39.0,0.7231075697211156,0.0,0.310091743119266,0.969562,cuda,2800,1.1765139666199684,-4.776495397090912,10.0,12.0,14.0,0.01,1.0,1.0
15,200,-1107.355226513419,37.0,0.7365384615384616,0.0,0.5576374745417513,0.961962,cuda,3000,1.1028558543324471,-4.843335897922516,11.0,12.0,14.0,0.01,1.0,1.0
16,200,-1023.0725833416899,62.0,0.6911196911196911,0.0,0.7252830188679245,0.954362,cuda,3200,1.38609044611454,-6.177416315078736,24.0,20.0,21.0,0.0,1.0,1.0
17,200,-1011.9220311453887,60.0,0.6903353057199211,0.0,0.5128205128205128,0.946762,cuda,3400,1.332630387544632,-6.566194734573364,14.0,20.0,22.0,0.01,1.0,1.0
18,200,-991.126137979681,46.0,0.702928870292887,0.0,0.7530249110320282,0.939162,cuda,3600,1.3236263450980186,-6.9449516820907595,17.0,20.0,14.0,0.01,1.0,1.0
19,200,-1155.7589672548547,18.0,0.7708737864077669,0.0,0.5311475409836056,0.931562,cuda,3800,1.2879924550652504,-7.0119481682777405,13.0,7.0,6.0,0.01,1.0,1.0
20,200,-1011.6957078834624,49.0,0.6973415132924335,0.0,0.7072164948453606,0.923962,cuda,4000,1.3019927644729614,-7.268295509815216,16.0,18.0,16.0,0.01,1.0,1.0
