episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate,fallback_count,fallback_rate,executor_idle_count,executor_harvest_count,executor_backscatter_count,executor_active_count,executor_avoid_jammer_count,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1602.104572556995,170.0,0.489202657807309,0.4580152671755725,0.5492208285822882,1.0,cuda,standard,none,1.0,400,0.0,0.0,32.0,235.0,29.0,0.005,0.461038961038961,0.56,1.0,1.0,68.0,32.0,235.0,29.0,36.0,43.0,44.0,39.0,39.0,44.0,36.0,36.0,41.0,38.0,40.0
2,200,-1629.7366044177004,198.0,0.48642172523961663,0.4826388888888889,0.2957230142566191,1.0,cuda,standard,none,1.0,800,0.0,0.0,33.0,256.0,33.0,0.0025,0.5729166666666666,0.5238095238095238,7.0,7.0,36.0,33.0,256.0,33.0,42.0,36.0,59.0,40.0,33.0,40.0,39.0,42.0,43.0,37.0,31.0
3,200,-1562.8635882384178,157.0,0.49217391304347824,0.4789272030651341,0.2116793335909657,1.0,cuda,standard,none,1.0,1200,0.0,0.0,34.0,234.0,27.0,0.0,0.5675675675675675,0.20833333333333334,21.0,21.0,55.0,34.0,234.0,27.0,50.0,52.0,52.0,37.0,42.0,35.0,39.0,50.0,22.0,33.0,38.0
4,200,-1477.62339193049,218.0,0.45544554455445546,0.4507042253521127,0.436640940830577,1.0,cuda,standard,none,1.0,1600,0.0,0.0,40.0,246.0,38.0,0.0,0.44675324675324674,0.6388888888888888,2.0,2.0,48.0,40.0,246.0,38.0,28.0,25.0,34.0,37.0,53.0,37.0,50.0,28.0,45.0,48.0,43.0
5,200,-1873.4336922976775,138.0,0.5503458877786318,0.5858585858585859,0.21912323092854677,0.999962,cuda,standard,none,1.0,2000,7.191473960876465,-0.0073318080976605415,22.0,177.0,21.0,0.0,0.5411255411255411,0.35135135135135137,60.0,60.0,133.0,22.0,177.0,21.0,47.0,43.0,35.0,47.0,30.0,43.0,29.0,47.0,54.0,46.0,26.0
6,200,-1578.4875334104308,173.0,0.4850498338870432,0.45384615384615384,0.4539855896852484,0.992362,cuda,standard,none,1.0,2400,3.1840061116218568,-6.582449121326208,35.0,229.0,31.0,0.0,0.5111940298507462,0.6545454545454545,2.0,2.0,64.0,35.0,229.0,31.0,41.0,32.0,30.0,51.0,41.0,41.0,44.0,41.0,40.0,40.0,40.0
7,200,-1611.2097148552596,154.0,0.5180412371134021,0.5021097046413502,0.2006429780033841,0.984762,cuda,standard,none,1.0,2800,2.1269416707754134,-7.514404323101044,29.0,213.0,24.0,0.0,0.3932926829268293,0.5813953488372093,27.0,27.0,88.0,29.0,213.0,24.0,46.0,45.0,36.0,42.0,32.0,41.0,36.0,46.0,38.0,38.0,46.0
8,200,-1518.3178967751044,202.0,0.47753743760399336,0.4396887159533074,0.47014633022237584,0.977162,cuda,standard,none,1.0,3200,2.074583934545517,-7.500338242053986,29.0,233.0,25.0,0.0025,0.5860927152317881,0.5319148936170213,14.0,14.0,69.0,29.0,233.0,25.0,44.0,35.0,36.0,37.0,45.0,46.0,45.0,44.0,30.0,44.0,38.0
9,200,-1490.702883721044,203.0,0.4631043256997455,0.46996466431095407,0.2825533957283417,0.969562,cuda,standard,none,1.0,3600,2.0329146271944047,-7.547081897258758,34.0,255.0,28.0,0.0,0.4972067039106145,0.4807692307692308,2.0,2.0,52.0,34.0,255.0,28.0,31.0,53.0,38.0,41.0,38.0,37.0,41.0,31.0,41.0,45.0,35.0
10,200,-1523.8141421921225,186.0,0.4680672268907563,0.450354609929078,0.38286852589641435,0.961962,cuda,standard,none,1.0,4000,2.0268998342752456,-7.592790675163269,36.0,242.0,42.0,0.005,0.5787401574803149,0.4936708860759494,1.0,1.0,46.0,36.0,242.0,42.0,34.0,45.0,33.0,38.0,37.0,42.0,44.0,34.0,40.0,38.0,49.0
11,200,-1467.4951846036633,197.0,0.45361702127659576,0.4641638225255973,0.5026746972346351,0.954362,cuda,standard,none,1.0,4400,2.3323253452777863,-14.073434557914734,34.0,258.0,35.0,0.0,0.5602836879432624,0.65,2.0,2.0,31.0,34.0,258.0,35.0,42.0,39.0,32.0,35.0,34.0,44.0,43.0,42.0,44.0,38.0,49.0
12,200,-1477.9622938877283,192.0,0.4613423959218352,0.48161764705882354,0.32370916754478396,0.946762,cuda,standard,none,1.0,4800,2.077593693733215,-14.05642792224884,33.0,237.0,36.0,0.0025,0.5729166666666666,0.39705882352941174,10.0,10.0,49.0,33.0,237.0,36.0,45.0,42.0,39.0,48.0,36.0,40.0,38.0,45.0,41.0,40.0,31.0
13,200,-1629.2908975166326,200.0,0.5,0.46946564885496184,0.3315924728508663,0.939162,cuda,standard,none,1.0,5200,2.085129024386406,-14.112556052207946,28.0,232.0,30.0,0.0,0.6,0.5087719298245614,5.0,5.0,67.0,28.0,232.0,30.0,43.0,49.0,53.0,35.0,37.0,45.0,39.0,43.0,29.0,41.0,29.0
14,200,-1553.1182785497947,183.0,0.4824120603015075,0.45348837209302323,0.3736569037656904,0.931562,cuda,standard,none,1.0,5600,2.0584515112638475,-14.386698293685914,33.0,226.0,32.0,0.0,0.5902255639097744,0.4642857142857143,17.0,17.0,63.0,33.0,226.0,32.0,46.0,48.0,40.0,45.0,31.0,33.0,41.0,46.0,42.0,44.0,30.0
15,200,-1849.84790305063,121.0,0.5358024691358024,0.604982206405694,0.3502212653988757,0.923962,cuda,standard,none,1.0,6000,2.1136387795209886,-14.51207645893097,31.0,256.0,27.0,0.005,0.3218390804597701,0.1875,2.0,2.0,54.0,31.0,256.0,27.0,32.0,46.0,37.0,48.0,32.0,35.0,39.0,32.0,50.0,40.0,41.0
16,200,-1577.7911521754822,191.0,0.48559670781893005,0.44565217391304346,0.44340322090549983,0.916362,cuda,standard,none,1.0,6400,2.371369031071663,-21.82633247375488,35.0,244.0,32.0,0.0,0.4921135646687697,0.5555555555555556,3.0,3.0,49.0,35.0,244.0,32.0,40.0,44.0,49.0,37.0,35.0,39.0,39.0,40.0,35.0,48.0,34.0
17,200,-1603.2019923796713,181.0,0.4922322158626329,0.4475806451612903,0.36688504395542865,0.908762,cuda,standard,none,1.0,6800,2.1628495347499848,-22.0403675365448,43.0,217.0,31.0,0.0,0.624031007751938,0.4,14.0,14.0,67.0,43.0,217.0,31.0,42.0,38.0,40.0,37.0,43.0,32.0,54.0,42.0,36.0,50.0,28.0
