total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14
-1120.3679098791215,23.0,0.115,0.045275590551181105,0.7578740157480315,17.421000000000017,151.48695652173927,0.7072713524577323,27.519343417595177,5.0,32.51934341759518,0.0,0.0,0.39924528301886764,0.0,3.0,0.015,3.0,0.015,0.0,0.0,0.0,0.0,0.0,13.0,10.0,13.0,10.0,1.0,1.0,12.0,82.0,12.0,14.0,7.0,85.0,0.0,0.0,23.0,0.0,0.0,11.0,0.0,12.0,0,random,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-1032.6486332355869,46.0,0.23,0.09145129224652088,0.709741550695825,17.567000000000007,76.37826086956525,1.0899149027095905,27.205129855222076,15.0,42.205129855222076,0.0,0.0,0.7221843003412967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,16.0,30.0,1.0,1.0,9.0,77.0,9.0,16.0,15.0,83.0,0.0,0.0,46.0,15.0,6.0,10.0,0.0,15.0,1,random,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-752.185954095122,140.0,0.7,0.2697495183044316,0.5645472061657033,14.232000000000001,20.331428571428575,5.996095307421245,7.348528137423839,16.0,23.34852813742384,0.0,0.0,0.3467185565186627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,27.0,113.0,27.0,1.0,1.0,1.0,70.0,1.0,113.0,16.0,0.0,0.0,0.0,140.0,16.0,0.0,21.0,0.0,103.0,0,greedy_nearest,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-689.755378182567,140.0,0.7,0.2777777777777778,0.5357142857142857,13.524000000000008,19.32000000000001,6.2084257206208475,6.549999999999985,16.0,22.549999999999983,0.0,0.0,0.43295780870333556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,26.0,114.0,26.0,1.0,1.0,1.0,69.0,1.0,114.0,16.0,0.0,0.0,0.0,140.0,0.0,86.0,17.0,0.0,37.0,1,greedy_nearest,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-606.2430014303505,167.0,0.835,0.3306930693069307,0.48514851485148514,13.401000000000005,16.049101796407193,4.122010161764525,8.514213562373085,32.0,40.51421356237309,0.0,0.0,0.5050982522865164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,58.0,109.0,58.0,1.0,1.0,1.0,58.0,1.0,109.0,32.0,0.0,0.0,0.0,167.0,99.0,12.0,23.0,13.0,20.0,0,greedy_sinr,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-605.5285441760982,163.0,0.815,0.326,0.486,13.436000000000014,16.485889570552164,4.18148455136807,7.981370849898459,31.0,38.98137084989846,0.0,0.0,0.5582309066078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,58.0,105.0,58.0,1.0,1.0,1.0,63.0,1.0,105.0,31.0,0.0,0.0,0.0,163.0,12.0,89.0,25.0,10.0,27.0,1,greedy_sinr,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-657.8313188291523,163.0,0.815,0.3247011952191235,0.5179282868525896,13.849999999999993,16.99386503067484,1.6709631924980946,10.548528137423874,87.0,97.54852813742387,0.0,0.0,0.3999849454271735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,163.0,0.0,1.0,82.37998071171593,6.0,107.0,0.0,87.0,0.0,0.0,0.0,163.0,12.0,0.0,46.0,0.0,105.0,0,htt_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-771.6902646938709,144.0,0.72,0.2722117202268431,0.5727788279773157,14.142000000000003,19.641666666666673,1.5935252338631931,10.365685424949241,80.0,90.36568542494925,0.0,0.0,0.33711591611120145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,0.0,1.0,69.64314966995587,4.0,116.0,0.0,80.0,0.0,0.0,0.0,144.0,12.0,109.0,14.0,0.0,9.0,1,htt_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-832.4225563696086,116.0,0.58,0.22789783889980353,0.618860510805501,14.487,24.977586206896554,19.829059829059872,5.849999999999987,0.0,5.849999999999987,0.0,0.0,0.27545547594677583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,1.0,0.0,1.0,83.0,1.0,116.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,97.0,0.0,19.0,0,backscatter_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-833.7248920437154,99.0,0.495,0.2028688524590164,0.610655737704918,15.293000000000008,30.89494949494951,19.80000000000004,4.99999999999999,0.0,4.99999999999999,0.0,0.0,0.22569948186528496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,1.0,0.0,1.0,100.0,1.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,93.0,0.0,0.0,6.0,1,backscatter_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
