total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14
-2525.2279098791178,23.0,0.115,0.019279128248113998,0.8968985750209556,19.16400000000001,166.64347826086964,0.7072713524577323,27.519343417595177,5.0,32.51934341759518,0.0,0.0,0.39924528301886764,0.0,3.0,0.015,3.0,0.015,0.0,0.0,0.0,0.0,0.0,13.0,10.0,13.0,10.0,1.0,1.0,12.0,82.0,12.0,14.0,7.0,85.0,0.0,0.0,23.0,0.0,0.0,11.0,0.0,12.0,0,random,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2457.98149650291,49.0,0.245,0.04066390041493776,0.8763485477178423,19.083999999999993,77.89387755102038,1.0863509351880738,27.105129855222067,18.0,45.10512985522207,0.0,0.0,0.6889526542324245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,36.0,13.0,36.0,1.0,1.0,14.0,79.0,14.0,13.0,18.0,76.0,0.0,0.0,49.0,14.0,4.0,14.0,0.0,17.0,1,random,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2435.0184401358047,25.0,0.125,0.021739130434782608,0.8913043478260869,19.223000000000003,153.78400000000002,0.6892873607376048,27.26934341759518,9.0,36.26934341759518,0.0,0.0,0.3709198813056378,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,7.0,18.0,7.0,18.0,1.0,1.0,13.0,83.0,14.0,7.0,9.0,87.0,0.0,0.0,25.0,16.0,0.0,9.0,0.0,0.0,2,random,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2262.2027277662614,137.0,0.685,0.11084142394822007,0.808252427184466,18.488000000000024,26.989781021897844,9.448275862068975,6.499999999999985,8.0,14.499999999999986,0.0,0.0,0.20592462559657687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,16.0,121.0,16.0,1.0,1.0,1.0,70.0,1.0,121.0,8.0,0.0,0.0,0.0,137.0,0.0,0.0,135.0,0.0,2.0,0,greedy_nearest,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2270.2795,126.0,0.63,0.10310965630114566,0.8150572831423896,18.619000000000025,29.553968253968293,9.032258064516137,5.949999999999987,8.0,13.949999999999987,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,16.0,110.0,16.0,1.0,1.0,1.0,81.0,1.0,110.0,8.0,0.0,0.0,0.0,126.0,0.0,126.0,0.0,0.0,0.0,1,greedy_nearest,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2117.0091010892784,124.0,0.62,0.10877192982456141,0.8043859649122806,18.79700000000002,30.3177419354839,10.333333333333346,5.999999999999987,6.0,11.999999999999986,0.0,0.0,0.20655561526061259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,12.0,113.0,12.0,0.9911504424778761,1.0,1.0,80.0,1.0,113.0,6.0,0.0,0.0,0.0,124.0,122.0,0.0,0.0,2.0,0.0,2,greedy_nearest,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2099.1772665731964,180.0,0.9,0.14705882352941177,0.7720588235294118,18.49900000000003,20.554444444444478,4.404832108790176,8.864213562373092,32.0,40.864213562373095,0.0,0.0,0.6177311725452812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,64.0,116.0,64.0,1.0,1.0,1.0,51.0,1.0,116.0,32.0,0.0,0.0,0.0,180.0,83.0,12.0,54.0,10.0,21.0,0,greedy_sinr,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2141.8478070174933,167.0,0.835,0.1362153344208809,0.7822185970636215,18.322000000000024,21.94251497005991,4.284097669193053,7.981370849898458,31.0,38.98137084989846,0.0,0.0,0.37282267228126464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,62.0,105.0,62.0,1.0,1.0,1.0,63.0,1.0,105.0,31.0,0.0,0.0,0.0,167.0,12.0,120.0,14.0,10.0,11.0,1,greedy_sinr,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-1993.9164182663658,166.0,0.83,0.144473455178416,0.7684943429068756,18.67700000000002,22.502409638554244,4.46563172008908,8.172792206135771,29.0,37.17279220613577,0.0,0.0,0.3794546956761223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,58.0,108.0,58.0,1.0,1.0,1.0,62.0,1.0,108.0,29.0,0.0,0.0,0.0,166.0,118.0,14.0,8.0,12.0,14.0,2,greedy_sinr,scenario_0_no_jammer_calibrated,,,,,,,,,,,
-2030.5600000000002,188.0,0.94,0.15679733110925773,0.762301918265221,17.954999999999995,19.10106382978723,1.8076923076923077,10.000000000000007,94.0,104.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,188.0,0.0,1.0,95.95544119203859,0.0,106.0,0.0,94.0,0.0,0.0,0.0,188.0,0.0,0.0,188.0,0.0,0.0,0,htt_only,scenario_0_no_jammer_calibrated,,,,,,,,,,,
