episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1553.5838278743947,178.0,0.4765494137353434,0.4490566037735849,0.5111971603743143,0.9924,1,0.0,0.0,29.0,239.0,28.0,0.4866666666666667,0.6666666666666666,0.0025,cuda,43.0,45.0,39.0,40.0,47.0,36.0,37.0,43.0,34.0,36.0
2,200,-1680.5458954587712,188.0,0.5103833865814696,0.46296296296296297,0.3063269197434564,0.9848,2,0.0,0.0,34.0,238.0,33.0,0.53125,0.5833333333333334,0.0125,cuda,36.0,52.0,45.0,34.0,31.0,49.0,44.0,36.0,35.0,38.0
3,200,-1526.504936261475,159.0,0.4819383259911894,0.4867924528301887,0.29677760169043843,0.9772,3,0.0,0.0,31.0,231.0,34.0,0.5582329317269076,0.3125,0.0325,cuda,42.0,41.0,46.0,44.0,28.0,41.0,36.0,41.0,39.0,42.0
4,200,-1571.7640339663128,208.0,0.48778501628664495,0.45323741007194246,0.3617088872167879,0.9696,4,0.0,0.0,41.0,243.0,35.0,0.46612466124661245,0.5454545454545454,0.015,cuda,36.0,34.0,42.0,42.0,41.0,50.0,43.0,42.0,31.0,39.0
5,200,-1705.2855948573565,207.0,0.5069230769230769,0.44787644787644787,0.3236940509915014,0.962,5,0.0,0.0,28.0,234.0,25.0,0.49473684210526314,0.3877551020408163,0.01,cuda,34.0,34.0,45.0,33.0,43.0,38.0,54.0,45.0,46.0,28.0
6,200,-1589.8321905202258,182.0,0.4834710743801653,0.4842105263157895,0.37929691972976065,0.9544,6,0.0,0.0,37.0,252.0,33.0,0.3978201634877384,0.5714285714285714,0.0025,cuda,36.0,35.0,57.0,38.0,32.0,43.0,38.0,38.0,41.0,42.0
7,200,-1470.5251190214299,186.0,0.4768962510897995,0.4782608695652174,0.2315197751455531,0.9468,7,0.0,0.0,19.0,236.0,17.0,0.5219941348973607,0.23529411764705882,0.045,cuda,47.0,61.0,46.0,34.0,31.0,27.0,50.0,31.0,29.0,44.0
8,200,-1442.4444789955053,219.0,0.44830438378825477,0.46503496503496505,0.4210983800869222,0.9392,8,0.0,0.0,27.0,253.0,34.0,0.5956112852664577,0.47540983606557374,0.0425,cuda,26.0,47.0,52.0,41.0,47.0,37.0,30.0,34.0,46.0,40.0
9,200,-1480.5020577885412,202.0,0.46729776247848537,0.47796610169491527,0.31469998457504245,0.9316,9,0.0,0.0,36.0,263.0,32.0,0.47107438016528924,0.543859649122807,0.0025,cuda,40.0,32.0,58.0,28.0,38.0,42.0,35.0,39.0,30.0,58.0
10,200,-1542.8402813717087,187.0,0.4751892346509672,0.4756944444444444,0.3114584725005567,0.924,10,97.8702621459961,-0.3221844482421875,35.0,244.0,44.0,0.5534351145038168,0.5121951219512195,0.0075,cuda,29.0,38.0,64.0,28.0,39.0,43.0,35.0,40.0,43.0,41.0
11,200,-1583.9106249958877,176.0,0.5012722646310432,0.4584837545126354,0.23984514130855594,0.9164,11,95.65062713623047,-0.48469293767755683,27.0,250.0,27.0,0.5407407407407407,0.625,0.0125,cuda,38.0,42.0,61.0,33.0,35.0,36.0,47.0,35.0,32.0,41.0
12,200,-1515.7652053247623,189.0,0.46999154691462386,0.47761194029850745,0.3050339438965031,0.9088,12,92.1885986328125,-0.6521333821614583,31.0,239.0,30.0,0.5694444444444444,0.44642857142857145,0.025,cuda,30.0,43.0,62.0,33.0,32.0,41.0,31.0,44.0,37.0,47.0
13,200,-1620.8681604261615,211.0,0.49238171611868486,0.4857142857142857,0.33932395869059867,0.9012,13,89.79131317138672,-0.8158349609375,24.0,256.0,25.0,0.5930599369085173,0.5227272727272727,0.0075,cuda,31.0,65.0,43.0,37.0,37.0,30.0,42.0,42.0,42.0,31.0
14,200,-1723.626429919263,139.0,0.5196982397317687,0.5353159851301115,0.25491127383072765,0.8936,14,87.77196502685547,-0.985029296875,33.0,239.0,30.0,0.41025641025641024,0.5192307692307693,0.015,cuda,41.0,48.0,63.0,31.0,28.0,38.0,40.0,42.0,33.0,36.0
15,200,-1695.9391364240366,173.0,0.5063897763578274,0.4612546125461255,0.3756856838009163,0.886,15,85.6021728515625,-1.1597368977864584,32.0,248.0,23.0,0.550561797752809,0.6842105263157895,0.0175,cuda,42.0,56.0,40.0,35.0,35.0,35.0,33.0,37.0,37.0,50.0
16,200,-1529.371070087611,215.0,0.4730392156862745,0.4219858156028369,0.43422103236109155,0.8784,16,82.33893585205078,-1.3616439819335937,25.0,248.0,34.0,0.5522875816993464,0.71875,0.0025,cuda,32.0,78.0,35.0,31.0,46.0,32.0,40.0,49.0,31.0,26.0
17,200,-1676.0271796390446,156.0,0.506578947368421,0.48582995951417,0.34519148936170213,0.8708,17,79.20763397216797,-1.5730035400390625,35.0,220.0,27.0,0.536,0.44,0.025,cuda,37.0,60.0,35.0,37.0,36.0,42.0,37.0,52.0,33.0,31.0
18,200,-1540.8314202463748,207.0,0.478441127694859,0.45733788395904434,0.28291571753986333,0.8632,18,76.45010375976562,-1.8171139526367188,26.0,263.0,30.0,0.5785953177257525,0.5666666666666667,0.015,cuda,45.0,78.0,40.0,35.0,29.0,35.0,31.0,28.0,39.0,40.0
19,200,-1695.4512814330417,176.0,0.5314569536423841,0.4618055555555556,0.18140079643944718,0.8556,19,73.99051666259766,-2.055642547607422,31.0,259.0,30.0,0.4603174603174603,0.5849056603773585,0.0275,cuda,32.0,81.0,34.0,39.0,36.0,34.0,45.0,36.0,23.0,40.0
20,200,-1578.6179377118756,185.0,0.4891666666666667,0.45724907063197023,0.30321151716500555,0.848,20,68.99400329589844,-2.351614685058594,27.0,248.0,21.0,0.4087403598971722,0.6666666666666666,0.0175,cuda,41.0,88.0,39.0,42.0,20.0,32.0,42.0,31.0,24.0,41.0
21,200,-1492.223851824474,249.0,0.46333601933924257,0.44014084507042256,0.377238295153783,0.8404,21,64.8123550415039,-2.611201171875,22.0,260.0,25.0,0.65,0.6829268292682927,0.005,cuda,42.0,85.0,45.0,44.0,33.0,26.0,31.0,34.0,29.0,31.0
22,200,-1535.6988899082119,220.0,0.4802955665024631,0.4659498207885305,0.32494125545485064,0.8328,22,58.92194366455078,-3.002528076171875,25.0,256.0,23.0,0.5789473684210527,0.5365853658536586,0.01,cuda,33.0,98.0,34.0,35.0,25.0,34.0,35.0,29.0,40.0,37.0
23,200,-1604.804647978991,184.0,0.49587458745874585,0.4659498207885305,0.3605537806176784,0.8252,23,55.393253326416016,-3.3094281005859374,22.0,258.0,21.0,0.545774647887324,0.8055555555555556,0.0375,cuda,30.0,101.0,35.0,34.0,35.0,26.0,35.0,30.0,34.0,40.0
24,200,-1594.394102280399,202.0,0.48117839607201307,0.47491638795986624,0.3340209561231172,0.8176,24,52.21760559082031,-3.8032171630859377,38.0,268.0,31.0,0.441025641025641,0.5172413793103449,0.005,cuda,30.0,115.0,30.0,24.0,32.0,43.0,29.0,34.0,40.0,23.0
25,200,-1613.1425469956048,188.0,0.48247758761206194,0.46938775510204084,0.5386983691510441,0.81,25,47.888160705566406,-4.12378173828125,34.0,270.0,24.0,0.4092071611253197,0.6086956521739131,0.015,cuda,18.0,89.0,25.0,35.0,38.0,38.0,33.0,34.0,56.0,34.0
26,200,-1620.1271789395644,177.0,0.4917898193760263,0.46886446886446886,0.3604141501294219,0.8024,26,42.73133850097656,-4.654091186523438,27.0,247.0,26.0,0.5860805860805861,0.4146341463414634,0.005,cuda,42.0,103.0,40.0,32.0,37.0,29.0,34.0,24.0,33.0,26.0
27,200,-1630.8810928718895,176.0,0.49750830564784054,0.4724137931034483,0.3061172052574365,0.7948,27,37.08672332763672,-5.333510131835937,28.0,268.0,22.0,0.40966921119592875,0.39473684210526316,0.04,cuda,27.0,97.0,34.0,22.0,34.0,33.0,35.0,33.0,52.0,33.0
28,200,-1508.2412042210503,202.0,0.45690376569037655,0.4858156028368794,0.5132578616352201,0.7872,28,34.36650848388672,-5.855517578125,21.0,259.0,24.0,0.5412844036697247,0.5555555555555556,0.015,cuda,26.0,106.0,44.0,32.0,31.0,29.0,30.0,22.0,47.0,33.0
29,200,-1508.8493787282239,194.0,0.46938775510204084,0.4697508896797153,0.42963470319634706,0.7796,29,29.604503631591797,-6.417320556640625,25.0,244.0,37.0,0.475,0.5675675675675675,0.035,cuda,32.0,93.0,33.0,36.0,44.0,32.0,26.0,34.0,39.0,31.0
30,200,-1532.4254482471938,193.0,0.4679595278246206,0.4711864406779661,0.3769950913415313,0.772,30,27.485567092895508,-7.309295654296875,24.0,272.0,23.0,0.44886363636363635,0.7954545454545454,0.005,cuda,36.0,64.0,43.0,24.0,52.0,28.0,30.0,36.0,58.0,29.0
31,200,-1447.3854257187625,204.0,0.4527027027027027,0.4673913043478261,0.4081200353045013,0.7644,31,24.79566192626953,-8.05217529296875,33.0,249.0,27.0,0.5777027027027027,0.673469387755102,0.0275,cuda,23.0,68.0,29.0,33.0,42.0,39.0,30.0,31.0,65.0,40.0
32,200,-1667.04584587189,175.0,0.5036144578313253,0.47653429602888087,0.29550827423167847,0.7568,32,24.296775817871094,-8.678729248046874,17.0,253.0,24.0,0.46987951807228917,0.4222222222222222,0.045,cuda,34.0,54.0,29.0,31.0,49.0,24.0,38.0,26.0,85.0,30.0
33,200,-1489.3784883150008,192.0,0.45755517826825126,0.4795539033457249,0.5913378248315688,0.7492,33,25.277515411376953,-9.507020263671874,24.0,243.0,26.0,0.5915492957746479,0.5217391304347826,0.0025,cuda,29.0,86.0,25.0,35.0,44.0,31.0,29.0,29.0,64.0,28.0
34,200,-1548.9187515569022,200.0,0.4699093157460841,0.45964912280701753,0.36499680627794506,0.7416,34,26.939292907714844,-10.30553466796875,18.0,266.0,20.0,0.5700934579439252,0.4857142857142857,0.04,cuda,29.0,74.0,37.0,35.0,34.0,21.0,33.0,28.0,75.0,34.0
35,200,-2076.1348364851688,47.0,0.5841081994928149,0.8483754512635379,0.2904667981591058,0.734,35,27.544166564941406,-10.49744384765625,24.0,252.0,25.0,0.17228464419475656,0.023255813953488372,0.035,cuda,29.0,67.0,24.0,33.0,95.0,30.0,35.0,26.0,34.0,27.0
36,200,-1994.751746080476,47.0,0.5868661679135495,0.788235294117647,0.24261394838001094,0.7264,36,28.02581787109375,-10.693673095703126,17.0,151.0,19.0,0.2389937106918239,0.25,0.32,cuda,31.0,92.0,34.0,30.0,24.0,25.0,41.0,25.0,72.0,26.0
37,200,-1484.615609272798,203.0,0.46994072819644367,0.4456140350877193,0.2795631084427258,0.7188000000000001,37,27.248170852661133,-10.627259521484374,21.0,262.0,24.0,0.5684931506849316,0.8809523809523809,0.0375,cuda,23.0,94.0,31.0,40.0,31.0,29.0,32.0,34.0,63.0,23.0
