episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,updates_per_episode,train_steps,target_update_count,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
1,200,-1654.2328346015013,131.0,0.5095986038394416,0.5465116279069767,0.23721058815398438,0.9924,1,1,0,0,0.0,0.0,28.0,235.0,24.0,0.49193548387096775,0.225,0.065,cuda,32.0,47.0,49.0,40.0,39.0,35.0,41.0,35.0,41.0,41.0
2,200,-1480.758137075549,212.0,0.46794338051623646,0.4344569288389513,0.3775537634408602,0.9848,2,1,0,0,0.0,0.0,29.0,228.0,39.0,0.47107438016528924,0.5774647887323944,0.04,cuda,35.0,34.0,47.0,35.0,48.0,40.0,37.0,41.0,51.0,32.0
3,200,-1854.541512193074,176.0,0.5367362722351121,0.5805243445692884,0.196785464709993,0.9772,3,1,0,0,0.0,0.0,27.0,244.0,23.0,0.4759036144578313,0.46153846153846156,0.045,cuda,36.0,43.0,34.0,43.0,47.0,40.0,39.0,37.0,41.0,40.0
4,200,-1631.3229141982067,193.0,0.48801916932907347,0.47297297297297297,0.4226836879432624,0.9696,4,1,0,0,0.0,0.0,31.0,262.0,34.0,0.44,0.582089552238806,0.005,cuda,45.0,34.0,50.0,35.0,51.0,41.0,33.0,32.0,36.0,43.0
5,200,-1516.3107468766448,191.0,0.49523809523809526,0.48507462686567165,0.20228451024425406,0.962,5,1,0,0,0.0,0.0,31.0,247.0,21.0,0.47696476964769646,0.375,0.07,cuda,38.0,30.0,46.0,40.0,62.0,38.0,31.0,32.0,40.0,43.0
6,200,-1494.2524826351232,200.0,0.4711297071129707,0.44106463878326996,0.38424591738712777,0.9544,6,1,0,0,0.0,0.0,23.0,232.0,31.0,0.4811594202898551,0.5666666666666667,0.045,cuda,35.0,29.0,47.0,44.0,51.0,33.0,35.0,43.0,44.0,39.0
7,200,-1516.7540483135529,185.0,0.46491969568892644,0.4946236559139785,0.37719733289248913,0.9468,7,1,0,0,0.0,0.0,35.0,255.0,24.0,0.4720670391061452,0.34782608695652173,0.025,cuda,31.0,35.0,30.0,36.0,61.0,41.0,38.0,53.0,41.0,34.0
8,200,-1571.5607521401894,173.0,0.48569023569023567,0.4632352941176471,0.2914074290443503,0.9392,8,1,0,0,0.0,0.0,29.0,233.0,39.0,0.5673469387755102,0.4533333333333333,0.0225,cuda,42.0,30.0,48.0,33.0,69.0,36.0,47.0,34.0,33.0,28.0
9,200,-1445.9677557814925,177.0,0.4558951965065502,0.4696969696969697,0.5246420497362472,0.9316,9,1,0,0,0.0,0.0,27.0,231.0,33.0,0.5403225806451613,0.7049180327868853,0.0375,cuda,42.0,33.0,41.0,35.0,63.0,37.0,39.0,34.0,44.0,32.0
10,200,-1482.6555747722664,215.0,0.4651741293532338,0.4664310954063604,0.2950374980054252,0.924,10,1,1,0,99.18565368652344,0.07944566345214844,28.0,251.0,34.0,0.6237623762376238,0.43333333333333335,0.03,cuda,36.0,39.0,35.0,34.0,69.0,35.0,43.0,37.0,34.0,38.0
11,200,-1612.5461443310035,186.0,0.4840816326530612,0.4594594594594595,0.3464103334334635,0.9164,11,1,2,0,95.22630310058594,-0.17718930331143465,26.0,261.0,35.0,0.44571428571428573,0.4411764705882353,0.0175,cuda,29.0,34.0,36.0,45.0,83.0,30.0,32.0,38.0,38.0,35.0
12,200,-1566.5111628249658,177.0,0.480865224625624,0.4555984555984556,0.4519800908894179,0.9088,12,1,3,0,91.13373565673828,-0.4007416280110677,33.0,229.0,30.0,0.5753968253968254,0.6153846153846154,0.015,cuda,38.0,35.0,35.0,33.0,64.0,49.0,37.0,41.0,35.0,33.0
13,200,-1721.6741272499405,168.0,0.5087719298245614,0.47388059701492535,0.35262368815592204,0.9012,13,1,4,0,88.3621597290039,-0.6365016056941106,27.0,242.0,26.0,0.5309090909090909,0.46808510638297873,0.0425,cuda,31.0,33.0,38.0,36.0,65.0,43.0,35.0,45.0,41.0,33.0
14,200,-1511.6755625009894,215.0,0.4624796084828711,0.42704626334519574,0.5338068017783937,0.8936,14,1,5,0,84.0379638671875,-0.8736043003627232,14.0,249.0,32.0,0.5128939828080229,0.5806451612903226,0.005,cuda,37.0,33.0,43.0,30.0,76.0,17.0,43.0,45.0,33.0,43.0
15,200,-1623.1967808869188,184.0,0.494299674267101,0.4522058823529412,0.39022591055786077,0.886,15,1,6,0,80.62352752685547,-1.1054790852864584,22.0,247.0,25.0,0.564625850340136,0.391304347826087,0.0725,cuda,44.0,35.0,50.0,32.0,72.0,31.0,29.0,39.0,30.0,38.0
16,200,-1804.5742026864073,131.0,0.5305439330543933,0.6423076923076924,0.28551701189584894,0.8784,16,1,7,0,77.94313049316406,-1.3256233215332032,27.0,224.0,36.0,0.39015151515151514,0.417910447761194,0.0375,cuda,33.0,37.0,33.0,38.0,85.0,32.0,36.0,40.0,35.0,31.0
17,200,-1847.715624165853,125.0,0.5310965630114566,0.6153846153846154,0.3803091152488743,0.8708,17,1,8,0,75.49710083007812,-1.5620619201660155,26.0,256.0,31.0,0.3023952095808383,0.42105263157894735,0.0075,cuda,35.0,40.0,30.0,44.0,66.0,34.0,33.0,43.0,43.0,32.0
18,200,-1814.4423285074965,130.0,0.5245901639344263,0.6690909090909091,0.19997633416163768,0.8632,18,1,9,0,71.86688232421875,-1.8367254638671875,28.0,253.0,23.0,0.36253776435045315,0.22727272727272727,0.04,cuda,42.0,41.0,34.0,30.0,32.0,36.0,32.0,92.0,28.0,33.0
19,200,-1665.5644251120823,179.0,0.4955248169243287,0.4738675958188153,0.37481429490553897,0.8556,19,1,10,0,69.3575210571289,-2.0996742248535156,35.0,249.0,38.0,0.45874587458745875,0.5555555555555556,0.0,cuda,48.0,28.0,40.0,26.0,77.0,41.0,29.0,53.0,28.0,30.0
20,200,-1553.431161649176,198.0,0.4745065789473684,0.4513888888888889,0.45724282715185444,0.848,20,1,11,0,65.84070587158203,-2.3802471923828126,26.0,257.0,31.0,0.5819397993311036,0.42857142857142855,0.025,cuda,36.0,36.0,33.0,44.0,65.0,31.0,30.0,56.0,34.0,35.0
21,200,-1592.7445920975508,186.0,0.48096026490066224,0.4929078014184397,0.31050080775444266,0.8404,21,1,12,0,60.111385345458984,-2.6630059814453126,36.0,249.0,33.0,0.4273255813953488,0.639344262295082,0.035,cuda,27.0,40.0,35.0,32.0,85.0,42.0,30.0,44.0,33.0,32.0
22,200,-1584.5169556762808,190.0,0.4796416938110749,0.4551971326164875,0.43853255587949463,0.8328,22,1,13,0,58.9894905090332,-3.0038482666015627,28.0,245.0,34.0,0.4967741935483871,0.5806451612903226,0.02,cuda,46.0,33.0,37.0,31.0,82.0,37.0,34.0,38.0,31.0,31.0
