episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1983.1777847882192,9.0,0.6129848229342327,0.8,0.13170731707317052,1.0,cuda,dueling,scale,100.0,400,0.0,0.0,52.0,29.0,11.0,0.0075,0.13157894736842105,0.19047619047619047
2,200,-2117.073324436364,8.0,0.6308562197092084,0.8888888888888888,0.3047619047619033,1.0,cuda,dueling,scale,100.0,800,0.0,0.0,59.0,47.0,11.0,0.01,0.125,0.05555555555555555
3,200,-1854.0905818595372,12.0,0.5893333333333334,0.8,0.20869565217391273,1.0,cuda,dueling,scale,100.0,1200,0.0,0.0,37.0,42.0,9.0,0.0025,0.19298245614035087,0.06666666666666667
4,200,-2071.005139321457,5.0,0.6195652173913043,0.9285714285714286,0.23809523809523583,1.0,cuda,dueling,scale,100.0,1600,0.0,0.0,34.0,46.0,11.0,0.01,0.07142857142857142,0.05555555555555555
5,200,-2255.0671246028305,3.0,0.652073732718894,0.9555555555555556,0.11999999999999841,0.999981,cuda,dueling,scale,100.0,2000,0.008989516645669937,0.12095887959003448,56.0,39.0,6.0,0.0175,0.05660377358490566,0.0
6,200,-1992.1192246639766,25.0,0.6119281045751634,0.6470588235294118,0.3501400560224088,0.996181,cuda,dueling,scale,100.0,2400,0.001820161459618248,0.1608751153573394,34.0,43.0,10.0,0.01,0.3898305084745763,0.1
7,200,-1809.5362521295674,33.0,0.5810104529616724,0.4146341463414634,0.5377777777777776,0.992381,cuda,dueling,scale,100.0,2800,0.0014387102497857996,0.10786937095224858,39.0,38.0,5.0,0.005,0.6458333333333334,0.2
8,200,-1944.6003599732674,24.0,0.6036789297658863,0.6595744680851063,0.3428571428571427,0.988581,cuda,dueling,scale,100.0,3200,0.0017563432996394112,0.10948258731514215,24.0,40.0,8.0,0.0025,0.3269230769230769,0.5384615384615384
9,200,-1941.589380595447,16.0,0.6017094017094017,0.8275862068965517,0.44912280701754304,0.984781,cuda,dueling,scale,100.0,3600,0.0017745081716566346,0.08921084765344858,43.0,50.0,9.0,0.0025,0.14705882352941177,0.35294117647058826
10,200,-2005.4013194212005,13.0,0.6164043082021541,0.8,0.16328502415458923,0.980981,cuda,dueling,scale,100.0,4000,0.0014585451944731176,0.06395517603494227,43.0,28.0,13.0,0.0025,0.14705882352941177,0.36363636363636365
11,200,-1749.712611891429,51.0,0.5657093124456049,0.33962264150943394,0.5877966101694914,0.977181,cuda,dueling,scale,100.0,4400,0.0004161280266271206,0.04745718713849783,39.0,44.0,11.0,0.0125,0.6885245901639344,0.47368421052631576
12,200,-1950.0275978941245,16.0,0.6069315300084531,0.5416666666666666,0.2509803921568625,0.973381,cuda,dueling,scale,100.0,4800,0.00029043581744190303,0.03698928610654548,27.0,18.0,8.0,0.0125,0.5263157894736842,0.375
13,200,-1980.9387180517729,33.0,0.6040983606557377,0.6438356164383562,0.6785046728971958,0.969581,cuda,dueling,scale,100.0,5200,0.0003090294425783213,0.03254871479701251,61.0,61.0,13.0,0.0025,0.3076923076923077,0.42857142857142855
14,200,-1939.2739542649915,30.0,0.6049382716049383,0.38235294117647056,0.5172413793103445,0.965781,cuda,dueling,scale,100.0,5600,0.00034830177151889074,0.021884990549297073,43.0,26.0,10.0,0.0075,0.5405405405405406,0.6666666666666666
15,200,-2018.3511690664777,25.0,0.616382806163828,0.68,0.4125412541254123,0.961981,cuda,dueling,scale,100.0,6000,0.0003616605823481223,0.019182804031297563,43.0,38.0,13.0,0.005,0.2549019607843137,0.5217391304347826
16,200,-1996.0231278371607,20.0,0.6153846153846154,0.5294117647058824,0.5555555555555548,0.958181,cuda,dueling,scale,100.0,6400,0.0002914034580317093,0.00015236653503961862,35.0,31.0,7.0,0.0125,0.34285714285714286,0.6666666666666666
17,200,-2013.8909913417478,26.0,0.6143205858421481,0.6792452830188679,0.4023809523809522,0.954381,cuda,dueling,scale,100.0,6800,0.00022212723688426196,-0.007221385284210556,34.0,46.0,10.0,0.0075,0.3225806451612903,0.35294117647058826
18,200,-2086.398296175706,5.0,0.6267432321575062,0.925,0.18518518518518381,0.950581,cuda,dueling,scale,100.0,7200,0.00023828001580113777,-0.011930476143024862,28.0,30.0,11.0,0.01,0.08823529411764706,0.09090909090909091
19,200,-1943.4467043858187,12.0,0.6097972972972973,0.4444444444444444,0.26666666666666616,0.946781,cuda,dueling,scale,100.0,7600,0.0002668480487045599,-0.015578978050034492,20.0,15.0,3.0,0.0025,0.5555555555555556,0.3333333333333333
20,200,-1987.2712610549172,23.0,0.6097359735973598,0.7045454545454546,0.2432183908045976,0.942981,cuda,dueling,scale,100.0,8000,0.0002869595638185274,-0.015675425571971574,29.0,35.0,11.0,0.0075,0.28846153846153844,0.38095238095238093
21,200,-2021.9937766559506,25.0,0.6161943319838057,0.5526315789473685,0.4045307443365693,0.939181,cuda,dueling,scale,100.0,8400,0.0002693694279150805,-0.030250262203626335,35.0,30.0,11.0,0.0175,0.5,0.5294117647058824
22,200,-2014.0922881060897,15.0,0.6188524590163934,0.6551724137931034,0.176470588235294,0.935381,cuda,dueling,scale,100.0,8800,0.00025931418465916065,-0.037552731109317394,37.0,22.0,7.0,0.0025,0.3225806451612903,0.45454545454545453
23,200,-2041.1008246953268,10.0,0.6204620462046204,0.88,0.2564102564102557,0.931581,cuda,dueling,scale,100.0,9200,0.0002892793823411921,-0.04198761963401921,46.0,43.0,12.0,0.015,0.08,0.3
24,200,-1956.1612186794796,37.0,0.6004922067268252,0.6029411764705882,0.5465069860279439,0.927781,cuda,dueling,scale,100.0,9600,0.00029106968613632487,-0.0478668991709128,52.0,56.0,15.0,0.015,0.4142857142857143,0.36363636363636365
25,200,-1993.1723589680919,30.0,0.6062346185397867,0.6206896551724138,0.5172413793103445,0.923981,cuda,dueling,scale,100.0,10000,0.0003398838682915084,-0.05576187626691535,49.0,48.0,14.0,0.0175,0.3157894736842105,0.5454545454545454
26,200,-1964.0511347873548,28.0,0.6078753076292043,0.4857142857142857,0.37874396135265687,0.920181,cuda,dueling,scale,100.0,10400,0.0003651655024441425,-0.07108145666308702,20.0,22.0,14.0,0.0025,0.35714285714285715,0.6923076923076923
27,200,-2035.570530886151,11.0,0.6161532056619484,0.8955223880597015,0.23047619047619003,0.916381,cuda,dueling,scale,100.0,10800,0.00028853141811850945,-0.06852752849459648,41.0,62.0,10.0,0.0125,0.13095238095238096,0.0
28,200,-1958.188702652127,17.0,0.6065711878685762,0.7391304347826086,0.2713615023474176,0.912581,cuda,dueling,scale,100.0,11200,0.0002973034836759325,-0.07358645853586494,51.0,39.0,8.0,0.0025,0.26785714285714285,0.15384615384615385
