episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1983.1777847882192,9.0,0.6129848229342327,0.8,0.1317073170731705,1.0,cuda,dueling,scale,100.0,400,0.0,0.0,52.0,29.0,11.0,0.0075,0.131578947368421,0.1904761904761904
2,200,-2117.073324436364,8.0,0.6308562197092084,0.8888888888888888,0.3047619047619033,1.0,cuda,dueling,scale,100.0,800,0.0,0.0,59.0,47.0,11.0,0.01,0.125,0.0555555555555555
3,200,-1854.0905818595368,12.0,0.5893333333333334,0.8,0.2086956521739127,1.0,cuda,dueling,scale,100.0,1200,0.0,0.0,37.0,42.0,9.0,0.0025,0.1929824561403508,0.0666666666666666
4,200,-2071.005139321457,5.0,0.6195652173913043,0.9285714285714286,0.2380952380952358,1.0,cuda,dueling,scale,100.0,1600,0.0,0.0,34.0,46.0,11.0,0.01,0.0714285714285714,0.0555555555555555
5,200,-2255.0671246028305,3.0,0.652073732718894,0.9555555555555556,0.1199999999999984,0.999981,cuda,dueling,scale,100.0,2000,0.0089895166456699,0.1209588795900344,56.0,39.0,6.0,0.0175,0.0566037735849056,0.0
6,200,-1992.1192246639769,25.0,0.6119281045751634,0.6470588235294118,0.3501400560224088,0.996181,cuda,dueling,scale,100.0,2400,0.0019988370907958,0.1476307750493288,34.0,43.0,10.0,0.01,0.3898305084745763,0.1
7,200,-1818.98743923885,33.0,0.5817391304347826,0.4782608695652174,0.4566037735849055,0.992381,cuda,dueling,scale,100.0,2800,0.0021798659709747,0.0892659774422645,31.0,42.0,5.0,0.0025,0.5344827586206896,0.2222222222222222
8,200,-1938.2475915622856,21.0,0.6051969823973177,0.6428571428571429,0.3542168674698792,0.988581,cuda,dueling,scale,100.0,3200,0.0014255844752187,0.0615086327120661,26.0,34.0,9.0,0.0025,0.3488372093023256,0.4
9,200,-1953.1984419815165,14.0,0.6034188034188034,0.828125,0.3629629629629622,0.984781,cuda,dueling,scale,100.0,3600,0.0013675079017411,0.0479969335161149,45.0,55.0,10.0,0.005,0.16,0.125
10,200,-2022.800867931486,10.0,0.620148637489678,0.8292682926829268,0.1960784313725486,0.980981,cuda,dueling,scale,100.0,4000,0.0016573008225532,0.0484308000933378,36.0,32.0,9.0,0.0,0.1714285714285714,0.2666666666666666
11,200,-1825.2073729543956,24.0,0.5845749342681859,0.7021276595744681,0.2865671641791043,0.977181,cuda,dueling,scale,100.0,4400,0.0004036879755585,0.0301434669236186,38.0,39.0,8.0,0.005,0.2857142857142857,0.5714285714285714
12,200,-1894.466754337019,29.0,0.5957805907172996,0.4736842105263157,0.4558265582655824,0.973381,cuda,dueling,scale,100.0,4800,0.0003802944337076,0.0223266418429557,35.0,32.0,7.0,0.0075,0.5526315789473685,0.5714285714285714
13,200,-2003.6826746879256,33.0,0.6073170731707317,0.625,0.780645161290322,0.969581,cuda,dueling,scale,100.0,5200,0.0002997095741739,0.0198319830262335,55.0,59.0,13.0,0.0025,0.2631578947368421,0.5652173913043478
14,200,-1916.6794921069095,36.0,0.5983471074380166,0.3902439024390244,0.5399999999999998,0.965781,cuda,dueling,scale,100.0,5600,0.0002956826022273,0.0128700310643762,33.0,36.0,7.0,0.01,0.5531914893617021,0.7142857142857143
15,200,-2058.7571690421187,17.0,0.622168284789644,0.75,0.3158469945355188,0.961981,cuda,dueling,scale,100.0,6000,0.0003748995976638,0.0044703127839602,38.0,37.0,12.0,0.0075,0.2558139534883721,0.2727272727272727
16,200,-1971.1529741801007,23.0,0.6105610561056105,0.525,0.4053639846743292,0.958181,cuda,dueling,scale,100.0,6400,0.0002831068938394,-0.0091563201707322,36.0,35.0,6.0,0.0025,0.4761904761904761,0.2727272727272727
17,200,-1985.4171369990563,28.0,0.6104319478402608,0.6326530612244898,0.5226666666666664,0.954381,cuda,dueling,scale,100.0,6800,0.0002633043298556,-0.0193199236097279,25.0,37.0,14.0,0.01,0.3584905660377358,0.36
18,200,-2055.010881315025,7.0,0.6232481450948063,0.8611111111111112,0.1719298245614029,0.950581,cuda,dueling,scale,100.0,7200,0.0002806496289122,-0.0263482954050414,26.0,28.0,11.0,0.015,0.2068965517241379,0.0526315789473684
19,200,-1910.618617012474,18.0,0.6017021276595744,0.4615384615384615,0.2037735849056602,0.946781,cuda,dueling,scale,100.0,7600,0.0003036277410137,-0.0284587984427344,19.0,20.0,7.0,0.005,0.4444444444444444,0.5454545454545454
20,200,-1966.7901384331915,23.0,0.6068162926018288,0.7111111111111111,0.2733850129198965,0.942981,cuda,dueling,scale,100.0,8000,0.0003898458348703,-0.0320744246675167,33.0,35.0,11.0,0.005,0.2777777777777778,0.4
