total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-832.4225563696086,116.0,0.58,0.22789783889980353,0.618860510805501,14.487,24.977586206896554,19.829059829059872,5.849999999999987,0.0,5.849999999999987,0.0,0.0,0.27545547594677583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,1.0,0.0,1.0,83.0,1.0,116.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,97.0,0.0,19.0,0,backscatter_only,scenario_0_no_jammer_calibrated
-833.7248920437154,99.0,0.495,0.2028688524590164,0.610655737704918,15.293000000000008,30.89494949494951,19.80000000000004,4.99999999999999,0.0,4.99999999999999,0.0,0.0,0.22569948186528496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,1.0,0.0,1.0,100.0,1.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,93.0,0.0,0.0,6.0,1,backscatter_only,scenario_0_no_jammer_calibrated
-750.0924274338843,112.0,0.56,0.2413793103448276,0.5818965517241379,14.618000000000011,26.103571428571446,19.33894861222232,5.791421356237298,0.0,5.791421356237298,0.0,0.0,0.28303249097472927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,112.0,0.0,1.0,0.0,1.0,87.0,1.0,112.0,0.0,0.0,0.0,0.0,112.0,92.0,0.0,20.0,0.0,0.0,2,backscatter_only,scenario_0_no_jammer_calibrated
-832.3389868356219,109.0,0.545,0.21756487025948104,0.6127744510978044,14.881000000000002,27.304587155963304,18.398909760904587,5.924264068711916,0.0,5.924264068711916,0.0,0.0,0.26224478534378104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0,1.0,0.0,1.0,90.0,1.0,109.0,0.0,0.0,0.0,0.0,109.0,15.0,0.0,94.0,0.0,0.0,3,backscatter_only,scenario_0_no_jammer_calibrated
-758.4358433652961,114.0,0.57,0.24203821656050956,0.5796178343949044,14.84000000000001,26.035087719298268,19.82608695652178,5.749999999999988,0.0,5.749999999999988,0.0,0.0,0.21845688350983358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,115.0,0.0,0.991304347826087,0.0,0.0,85.0,0.0,115.0,0.0,0.0,0.0,0.0,114.0,4.0,109.0,1.0,0.0,0.0,4,backscatter_only,scenario_0_no_jammer_calibrated
-892.3658533459338,104.0,0.52,0.1980952380952381,0.6361904761904762,15.030999999999999,28.905769230769227,19.80952380952385,5.249999999999989,0.0,5.249999999999989,0.0,0.0,0.26075216972034715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,1.0,0.0,1.0,95.0,1.0,104.0,0.0,0.0,0.0,0.0,104.0,90.0,14.0,0.0,0.0,0.0,5,backscatter_only,scenario_0_no_jammer_calibrated
-744.1944434907691,126.0,0.63,0.2603305785123967,0.5743801652892562,14.313999999999997,22.720634920634915,19.842519685039417,6.349999999999985,0.0,6.349999999999985,0.0,0.0,0.3529568697198755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,126.0,0.0,1.0,0.0,1.0,73.0,1.0,126.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,40.0,86.0,6,backscatter_only,scenario_0_no_jammer_calibrated
-808.1633629366057,117.0,0.585,0.23446893787575152,0.6052104208416834,14.702000000000009,25.13162393162395,19.07761302307889,6.132842712474606,0.0,6.132842712474606,0.0,0.0,0.3012212564638574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,117.0,0.0,1.0,0.0,0.0,83.0,0.0,117.0,0.0,0.0,0.0,0.0,117.0,92.0,25.0,0.0,0.0,0.0,7,backscatter_only,scenario_0_no_jammer_calibrated
-767.6154490524358,113.0,0.565,0.2334710743801653,0.5867768595041323,14.379999999999994,25.45132743362831,19.511617796260023,5.791421356237297,0.0,5.791421356237297,0.0,0.0,0.33033242788772477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,113.0,0.0,1.0,0.0,0.0,87.0,0.0,113.0,0.0,0.0,0.0,0.0,113.0,1.0,0.0,83.0,0.0,29.0,8,backscatter_only,scenario_0_no_jammer_calibrated
-802.0883780253492,102.0,0.51,0.21294363256784968,0.6200417536534447,14.197000000000001,27.837254901960787,20.00000000000004,5.09999999999999,0.0,5.09999999999999,0.0,0.0,0.30936663693131133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0,0.0,1.0,0.0,0.0,98.0,0.0,102.0,0.0,0.0,0.0,0.0,102.0,79.0,22.0,0.0,0.0,1.0,9,backscatter_only,scenario_0_no_jammer_calibrated
