total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-752.185954095122,140.0,0.7,0.2697495183044316,0.5645472061657033,14.232000000000001,20.331428571428575,5.996095307421245,7.348528137423839,16.0,23.34852813742384,0.0,0.0,0.3467185565186627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,27.0,113.0,27.0,1.0,1.0,1.0,70.0,1.0,113.0,16.0,0.0,0.0,0.0,140.0,16.0,0.0,21.0,0.0,103.0,0,greedy_nearest,scenario_0_no_jammer_calibrated
-689.755378182567,140.0,0.7,0.2777777777777778,0.5357142857142857,13.524000000000008,19.32000000000001,6.2084257206208475,6.549999999999985,16.0,22.549999999999983,0.0,0.0,0.43295780870333556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,26.0,114.0,26.0,1.0,1.0,1.0,69.0,1.0,114.0,16.0,0.0,0.0,0.0,140.0,0.0,86.0,17.0,0.0,37.0,1,greedy_nearest,scenario_0_no_jammer_calibrated
-649.0503424117164,139.0,0.695,0.297008547008547,0.5277777777777778,13.447000000000005,19.34820143884893,7.7728134298825555,6.882842712474604,11.0,17.882842712474606,0.0,0.0,0.3492272932670583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,19.0,120.0,19.0,1.0,1.0,1.0,68.0,1.0,120.0,11.0,0.0,0.0,0.0,139.0,96.0,0.0,0.0,43.0,0.0,2,greedy_nearest,scenario_0_no_jammer_calibrated
-697.8775243252874,143.0,0.715,0.28542914171656686,0.5489021956087824,13.484000000000012,18.858741258741276,5.977195352354224,6.924264068711913,17.0,23.924264068711913,0.0,0.0,0.39518794086385156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,32.0,112.0,32.0,0.9910714285714286,1.0,1.0,70.0,1.0,112.0,17.0,0.0,0.0,0.0,143.0,37.0,12.0,94.0,0.0,0.0,3,greedy_nearest,scenario_0_no_jammer_calibrated
-612.8002364307167,148.0,0.74,0.3070539419087137,0.5186721991701245,12.317000000000002,16.644594594594597,5.156794425087111,6.699999999999984,22.0,28.699999999999985,0.0,0.0,0.5045841971895877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,38.0,112.0,38.0,0.9821428571428571,1.0,0.0,66.0,0.0,112.0,22.0,0.0,0.0,0.0,148.0,37.0,83.0,18.0,10.0,0.0,4,greedy_nearest,scenario_0_no_jammer_calibrated
-775.0888246065159,130.0,0.65,0.2495201535508637,0.5854126679462572,13.77999999999999,21.199999999999985,5.40733420348597,6.041421356237296,18.0,24.041421356237297,0.0,0.0,0.3618843683083512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,31.0,99.0,31.0,1.0,1.0,1.0,82.0,1.0,99.0,18.0,0.0,0.0,0.0,130.0,94.0,18.0,12.0,0.0,6.0,5,greedy_nearest,scenario_0_no_jammer_calibrated
-606.1599651015482,148.0,0.74,0.31422505307855625,0.5180467091295117,12.254000000000003,16.559459459459465,7.381546134663348,7.049999999999983,13.0,20.049999999999983,0.0,0.0,0.42589928057553955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,22.0,127.0,22.0,0.9921259842519685,1.0,1.0,59.0,1.0,127.0,13.0,0.0,0.0,0.0,148.0,9.0,0.0,0.0,53.0,86.0,6,greedy_nearest,scenario_0_no_jammer_calibrated
-727.6858306348903,140.0,0.7,0.2788844621513944,0.5617529880478087,14.089000000000013,20.12714285714288,7.076839362005301,6.782842712474603,13.0,19.782842712474604,0.0,0.0,0.36821341348863423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,23.0,117.0,23.0,1.0,1.0,0.0,70.0,0.0,117.0,13.0,0.0,0.0,0.0,140.0,97.0,34.0,9.0,0.0,0.0,7,greedy_nearest,scenario_0_no_jammer_calibrated
-669.9835854301608,137.0,0.685,0.2842323651452282,0.5373443983402489,13.514999999999993,19.72992700729926,6.374636545862496,6.491421356237295,15.0,21.491421356237296,0.0,0.0,0.4200290925366454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,25.0,112.0,25.0,1.0,1.0,0.0,73.0,0.0,112.0,15.0,0.0,0.0,0.0,137.0,17.0,0.0,88.0,2.0,30.0,8,greedy_nearest,scenario_0_no_jammer_calibrated
-697.3583605043891,131.0,0.655,0.2712215320910973,0.567287784679089,13.10500000000001,20.007633587786273,5.636488319370517,6.2414213562372955,17.0,23.241421356237296,0.0,0.0,0.4341808981657179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,26.0,105.0,26.0,1.0,1.0,0.0,78.0,0.0,105.0,17.0,0.0,0.0,0.0,131.0,82.0,32.0,6.0,0.0,11.0,9,greedy_nearest,scenario_0_no_jammer_calibrated
