total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-606.2430014303505,167.0,0.835,0.3306930693069307,0.48514851485148514,13.401000000000005,16.049101796407193,4.122010161764525,8.514213562373085,32.0,40.51421356237309,0.0,0.0,0.5050982522865164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,58.0,109.0,58.0,1.0,1.0,1.0,58.0,1.0,109.0,32.0,0.0,0.0,0.0,167.0,99.0,12.0,23.0,13.0,20.0,0,greedy_sinr,scenario_0_no_jammer_calibrated
-605.5285441760982,163.0,0.815,0.326,0.486,13.436000000000014,16.485889570552164,4.18148455136807,7.981370849898459,31.0,38.98137084989846,0.0,0.0,0.5582309066078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,58.0,105.0,58.0,1.0,1.0,1.0,63.0,1.0,105.0,31.0,0.0,0.0,0.0,163.0,12.0,89.0,25.0,10.0,27.0,1,greedy_sinr,scenario_0_no_jammer_calibrated
-553.9885504578905,176.0,0.88,0.3674321503131524,0.4613778705636743,13.453000000000007,15.287500000000007,4.653278875890303,8.82279220613578,29.0,37.82279220613578,0.0,0.0,0.4883493615008671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,55.0,121.0,55.0,1.0,1.0,1.0,49.0,1.0,121.0,29.0,0.0,0.0,0.0,176.0,107.0,14.0,22.0,19.0,14.0,2,greedy_sinr,scenario_0_no_jammer_calibrated
-563.9051116238538,172.0,0.86,0.35390946502057613,0.47530864197530864,12.987000000000005,15.10116279069768,4.152303377909962,8.422792206135775,33.0,41.422792206135775,0.0,0.0,0.5782642689601251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,64.0,109.0,64.0,0.9908256880733946,1.0,1.0,57.0,1.0,109.0,33.0,0.0,0.0,0.0,172.0,38.0,20.0,90.0,12.0,12.0,3,greedy_sinr,scenario_0_no_jammer_calibrated
-560.5845033887787,166.0,0.83,0.3458333333333333,0.47708333333333336,12.907999999999992,15.551807228915655,4.18061182132393,7.707106781186532,32.0,39.70710678118653,0.0,0.0,0.5547815582846789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,58.0,108.0,58.0,1.0,1.0,0.0,60.0,0.0,108.0,32.0,0.0,0.0,0.0,166.0,92.0,27.0,17.0,16.0,14.0,4,greedy_sinr,scenario_0_no_jammer_calibrated
-723.5442855397987,143.0,0.715,0.27552986512524086,0.558766859344894,13.57099999999999,18.980419580419568,4.501713030491882,6.765685424949225,25.0,31.765685424949226,0.0,0.0,0.4390552871712292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,45.0,98.0,45.0,1.0,1.0,1.0,76.0,1.0,98.0,25.0,0.0,0.0,0.0,143.0,93.0,13.0,17.0,8.0,12.0,5,greedy_sinr,scenario_0_no_jammer_calibrated
-573.5893843112906,176.0,0.88,0.36213991769547327,0.4691358024691358,13.982000000000005,15.888636363636369,4.950978541773024,8.548528137423848,27.0,35.548528137423844,0.0,0.0,0.5439157155399473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,50.0,126.0,50.0,1.0,1.0,1.0,46.0,1.0,126.0,27.0,0.0,0.0,0.0,176.0,97.0,12.0,12.0,18.0,37.0,6,greedy_sinr,scenario_0_no_jammer_calibrated
-617.1858488215121,166.0,0.83,0.3333333333333333,0.4979919678714859,13.627000000000008,16.418072289156637,4.711709933378264,8.231370849898463,27.0,35.23137084989846,0.0,0.0,0.5231820770837289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,51.0,115.0,51.0,1.0,1.0,0.0,58.0,0.0,115.0,27.0,0.0,0.0,0.0,166.0,96.0,17.0,20.0,23.0,10.0,7,greedy_sinr,scenario_0_no_jammer_calibrated
-607.0000034270515,164.0,0.82,0.33131313131313134,0.498989898989899,13.238999999999994,16.145121951219505,4.6415738845178796,7.332842712474602,28.0,35.3328427124746,0.0,0.0,0.5508089289371288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,51.0,113.0,51.0,1.0,1.0,0.0,59.0,0.0,113.0,28.0,0.0,0.0,0.0,164.0,19.0,14.0,91.0,12.0,28.0,8,greedy_sinr,scenario_0_no_jammer_calibrated
-644.1188230238281,146.0,0.73,0.3004115226337449,0.5,14.643000000000006,20.05890410958905,4.2743667060354085,7.157106781186533,27.0,34.157106781186535,0.0,0.0,0.5195223007555447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,44.0,102.0,44.0,1.0,1.0,0.0,71.0,0.0,102.0,27.0,0.0,0.0,0.0,146.0,20.0,15.0,16.0,10.0,85.0,9,greedy_sinr,scenario_0_no_jammer_calibrated
-573.4826100648538,162.0,0.81,0.33962264150943394,0.4779874213836478,13.097999999999995,16.170370370370364,4.513983615166856,8.88847763108502,27.0,35.888477631085024,0.0,0.0,0.5185536455245999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,49.0,113.0,49.0,1.0,1.0,1.0,59.0,1.0,113.0,27.0,0.0,0.0,0.0,162.0,92.0,15.0,12.0,35.0,8.0,10,greedy_sinr,scenario_0_no_jammer_calibrated
-571.2774486778459,163.0,0.815,0.3431578947368421,0.47578947368421054,13.511999999999995,16.579141104294475,4.135563931576413,8.414213562373085,31.0,39.414213562373085,0.0,0.0,0.6492119731215639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,55.0,109.0,55.0,0.9908256880733946,1.0,0.0,60.0,0.0,109.0,31.0,0.0,0.0,0.0,163.0,78.0,14.0,14.0,35.0,22.0,11,greedy_sinr,scenario_0_no_jammer_calibrated
-599.3164298584071,162.0,0.81,0.3367983367983368,0.49064449064449067,13.712,16.928395061728395,4.4960820579063965,8.03137084989846,28.0,36.03137084989846,0.0,0.0,0.6005491990846682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,53.0,109.0,53.0,1.0,1.0,1.0,62.0,1.0,109.0,28.0,0.0,0.0,0.0,162.0,32.0,82.0,12.0,28.0,8.0,12,greedy_sinr,scenario_0_no_jammer_calibrated
-654.0538632846793,162.0,0.81,0.3176470588235294,0.5235294117647059,13.331999999999992,16.459259259259248,4.854039617666765,7.374264068711913,26.0,33.37426406871191,0.0,0.0,0.5381176953044905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,49.0,113.0,49.0,1.0,1.0,0.0,61.0,0.0,113.0,26.0,0.0,0.0,0.0,162.0,20.0,8.0,15.0,28.0,91.0,13,greedy_sinr,scenario_0_no_jammer_calibrated
-617.3438386485468,165.0,0.825,0.3360488798370672,0.4989816700610998,13.968999999999989,16.9321212121212,4.300883158512833,8.364213562373084,30.0,38.36421356237308,0.0,0.0,0.5917835017932833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,57.0,109.0,57.0,0.9908256880733946,1.0,0.0,61.0,0.0,109.0,30.0,0.0,0.0,0.0,165.0,12.0,21.0,32.0,86.0,14.0,14,greedy_sinr,scenario_0_no_jammer_calibrated
-670.4789398205721,159.0,0.795,0.3093385214007782,0.5272373540856031,13.764999999999993,17.314465408805024,4.459139126898874,7.65710678118653,28.0,35.65710678118653,0.0,0.0,0.5824444188457552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,50.0,111.0,50.0,0.9819819819819819,1.0,0.0,61.0,0.0,111.0,28.0,0.0,0.0,0.0,159.0,12.0,84.0,31.0,18.0,14.0,15,greedy_sinr,scenario_0_no_jammer_calibrated
