total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-657.8313188291523,163.0,0.815,0.3247011952191235,0.5179282868525896,13.849999999999993,16.99386503067484,1.6709631924980946,10.548528137423874,87.0,97.54852813742387,0.0,0.0,0.3999849454271735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,163.0,0.0,1.0,82.37998071171593,6.0,107.0,0.0,87.0,0.0,0.0,0.0,163.0,12.0,0.0,46.0,0.0,105.0,0,htt_only,scenario_0_no_jammer_calibrated
-771.6902646938709,144.0,0.72,0.2722117202268431,0.5727788279773157,14.142000000000003,19.641666666666673,1.5935252338631931,10.365685424949241,80.0,90.36568542494925,0.0,0.0,0.33711591611120145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,0.0,1.0,69.64314966995587,4.0,116.0,0.0,80.0,0.0,0.0,0.0,144.0,12.0,109.0,14.0,0.0,9.0,1,htt_only,scenario_0_no_jammer_calibrated
-734.4909490620599,119.0,0.595,0.2521186440677966,0.5741525423728814,14.355999999999993,24.127731092436964,1.5291150140796113,10.822792206135798,67.0,77.8227922061358,0.0,0.0,0.36417641764176417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,1.0,59.50973796130451,9.0,124.0,0.0,67.0,0.0,0.0,0.0,119.0,86.0,0.0,8.0,11.0,14.0,2,htt_only,scenario_0_no_jammer_calibrated
-690.7180782229063,149.0,0.745,0.3004032258064516,0.5362903225806451,14.077000000000005,18.895302013422825,1.589794717941036,10.722792206135798,83.0,93.7227922061358,0.0,0.0,0.4257551059545498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,1.0,65.81554678215983,11.0,106.0,0.0,83.0,0.0,0.0,0.0,149.0,12.0,14.0,99.0,12.0,12.0,3,htt_only,scenario_0_no_jammer_calibrated
-550.7073150700644,175.0,0.875,0.36764705882352944,0.4642857142857143,13.219999999999994,15.108571428571421,1.7066519036155579,10.539949493661176,92.0,102.53994949366117,0.0,0.0,0.6032699694671526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,175.0,0.0,1.0,74.89018096425423,9.0,99.0,0.0,92.0,0.0,0.0,0.0,175.0,75.0,64.0,12.0,12.0,12.0,4,htt_only,scenario_0_no_jammer_calibrated
-793.3974527527788,148.0,0.74,0.26860254083484575,0.5716878402903811,14.429,19.49864864864865,1.7008427765319336,10.015685424949249,77.0,87.01568542494925,0.0,0.0,0.34012422360248445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,1.0,65.03279202142976,11.0,112.0,0.0,77.0,0.0,0.0,0.0,148.0,112.0,8.0,8.0,8.0,12.0,5,htt_only,scenario_0_no_jammer_calibrated
-601.887858722752,152.0,0.76,0.3318777292576419,0.49563318777292575,14.137999999999993,18.60263157894736,1.6603216140387551,10.548528137423872,81.0,91.54852813742387,0.0,0.0,0.5128523862375138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0,0.0,1.0,78.5478698560035,6.0,113.0,0.0,81.0,0.0,0.0,0.0,152.0,80.0,4.0,12.0,7.0,49.0,6,htt_only,scenario_0_no_jammer_calibrated
-631.0316726561779,154.0,0.77,0.3188405797101449,0.5134575569358178,13.284000000000002,17.251948051948055,1.6156837073920878,10.315685424949246,85.0,95.31568542494925,0.0,0.0,0.472901296111665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,154.0,0.0,1.0,77.053786088189,5.0,110.0,0.0,85.0,0.0,0.0,0.0,154.0,89.0,43.0,14.0,8.0,0.0,7,htt_only,scenario_0_no_jammer_calibrated
-680.9257609920958,150.0,0.75,0.30364372469635625,0.52834008097166,14.137999999999998,18.850666666666665,1.6642102421922125,10.132842712474629,80.0,90.13284271247463,0.0,0.0,0.39626629094751675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,1.0,67.73989571568444,3.0,117.0,0.0,80.0,0.0,0.0,0.0,150.0,14.0,12.0,104.0,10.0,10.0,8,htt_only,scenario_0_no_jammer_calibrated
-703.2439452883896,141.0,0.705,0.28256513026052105,0.533066132264529,14.267999999999999,20.238297872340425,1.6370062285147238,10.132842712474627,76.0,86.13284271247463,0.0,0.0,0.44913588614029143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,1.0,77.23023521491834,3.0,121.0,0.0,76.0,0.0,0.0,0.0,141.0,86.0,35.0,14.0,0.0,6.0,9,htt_only,scenario_0_no_jammer_calibrated
-721.8435376870693,127.0,0.635,0.26348547717842324,0.5663900414937759,13.919999999999995,21.921259842519675,1.5489981479037649,10.988477631085042,71.0,81.98847763108505,0.0,0.0,0.395852251810038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,1.0,59.53694818079027,17.0,112.0,0.0,71.0,0.0,0.0,0.0,127.0,88.0,8.0,9.0,14.0,8.0,10,htt_only,scenario_0_no_jammer_calibrated
-646.1949586220989,160.0,0.8,0.32653061224489793,0.5142857142857142,13.967999999999993,17.45999999999999,1.6818587087066983,10.13284271247463,85.0,95.13284271247463,0.0,0.0,0.4149781163883936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,160.0,0.0,1.0,84.5254608579285,3.0,112.0,0.0,85.0,0.0,0.0,0.0,160.0,8.0,0.0,0.0,95.0,57.0,11,htt_only,scenario_0_no_jammer_calibrated
