total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,episode_id,policy_name,scenario_name
-1120.3679098791215,23.0,0.115,0.045275590551181105,0.7578740157480315,17.421000000000017,151.48695652173927,0.7072713524577323,27.519343417595177,5.0,32.51934341759518,0.0,0.0,0.39924528301886764,0.0,3.0,0.015,3.0,0.015,0.0,0.0,0.0,0.0,0.0,13.0,10.0,13.0,10.0,1.0,1.0,12.0,82.0,12.0,14.0,7.0,85.0,0.0,0.0,23.0,0.0,0.0,11.0,0.0,12.0,0,random,scenario_0_no_jammer_calibrated
-1032.6486332355869,46.0,0.23,0.09145129224652088,0.709741550695825,17.567000000000007,76.37826086956525,1.0899149027095905,27.205129855222076,15.0,42.205129855222076,0.0,0.0,0.7221843003412967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,16.0,30.0,1.0,1.0,9.0,77.0,9.0,16.0,15.0,83.0,0.0,0.0,46.0,15.0,6.0,10.0,0.0,15.0,1,random,scenario_0_no_jammer_calibrated
-1033.3784401358025,25.0,0.125,0.05399568034557235,0.7300215982721382,17.840999999999994,142.72799999999995,0.6892873607376048,27.26934341759518,9.0,36.26934341759518,0.0,0.0,0.3709198813056378,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,7.0,18.0,7.0,18.0,1.0,1.0,13.0,83.0,14.0,7.0,9.0,87.0,0.0,0.0,25.0,16.0,0.0,9.0,0.0,0.0,2,random,scenario_0_no_jammer_calibrated
-1066.051908161875,21.0,0.105,0.04430379746835443,0.7447257383966245,17.785999999999994,169.39047619047614,0.5926339186377844,28.4350288425444,7.0,35.4350288425444,0.0,0.0,0.3230769230769229,0.0,6.0,0.03,6.0,0.03,0.0,0.0,0.0,0.0,0.0,7.0,14.0,7.0,14.0,1.0,1.0,12.0,74.0,13.0,9.0,10.0,94.0,0.0,0.0,21.0,4.0,0.0,16.0,0.0,1.0,3,random,scenario_0_no_jammer_calibrated
-1025.8871739058939,38.0,0.19,0.07818930041152264,0.7222222222222222,16.964999999999996,89.2894736842105,0.9312890527326931,26.803657992645917,14.0,40.80365799264592,0.0,0.0,0.5368029739776949,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,10.0,28.0,10.0,28.0,1.0,1.0,12.0,81.0,12.0,11.0,14.0,82.0,0.0,0.0,38.0,21.0,5.0,2.0,2.0,8.0,4,random,scenario_0_no_jammer_calibrated
-1231.1954688809524,11.0,0.055,0.020560747663551402,0.7962616822429907,18.212,331.1272727272727,0.35634058849888345,26.86934341759518,4.0,30.86934341759518,0.0,0.0,0.5377777777777754,0.0,4.0,0.02,4.0,0.02,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,8.0,1.0,1.0,7.0,94.0,8.0,4.0,6.0,88.0,0.0,0.0,11.0,5.0,2.0,4.0,0.0,0.0,5,random,scenario_0_no_jammer_calibrated
-913.4060902861617,47.0,0.235,0.10657596371882086,0.6666666666666666,17.475,74.36170212765958,1.045555378864219,27.952186130069784,17.0,44.952186130069784,0.0,0.0,0.4243996157540825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,13.0,34.0,1.0,1.0,14.0,74.0,14.0,13.0,17.0,82.0,0.0,0.0,47.0,2.0,0.0,0.0,26.0,19.0,6,random,scenario_0_no_jammer_calibrated
-1020.3556208607431,40.0,0.2,0.08316008316008316,0.7089397089397089,17.705000000000005,88.52500000000002,1.0263703501282397,25.972287142747454,13.0,38.972287142747454,0.0,0.0,0.3669724770642201,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,14.0,26.0,14.0,26.0,1.0,1.0,10.0,89.0,10.0,15.0,13.0,73.0,0.0,0.0,40.0,14.0,26.0,0.0,0.0,0.0,7,random,scenario_0_no_jammer_calibrated
-906.3281207865281,70.0,0.35,0.14613778705636743,0.6492693110647182,17.266999999999992,49.3342857142857,1.2872871442387008,28.37792206135785,26.0,54.37792206135785,0.0,0.0,0.9040590405904058,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,18.0,52.0,18.0,52.0,1.0,1.0,23.0,66.0,23.0,18.0,27.0,66.0,0.0,0.0,70.0,17.0,8.0,21.0,13.0,11.0,8,random,scenario_0_no_jammer_calibrated
-1042.8440912691349,45.0,0.225,0.08893280632411067,0.717391304347826,16.936999999999998,75.27555555555554,1.1152962790129384,27.348023074035524,13.0,40.348023074035524,0.0,0.0,0.6318252730109203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,19.0,26.0,1.0,1.0,16.0,64.0,16.0,19.0,13.0,88.0,0.0,0.0,45.0,20.0,13.0,6.0,0.0,6.0,9,random,scenario_0_no_jammer_calibrated
