step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,1.0,0.0,0.0,0.6,33.30685935032765,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0,random,scenario_0_no_jammer_calibrated
1.0,1.0,0.0,0.0,1.4,33.30685935032765,999.8085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14191421356237308,0.0,0.0,0.0,0.13999999999999999,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_0_no_jammer_calibrated
2.0,1.0,1.0,0.0,2.0,33.30685935032765,999.6171572875255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6380857864376189,1.0,0.0,0.0,0.2,0.0019142135623730955,0.0,0.0,0.16000000000000802,0,random,scenario_0_no_jammer_calibrated
3.0,1.0,0.0,0.0,2.2,33.30685935032765,999.4671572875255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.38150000000000805,0.0,0.0,0.0,0.22000000000000003,0.0015000000000000002,0.0,0.0,0.16000000000000802,0,random,scenario_0_no_jammer_calibrated
4.0,1.0,1.0,0.0,2.8,33.30685935032765,999.3171572875256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.558499999999998,1.0,0.0,0.0,0.27999999999999997,0.0015000000000000002,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
5.0,1.0,0.0,0.0,3.2,33.30685935032765,999.1257359312883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.4819142135623752,0.0,0.0,0.0,0.32000000000000006,0.0019142135623730955,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
6.0,0.0,0.0,0.0,3.6,33.30685935032765,999.0757359312884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.5205000000000021,0.0,0.0,0.0,0.36000000000000004,0.0005,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
7.0,1.0,0.0,0.0,4.2,33.30685935032765,998.9343145750511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.5814142135623752,0.0,0.0,0.0,0.42000000000000004,0.0014142135623730952,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
8.0,0.0,0.0,0.0,4.2,33.30685935032765,998.834314575051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.5810000000000021,0.0,0.0,0.0,0.42000000000000004,0.001,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
9.0,1.0,0.0,0.0,4.4,34.30685935032765,998.7843145750511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.600500000000002,0.0,0.0,0.0,0.44000000000000006,0.0005,0.0,0.0,0.16000000000000203,0,random,scenario_0_no_jammer_calibrated
