total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-9942.422499999988,48.0,0.24,0.009642426677380474,0.9803133788670149,9.927999999999992,41.36666666666663,9.142857142857142,2.25,3.0,5.25,0.0,0.0,0.19999999999999996,0.0,53.0,0,greedy_nearest,scenario_0_no_jammer
-10012.909499999983,63.0,0.315,0.012509928514694202,0.977561556791104,9.909999999999991,31.460317460317434,9.064748201438853,2.9499999999999975,4.0,6.9499999999999975,0.0,0.0,0.2,0.0,58.0,1,greedy_nearest,scenario_0_no_jammer
-9852.809499999998,59.0,0.295,0.011921600323297636,0.9781774095776925,9.91299999999999,33.60338983050844,20.000000000000018,2.9499999999999975,0.0,2.9499999999999975,0.0,0.0,0.2,0.0,49.0,2,greedy_nearest,scenario_0_no_jammer
-9835.027999999991,59.0,0.295,0.01194331983805668,0.9781376518218623,9.907999999999992,33.58644067796608,10.172413793103452,2.799999999999998,3.0,5.799999999999998,0.0,0.0,0.2,0.0,46.0,3,greedy_nearest,scenario_0_no_jammer
-9986.769999999991,63.0,0.315,0.012542305395182161,0.9775034839737209,9.89499999999999,31.412698412698383,10.500000000000005,2.9999999999999973,3.0,5.999999999999997,0.0,0.0,0.2,0.0,52.0,4,greedy_nearest,scenario_0_no_jammer
-10099.12899999999,61.0,0.305,0.012017336485421592,0.9781323877068558,9.91299999999999,32.50163934426226,10.338983050847462,2.8999999999999977,3.0,5.899999999999998,0.0,0.0,0.2,0.0,48.0,5,greedy_nearest,scenario_0_no_jammer
-9877.691999999992,66.0,0.33,0.013271667001809772,0.976674039815001,9.90699999999999,30.021212121212088,12.6923076923077,3.1999999999999966,2.0,5.199999999999997,0.0,0.0,0.2,0.0,50.0,6,greedy_nearest,scenario_0_no_jammer
-9833.445499999987,54.0,0.27,0.010946685586863977,0.978917494425299,9.902999999999993,36.67777777777775,9.729729729729732,2.549999999999999,3.0,5.549999999999999,0.0,0.0,0.19999999999999998,0.0,57.0,7,greedy_nearest,scenario_0_no_jammer
-9877.221499999992,43.0,0.215,0.008707978938841636,0.9811664641555286,9.925999999999993,46.16744186046508,19.999999999999996,2.1500000000000004,0.0,2.1500000000000004,0.0,0.0,0.19999999999999996,0.0,52.0,8,greedy_nearest,scenario_0_no_jammer
-9932.185499999992,54.0,0.27,0.010839020473705338,0.979124849458049,9.915999999999991,36.72592592592589,8.244274809160308,2.549999999999999,4.0,6.549999999999999,0.0,0.0,0.19999999999999998,0.0,55.0,9,greedy_nearest,scenario_0_no_jammer
-9816.119499999992,42.0,0.21,0.008560945780676722,0.9812474520994701,9.928999999999995,47.28095238095236,8.484848484848483,1.950000000000001,3.0,4.950000000000001,0.0,0.0,0.19999999999999996,0.0,61.0,10,greedy_nearest,scenario_0_no_jammer
-9851.751499999982,64.0,0.32,0.0129136400322841,0.9771993543179984,9.909999999999991,30.96874999999997,12.427184466019424,3.149999999999997,2.0,5.149999999999997,0.0,0.0,0.2,0.0,52.0,11,greedy_nearest,scenario_0_no_jammer
-9909.14599999999,53.0,0.265,0.010666130006037432,0.979271483195814,9.921999999999992,37.44150943396223,14.722222222222227,2.5999999999999988,1.0,3.5999999999999988,0.0,0.0,0.19999999999999998,0.0,45.0,12,greedy_nearest,scenario_0_no_jammer
-9973.611999999996,64.0,0.32,0.01275154413229727,0.9772863120143455,9.90699999999999,30.959374999999966,20.00000000000002,3.1999999999999966,0.0,3.1999999999999966,0.0,0.0,0.2,0.0,43.0,13,greedy_nearest,scenario_0_no_jammer
-9944.16499999999,52.0,0.26,0.010431293881644935,0.9795386158475426,9.914999999999994,38.13461538461536,9.454545454545457,2.499999999999999,3.0,5.499999999999999,0.0,0.0,0.19999999999999998,0.0,50.0,14,greedy_nearest,scenario_0_no_jammer
-10062.263499999981,48.0,0.24,0.009527590313616514,0.9805478364430329,9.919999999999995,41.333333333333314,14.328358208955226,2.3499999999999996,1.0,3.3499999999999996,0.0,0.0,0.19999999999999996,0.0,48.0,15,greedy_nearest,scenario_0_no_jammer
-10035.319499999985,43.0,0.215,0.0085725677830941,0.981658692185008,9.930999999999996,46.19069767441859,7.226890756302519,1.950000000000001,4.0,5.950000000000001,0.0,0.0,0.19999999999999996,0.0,53.0,16,greedy_nearest,scenario_0_no_jammer
-9971.909999999987,60.0,0.3,0.01197365795250449,0.9780482937537418,9.901999999999992,33.00666666666664,15.00000000000001,2.9999999999999973,1.0,3.9999999999999973,0.0,0.0,0.2,0.0,51.0,17,greedy_nearest,scenario_0_no_jammer
-9841.989499999985,60.0,0.3,0.01213101496158512,0.9777598059037607,9.905999999999992,33.019999999999975,15.189873417721529,2.9499999999999975,1.0,3.9499999999999975,0.0,0.0,0.2,0.0,51.0,18,greedy_nearest,scenario_0_no_jammer
-9976.984499999984,51.0,0.255,0.0102,0.9798,9.913999999999993,38.87843137254899,11.460674157303373,2.4499999999999993,2.0,4.449999999999999,0.0,0.0,0.19999999999999998,0.0,48.0,19,greedy_nearest,scenario_0_no_jammer
-9897.561499999985,43.0,0.215,0.008690379951495554,0.9812045270816492,9.934999999999995,46.209302325581376,13.650793650793648,2.1500000000000004,1.0,3.1500000000000004,0.0,0.0,0.19999999999999996,0.0,61.0,20,greedy_nearest,scenario_0_no_jammer
-10126.881999999983,44.0,0.22,0.008688783570300158,0.9816350710900474,9.922999999999995,45.10454545454543,20.0,2.2,0.0,2.2,0.0,0.0,0.19999999999999996,0.0,53.0,21,greedy_nearest,scenario_0_no_jammer
-9883.322499999986,49.0,0.245,0.009900990099009901,0.9801980198019802,9.922999999999993,40.502040816326506,7.84,2.25,4.0,6.25,0.0,0.0,0.19999999999999998,0.0,52.0,22,greedy_nearest,scenario_0_no_jammer
-9924.721999999985,44.0,0.22,0.008863819500402902,0.9810636583400484,9.930999999999992,45.140909090909055,20.0,2.2,0.0,2.2,0.0,0.0,0.19999999999999996,0.0,49.0,23,greedy_nearest,scenario_0_no_jammer
-9949.885999999988,56.0,0.28,0.011213456147376852,0.9787745294353224,9.908999999999994,35.38928571428569,8.484848484848486,2.5999999999999988,4.0,6.599999999999999,0.0,0.0,0.19999999999999998,0.0,56.0,24,greedy_nearest,scenario_0_no_jammer
-9902.044499999987,50.0,0.25,0.010078613182826043,0.9798427736343479,9.916999999999991,39.667999999999964,14.492753623188408,2.4499999999999993,1.0,3.4499999999999993,0.0,0.0,0.19999999999999998,0.0,48.0,25,greedy_nearest,scenario_0_no_jammer
-9899.952999999989,70.0,0.35,0.014028056112224449,0.9759519038076152,9.903999999999991,28.297142857142834,9.589041095890416,3.2999999999999963,4.0,7.299999999999996,0.0,0.0,0.2,0.0,49.0,26,greedy_nearest,scenario_0_no_jammer
-9975.852999999994,68.0,0.34,0.013532338308457712,0.9765174129353233,9.898999999999988,29.114705882352904,12.830188679245293,3.2999999999999963,2.0,5.299999999999996,0.0,0.0,0.2,0.0,46.0,27,greedy_nearest,scenario_0_no_jammer
-9951.866499999987,54.0,0.27,0.010819475055099179,0.9793628531356442,9.899999999999993,36.666666666666636,14.794520547945211,2.6499999999999986,1.0,3.6499999999999986,0.0,0.0,0.19999999999999998,0.0,44.0,28,greedy_nearest,scenario_0_no_jammer
-9910.20449999999,52.0,0.26,0.010466988727858293,0.9794685990338164,9.916999999999993,38.14230769230766,9.541284403669726,2.4499999999999993,3.0,5.449999999999999,0.0,0.0,0.19999999999999998,0.0,53.0,29,greedy_nearest,scenario_0_no_jammer
