step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,2000.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav
1.0,0.0,0.0,7.0,8.7,27.791489811750647,2000.0,0.0,0.0,0.0,-14.87,0.0,0.0,14.0,0.87,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav
2.0,0.0,0.0,37.0,10.0,27.791489811750647,2000.0,0.0,0.0,0.0,-75.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav
3.0,0.0,0.0,47.0,10.0,27.791489811750647,2000.0,0.0,0.0,0.0,-95.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav
4.0,1.0,0.0,47.0,10.0,27.791489811750647,2000.0,0.0,0.0,0.0,-95.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_1_multi_uav
5.0,1.0,2.0,48.0,9.8,27.791489811750647,1999.9,0.0,0.0,0.0,-95.141,2.0,0.0,96.0,0.9800000000000001,0.001,0.0,0.0,0.16000000000000203,0,backscatter_only,scenario_1_multi_uav
6.0,1.0,2.0,55.0,9.8,27.791489811750647,1999.8000000000002,0.0,0.0,0.0,-109.141,2.0,0.0,110.0,0.9800000000000001,0.001,0.0,0.0,0.1600000000000005,0,backscatter_only,scenario_1_multi_uav
7.0,1.0,2.0,52.0,9.8,27.791489811750647,1999.7000000000003,0.0,0.0,0.0,-103.141,2.0,0.0,104.0,0.9800000000000001,0.001,0.0,0.0,0.16000000000000025,0,backscatter_only,scenario_1_multi_uav
8.0,1.0,2.0,42.0,9.8,27.791489811750647,1999.6000000000004,0.0,0.0,0.0,-83.141,2.0,0.0,84.0,0.9800000000000001,0.001,0.0,0.0,0.16000000000000014,0,backscatter_only,scenario_1_multi_uav
9.0,1.0,2.0,47.0,9.8,27.791489811750647,1999.5000000000005,0.0,0.0,0.0,-93.141,2.0,0.0,94.0,0.9800000000000001,0.001,0.0,0.0,0.1600000000000001,0,backscatter_only,scenario_1_multi_uav
10.0,0.0,0.0,47.0,10.0,27.791489811750647,1999.5000000000005,0.0,0.0,0.0,-95.16,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.1600000000000001,0,backscatter_only,scenario_1_multi_uav
11.0,0.0,0.0,49.0,10.0,27.791489811750647,1999.5000000000005,0.0,0.0,0.0,-99.16,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.1600000000000001,0,backscatter_only,scenario_1_multi_uav
12.0,1.0,0.0,58.0,10.0,27.791489811750647,1999.5000000000005,0.0,0.0,0.0,-117.16,0.0,0.0,116.0,1.0,0.0,0.0,0.0,0.1600000000000001,0,backscatter_only,scenario_1_multi_uav
13.0,1.0,2.0,50.0,9.8,27.791489811750647,1999.4000000000005,0.0,0.0,0.0,-99.141,2.0,0.0,100.0,0.9800000000000001,0.001,0.0,0.0,0.16000000000000006,0,backscatter_only,scenario_1_multi_uav
14.0,0.0,0.0,44.0,10.0,27.791489811750647,1999.4000000000005,0.0,0.0,0.0,-89.16,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.16000000000000006,0,backscatter_only,scenario_1_multi_uav
