total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1330.0975589437332,220.0,1.1,0.22022022022022023,0.6156156156156156,14.5305,13.209545454545454,19.498632180413402,11.282842712474595,0.0,11.282842712474595,0.0,0.0,0.24029391321616522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,220.0,0.0,1.0,0.0,0.0,180.0,0.0,220.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,106.0,0.0,1.0,21.0,0.0,0.0,92.0,0.0,0,backscatter_only,scenario_1_multi_uav_calibrated
-1370.4853542093863,224.0,1.12,0.2178988326848249,0.6108949416342413,15.527499999999996,13.863839285714281,19.173415709929863,11.682842712474594,0.0,11.682842712474594,0.0,0.0,0.2534909568556128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,224.0,0.0,1.0,0.0,4.0,172.0,4.0,224.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,101.0,16.0,0.0,96.0,0.0,11.0,0.0,0.0,0.0,1,backscatter_only,scenario_1_multi_uav_calibrated
-1309.9339768140292,217.0,1.085,0.21613545816733068,0.6045816733067729,14.331500000000005,13.20875576036867,19.078157381357023,11.374264068711906,0.0,11.374264068711906,0.0,0.0,0.31961582841240754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,217.0,0.0,1.0,0.0,2.0,181.0,2.0,217.0,0.0,0.0,0.0,0.0,109.0,108.0,42.0,0.0,0.0,84.0,11.0,0.0,76.0,4.0,0.0,0.0,2,backscatter_only,scenario_1_multi_uav_calibrated
-1204.7967307184376,218.0,1.09,0.23415682062298604,0.5864661654135338,15.119499999999993,13.871100917431185,19.250699089781712,11.324264068711905,0.0,11.324264068711905,0.0,0.0,0.26114957687657986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,218.0,0.0,1.0,0.0,0.0,182.0,0.0,218.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,102.0,23.0,85.0,3,backscatter_only,scenario_1_multi_uav_calibrated
-1284.044504986276,227.0,1.135,0.22745490981963928,0.591182364729459,15.173499999999999,13.368722466960351,19.75386620705449,11.491421356237286,0.0,11.491421356237286,0.0,0.0,0.2538749568901808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,227.0,0.0,1.0,0.0,0.0,173.0,0.0,227.0,0.0,0.0,0.0,0.0,113.0,114.0,3.0,103.0,10.0,1.0,0.0,13.0,97.0,0.0,0.0,0.0,4,backscatter_only,scenario_1_multi_uav_calibrated
-1539.3863489675803,221.0,1.105,0.20127504553734063,0.644808743169399,15.697000000000003,14.205429864253396,19.7321428571429,11.199999999999976,0.0,11.199999999999976,0.0,0.0,0.2091422943519034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,222.0,0.0,0.9954954954954955,0.0,2.0,176.0,2.0,222.0,0.0,0.0,0.0,0.0,110.0,111.0,1.0,110.0,0.0,0.0,0.0,0.0,4.0,106.0,0.0,0.0,5,backscatter_only,scenario_1_multi_uav_calibrated
-1265.2053149113208,200.0,1.0,0.20639834881320948,0.5892672858617131,14.848500000000001,14.848500000000001,20.00000000000004,9.99999999999998,0.0,9.99999999999998,0.0,0.0,0.29801817910892564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0,1.0,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,100.0,21.0,0.0,0.0,0.0,82.0,0.0,18.0,77.0,0.0,2.0,6,backscatter_only,scenario_1_multi_uav_calibrated
-1234.289254654659,208.0,1.04,0.2215122470713525,0.5921192758253461,15.105500000000008,14.524519230769238,19.80952380952385,10.499999999999979,0.0,10.499999999999979,0.0,0.0,0.27521628498727735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,208.0,0.0,1.0,0.0,2.0,190.0,2.0,208.0,0.0,0.0,0.0,0.0,104.0,104.0,0.0,88.0,0.0,0.0,0.0,18.0,0.0,86.0,0.0,16.0,7,backscatter_only,scenario_1_multi_uav_calibrated
-1220.2159977525046,234.0,1.17,0.24299065420560748,0.5919003115264797,14.373000000000008,12.284615384615392,20.000000000000043,11.699999999999974,0.0,11.699999999999974,0.0,0.0,0.3229680311430931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,234.0,0.0,1.0,0.0,0.0,166.0,0.0,234.0,0.0,0.0,0.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0,85.0,0.0,28.0,89.0,32.0,0.0,8,backscatter_only,scenario_1_multi_uav_calibrated
-1331.1942163478532,212.0,1.06,0.2150101419878296,0.6125760649087221,15.408500000000005,14.536320754716986,20.000000000000043,10.599999999999978,0.0,10.599999999999978,0.0,0.0,0.2442608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,212.0,0.0,1.0,0.0,0.0,188.0,0.0,212.0,0.0,0.0,0.0,0.0,106.0,106.0,1.0,96.0,7.0,0.0,3.0,0.0,0.0,10.0,95.0,0.0,9,backscatter_only,scenario_1_multi_uav_calibrated
-1275.2377370481513,220.0,1.1,0.2268041237113402,0.6051546391752577,14.618500000000004,13.289545454545458,19.498632180413402,11.282842712474595,0.0,11.282842712474595,0.0,0.0,0.2549246813441483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,220.0,0.0,1.0,0.0,0.0,180.0,0.0,220.0,0.0,0.0,0.0,0.0,110.0,110.0,3.0,0.0,101.0,0.0,0.0,26.0,0.0,0.0,0.0,90.0,10,backscatter_only,scenario_1_multi_uav_calibrated
