step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,0.3,62.23319184940052,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_1_multi_uav_calibrated
1.0,0.0,1.0,0.0,0.6,61.23319184940052,1999.8085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7580857864376248,1.0,0.0,0.0,0.06,0.0019142135623730955,0.0,0.0,0.18000000000000202,0,greedy_nearest,scenario_1_multi_uav_calibrated
2.0,0.0,1.0,0.0,0.9,60.23319184940052,1999.6171572875255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7480857864376249,1.0,0.0,0.0,0.09000000000000001,0.0019142135623730955,0.0,0.0,0.16000000000000203,0,greedy_nearest,scenario_1_multi_uav_calibrated
3.0,0.0,0.0,0.0,1.0,60.23319184940052,1999.334314575051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.26282842712474824,0.0,0.0,0.0,0.1,0.0028284271247461905,0.0,0.0,0.16000000000000203,0,greedy_nearest,scenario_1_multi_uav_calibrated
4.0,1.0,2.0,0.0,1.3,60.23319184940052,1999.234314575051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.7489999999999981,2.0,0.0,0.0,0.13,0.001,0.0,0.0,0.12000000000000202,0,greedy_nearest,scenario_1_multi_uav_calibrated
5.0,1.0,2.0,0.0,1.5,60.23319184940052,1999.1343145750511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.738999999999999,2.0,0.0,0.0,0.15000000000000002,0.001,0.0,0.0,0.11000000000000112,0,greedy_nearest,scenario_1_multi_uav_calibrated
6.0,1.0,2.0,0.0,1.8,60.23319184940052,1999.0343145750512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.710428571428571,2.0,0.0,0.0,0.18000000000000002,0.001,0.0,0.0,0.10857142857142921,0,greedy_nearest,scenario_1_multi_uav_calibrated
7.0,0.0,3.0,0.0,1.9,58.23319184940052,1998.9343145750513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,2.6870645161290323,3.0,0.0,0.0,0.19,0.001,0.0,0.0,0.121935483870968,0,greedy_nearest,scenario_1_multi_uav_calibrated
8.0,1.0,1.0,0.0,2.3,58.23319184940052,1998.742893218814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.6480857864376267,1.0,0.0,0.0,0.22999999999999998,0.0019142135623730955,0.0,0.0,0.12000000000000025,0,greedy_nearest,scenario_1_multi_uav_calibrated
9.0,1.0,1.0,0.0,2.5,58.23319184940052,1998.5514718625768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.6266904376004174,1.0,0.0,0.0,0.25,0.0019142135623730955,0.0,0.0,0.12139534883720948,0,greedy_nearest,scenario_1_multi_uav_calibrated
