total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-920.659226915661,334.0,1.67,0.3333333333333333,0.4740518962075848,14.331000000000007,8.581437125748508,4.357887424097232,18.6426406871193,58.0,76.6426406871193,0.0,1.0,0.7007286432160804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,105.0,230.0,105.0,0.9956521739130435,1.0,0.0,112.0,0.0,230.0,58.0,0.0,0.0,0.0,164.0,170.0,61.0,12.0,26.0,10.0,24.0,32.0,77.0,10.0,53.0,29.0,0,greedy_sinr,scenario_1_multi_uav_calibrated
-960.4762764390155,351.0,1.755,0.33847637415621984,0.49469623915139826,13.505000000000006,7.695156695156699,4.131365756127999,18.959797974644687,66.0,84.95979797464469,0.0,0.0,0.5276952070929883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,121.0,230.0,121.0,1.0,1.0,4.0,100.0,4.0,230.0,66.0,0.0,0.0,0.0,174.0,177.0,12.0,95.0,17.0,10.0,63.0,8.0,94.0,14.0,20.0,18.0,1,greedy_sinr,scenario_1_multi_uav_calibrated
-1073.4008366898222,281.0,1.405,0.28383838383838383,0.5323232323232323,14.383500000000005,10.237366548042708,3.9455293151182462,15.219848480983478,56.0,71.21984848098347,0.0,0.0,0.5327643208960259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,95.0,187.0,95.0,0.9946524064171123,1.0,2.0,155.0,2.0,187.0,56.0,0.0,0.0,0.0,142.0,139.0,76.0,14.0,20.0,19.0,18.0,8.0,18.0,16.0,8.0,84.0,2,greedy_sinr,scenario_1_multi_uav_calibrated
-886.8196446904357,327.0,1.635,0.3478723404255319,0.4808510638297872,13.712499999999991,8.386850152905193,4.452275825929212,16.445584412271543,57.0,73.44558441227154,0.0,4.0,0.5714155934377171,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,106.0,221.0,106.0,1.0,1.0,0.0,122.0,0.0,221.0,57.0,0.0,0.0,0.0,163.0,164.0,48.0,20.0,90.0,12.0,12.0,10.0,11.0,26.0,80.0,18.0,3,greedy_sinr,scenario_1_multi_uav_calibrated
-979.4446042590715,323.0,1.615,0.31822660098522165,0.4945812807881773,14.278499999999992,8.84117647058823,4.145585063775651,14.914213562373067,63.0,77.91421356237306,0.0,0.0,0.5619660651764072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,116.0,207.0,116.0,1.0,1.0,0.0,130.0,0.0,207.0,63.0,0.0,0.0,0.0,168.0,155.0,19.0,31.0,16.0,17.0,14.0,24.0,95.0,14.0,81.0,12.0,4,greedy_sinr,scenario_1_multi_uav_calibrated
-1174.0297840870767,327.0,1.635,0.2951263537906137,0.5370036101083032,14.824999999999996,9.067278287461772,4.543027863519088,16.97842712474618,55.0,71.97842712474618,0.0,0.0,0.4869927585735756,2.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,226.0,101.0,226.0,101.0,1.0,1.0,2.0,116.0,2.0,226.0,56.0,0.0,0.0,0.0,161.0,166.0,97.0,101.0,15.0,8.0,13.0,18.0,21.0,28.0,14.0,12.0,5,greedy_sinr,scenario_1_multi_uav_calibrated
-968.0821308625982,320.0,1.6,0.321285140562249,0.5040160642570282,13.426500000000006,8.391562500000003,4.645189021503421,15.88847763108499,53.0,68.888477631085,0.0,0.0,0.5357329705974678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,93.0,228.0,93.0,0.9956140350877193,1.0,0.0,119.0,0.0,228.0,53.0,0.0,0.0,0.0,160.0,160.0,90.0,12.0,12.0,11.0,44.0,28.0,10.0,86.0,10.0,17.0,6,greedy_sinr,scenario_1_multi_uav_calibrated
-850.7071028394397,354.0,1.77,0.3615934627170582,0.4627170582226762,14.172999999999996,8.00734463276836,4.553313254715514,17.745584412271572,60.0,77.74558441227157,0.0,0.0,0.5563171446328686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,112.0,242.0,112.0,1.0,1.0,2.0,96.0,2.0,242.0,60.0,0.0,0.0,0.0,172.0,182.0,95.0,29.0,18.0,8.0,10.0,54.0,14.0,20.0,14.0,92.0,7,greedy_sinr,scenario_1_multi_uav_calibrated
-950.4149431698031,306.0,1.53,0.31875,0.4979166666666667,13.378499999999999,8.744117647058824,4.49471877237924,15.079898987322306,53.0,68.07989898732231,0.0,4.0,0.49569084171519323,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,97.0,209.0,97.0,1.0,1.0,0.0,138.0,0.0,209.0,53.0,0.0,0.0,0.0,152.0,154.0,14.0,14.0,88.0,11.0,20.0,14.0,96.0,20.0,15.0,14.0,8,greedy_sinr,scenario_1_multi_uav_calibrated
-987.0321790521616,321.0,1.605,0.3216432865731463,0.5050100200400801,14.367499999999996,8.951713395638627,4.584221649645561,15.022792206135756,55.0,70.02279220613576,0.0,0.0,0.5243016333384216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,101.0,220.0,101.0,1.0,1.0,0.0,125.0,0.0,220.0,55.0,0.0,0.0,0.0,162.0,159.0,25.0,102.0,16.0,10.0,17.0,13.0,14.0,19.0,23.0,82.0,9,greedy_sinr,scenario_1_multi_uav_calibrated
-935.8473449004236,305.0,1.525,0.3173777315296566,0.49427679500520294,13.799499999999998,9.048852459016393,4.352708048094217,15.071320343559615,55.0,70.07132034355962,0.0,0.0,0.49823255315730275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,105.0,200.0,105.0,1.0,1.0,0.0,145.0,0.0,200.0,55.0,0.0,0.0,0.0,153.0,152.0,12.0,8.0,27.0,22.0,8.0,94.0,87.0,14.0,12.0,21.0,10,greedy_sinr,scenario_1_multi_uav_calibrated
-925.582843623393,349.0,1.745,0.3472636815920398,0.4925373134328358,13.577500000000008,7.780802292263615,4.3723460598042445,17.8198484809835,62.0,79.8198484809835,0.0,0.0,0.6306684616579507,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,116.0,233.0,116.0,1.0,1.0,2.0,103.0,2.0,233.0,62.0,0.0,0.0,0.0,173.0,176.0,90.0,18.0,14.0,44.0,36.0,14.0,26.0,8.0,78.0,21.0,11,greedy_sinr,scenario_1_multi_uav_calibrated
-845.5159888322385,333.0,1.665,0.3472367049009385,0.4608967674661105,13.965000000000005,8.38738738738739,4.48615190835675,17.22842712474618,57.0,74.22842712474618,0.0,0.0,0.5154032070648384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,105.0,229.0,105.0,0.9956331877729258,1.0,2.0,112.0,2.0,229.0,57.0,0.0,0.0,0.0,171.0,162.0,22.0,89.0,12.0,17.0,8.0,10.0,102.0,28.0,10.0,35.0,12,greedy_sinr,scenario_1_multi_uav_calibrated
