total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1101.468866714946,291.0,1.455,0.2948328267477204,0.5511651469098278,14.0155,9.632646048109965,1.5886022517139815,21.17989898732237,162.0,183.17989898732236,0.0,0.0,0.41729167693293256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,291.0,0.0,1.0,149.97751112456584,16.0,222.0,0.0,162.0,0.0,0.0,0.0,147.0,144.0,14.0,0.0,12.0,10.0,12.0,82.0,14.0,0.0,105.0,42.0,0,htt_only,scenario_1_multi_uav_calibrated
-1178.5152610202372,298.0,1.49,0.2865384615384615,0.5653846153846154,13.838499999999994,9.287583892617446,1.6147021289870407,21.554163056034277,163.0,184.55416305603427,0.0,0.0,0.3911725839133116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,298.0,0.0,1.0,141.5286175678801,17.0,220.0,0.0,163.0,0.0,0.0,0.0,157.0,141.0,12.0,89.0,14.0,0.0,111.0,0.0,40.0,0.0,18.0,14.0,1,htt_only,scenario_1_multi_uav_calibrated
-1125.6778972952739,300.0,1.5,0.29673590504451036,0.5519287833827893,14.241999999999992,9.494666666666662,1.643347897291809,21.554163056034294,161.0,182.5541630560343,0.0,0.0,0.4315718806943512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,1.0,143.4384120346261,17.0,222.0,0.0,161.0,0.0,0.0,0.0,163.0,137.0,76.0,0.0,8.0,87.0,14.0,8.0,83.0,14.0,0.0,10.0,2,htt_only,scenario_1_multi_uav_calibrated
-1005.0144275151392,303.0,1.515,0.3166144200626959,0.5245559038662487,14.107999999999997,9.31221122112211,1.669054116436117,20.539949493661194,161.0,181.5399494936612,0.0,0.0,0.46748306940271905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,303.0,0.0,1.0,151.39901909048675,9.0,230.0,0.0,161.0,0.0,0.0,0.0,152.0,151.0,12.0,10.0,81.0,0.0,0.0,0.0,11.0,49.0,86.0,54.0,3,htt_only,scenario_1_multi_uav_calibrated
-1003.2400586155212,306.0,1.53,0.3154639175257732,0.5268041237113402,13.4825,8.812091503267974,1.6363893961530713,20.99705627484775,166.0,186.99705627484775,0.0,0.0,0.5244539038870841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,306.0,0.0,1.0,132.39904531758305,14.0,220.0,0.0,166.0,0.0,0.0,0.0,156.0,150.0,14.0,49.0,12.0,12.0,14.0,11.0,94.0,14.0,74.0,12.0,4,htt_only,scenario_1_multi_uav_calibrated
-1285.7281185013667,294.0,1.47,0.2709677419354839,0.5870967741935483,13.994499999999993,9.520068027210879,1.586788429866948,21.27989898732237,164.0,185.27989898732238,0.0,0.0,0.3873969164575117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,294.0,0.0,1.0,145.33909874770717,14.0,222.0,0.0,164.0,0.0,0.0,0.0,144.0,150.0,28.0,107.0,7.0,8.0,12.0,10.0,13.0,97.0,0.0,12.0,5,htt_only,scenario_1_multi_uav_calibrated
-1128.297591623873,274.0,1.37,0.2759315206445116,0.5518630412890232,14.165000000000006,10.339416058394164,1.5922042182707197,21.088477631085055,151.0,172.08847763108506,0.0,0.0,0.44961073182417055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,274.0,0.0,1.0,130.0505625876981,15.0,234.0,0.0,151.0,0.0,0.0,0.0,133.0,141.0,34.0,12.0,12.0,8.0,75.0,10.0,11.0,96.0,8.0,8.0,6,htt_only,scenario_1_multi_uav_calibrated
-1045.8094322859215,275.0,1.375,0.2867570385818561,0.5307612095933264,14.066499999999989,10.23018181818181,1.6004861547709135,20.82279220613582,151.0,171.82279220613583,0.0,0.0,0.47909407665505227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,275.0,0.0,1.0,151.20665688864565,9.0,240.0,0.0,151.0,0.0,0.0,0.0,140.0,135.0,38.0,67.0,14.0,8.0,0.0,78.0,0.0,58.0,0.0,12.0,7,htt_only,scenario_1_multi_uav_calibrated
-999.370719174215,301.0,1.505,0.30935251798561153,0.5179856115107914,13.709500000000002,9.109302325581398,1.612804956794131,20.631370849898506,166.0,186.6313708498985,0.0,0.0,0.5222862742837379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,301.0,0.0,1.0,156.19125169819972,10.0,224.0,0.0,166.0,0.0,0.0,0.0,147.0,154.0,14.0,14.0,57.0,10.0,93.0,0.0,38.0,58.0,7.0,10.0,8,htt_only,scenario_1_multi_uav_calibrated
-1304.050663459386,248.0,1.24,0.24148003894839337,0.6037000973709834,14.339499999999994,11.564112903225801,1.6326530612244898,19.900000000000013,132.0,151.9,0.0,0.0,0.3472840203274986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,248.0,0.0,1.0,119.72934095817243,2.0,266.0,0.0,132.0,0.0,0.0,0.0,121.0,127.0,14.0,101.0,14.0,0.0,8.0,13.0,0.0,12.0,82.0,4.0,9,htt_only,scenario_1_multi_uav_calibrated
-1014.6367347101698,314.0,1.57,0.32040816326530613,0.5265306122448979,13.708000000000004,8.731210191082804,1.6597957905720326,21.17989898732237,168.0,189.17989898732236,0.0,0.0,0.45752204176334105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,314.0,0.0,1.0,142.4013751782065,16.0,216.0,0.0,168.0,0.0,0.0,0.0,156.0,158.0,12.0,6.0,99.0,14.0,0.0,54.0,14.0,14.0,12.0,89.0,10,htt_only,scenario_1_multi_uav_calibrated
-1138.9904689873588,290.0,1.45,0.2874132804757185,0.554013875123885,14.218999999999992,9.80620689655172,1.6358832542528299,20.27426406871195,157.0,177.27426406871194,0.0,0.0,0.38989337042188227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,290.0,0.0,1.0,143.5254608579285,3.0,240.0,0.0,157.0,0.0,0.0,0.0,143.0,147.0,53.0,8.0,0.0,108.0,81.0,4.0,8.0,0.0,14.0,14.0,11,htt_only,scenario_1_multi_uav_calibrated
-1037.860891291834,297.0,1.485,0.3077720207253886,0.5367875647668394,13.729999999999995,9.245791245791242,1.654939611347395,21.46274169979699,158.0,179.462741699797,0.0,0.0,0.4684741621966116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,297.0,0.0,1.0,137.45565398216064,16.0,226.0,0.0,158.0,0.0,0.0,0.0,150.0,147.0,80.0,12.0,0.0,14.0,8.0,8.0,64.0,14.0,10.0,87.0,12,htt_only,scenario_1_multi_uav_calibrated
-1229.0828823321885,282.0,1.41,0.27037392138063276,0.5752636625119847,14.322000000000001,10.15744680851064,1.6343228368508886,20.548528137423876,152.0,172.5485281374239,0.0,0.0,0.4178875459800315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,282.0,0.0,1.0,132.501848503967,6.0,242.0,0.0,152.0,0.0,0.0,0.0,146.0,136.0,80.0,8.0,11.0,10.0,104.0,14.0,33.0,12.0,10.0,0.0,13,htt_only,scenario_1_multi_uav_calibrated
-1112.5629063241963,307.0,1.535,0.30098039215686273,0.5470588235294118,13.908999999999999,9.061237785016287,1.6385820921036307,20.35710678118657,167.0,187.35710678118656,0.0,0.0,0.4135360449300162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,307.0,0.0,1.0,146.02375079869338,7.0,226.0,0.0,167.0,0.0,0.0,0.0,155.0,152.0,0.0,67.0,12.0,6.0,0.0,107.0,79.0,12.0,12.0,12.0,14,htt_only,scenario_1_multi_uav_calibrated
