total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1770.7424868853075,62.0,0.31,0.06256306760847628,0.7356205852674067,17.607000000000024,56.796774193548465,0.813387057173803,54.22447327281722,22.0,76.22447327281722,0.0,0.0,0.5414084507042253,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,0.0,0.0,18.0,44.0,18.0,44.0,1.0,1.0,27.0,168.0,28.0,21.0,22.0,161.0,0.0,0.0,19.0,43.0,0.0,0.0,11.0,2.0,17.0,12.0,6.0,0.0,10.0,4.0,0,random,scenario_1_multi_uav_calibrated
-1856.3419400513535,63.0,0.315,0.06086956521739131,0.7468599033816425,17.59350000000001,55.85238095238098,0.8360496957298037,56.35437226013952,19.0,75.35437226013951,0.0,0.0,0.5582278481012658,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,0.0,0.0,25.0,38.0,25.0,38.0,1.0,1.0,25.992830912725537,149.0,28.0,26.0,19.0,178.0,0.0,0.0,37.0,26.0,10.0,17.0,4.0,0.0,13.0,0.0,3.0,0.0,8.0,8.0,1,random,scenario_1_multi_uav_calibrated
-1817.971246764044,66.0,0.33,0.0647693817468106,0.7389597644749755,17.71950000000002,53.69545454545461,0.901356113910528,54.22300141024107,19.0,73.22300141024107,0.0,0.0,0.5404466501240694,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,0.0,0.0,28.0,38.0,28.0,38.0,1.0,1.0,19.0,165.0,21.0,28.0,21.0,165.0,0.0,0.0,30.0,36.0,9.0,0.0,0.0,7.0,9.0,9.0,21.0,3.0,0.0,8.0,2,random,scenario_1_multi_uav_calibrated
-1632.145964202683,72.0,0.36,0.0768409818569904,0.7107790821771611,17.373500000000014,48.259722222222265,0.8986018510829514,54.1244732728172,26.0,80.1244732728172,0.0,0.0,0.47647058823529403,1.0,4.0,0.01,3.0,0.0075,1.0,0.0,0.0,0.0,0.0,21.0,51.0,21.0,51.0,1.0,1.0,19.0,156.0,19.0,25.0,26.0,174.0,0.0,0.0,31.0,41.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,15.0,9.0,17.0,3,random,scenario_1_multi_uav_calibrated
-1619.7853984891133,108.0,0.54,0.10953346855983773,0.691683569979716,17.128000000000007,31.71851851851853,1.1609664362217755,55.02594513539332,38.0,93.02594513539333,0.0,1.0,0.8145251396648043,1.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,0.0,0.0,32.0,76.0,32.0,76.0,1.0,1.0,44.37758289323875,144.0,46.0,32.0,39.0,139.0,0.0,0.0,54.0,54.0,9.0,10.0,7.0,8.0,4.0,8.0,22.0,9.0,18.0,13.0,4,random,scenario_1_multi_uav_calibrated
-1937.600989083825,70.0,0.35,0.06451612903225806,0.7511520737327189,17.56700000000001,50.1914285714286,0.85272097301847,56.090158697766405,26.0,82.09015869776641,0.0,2.0,0.763239875389408,0.0,5.0,0.0125,5.0,0.0125,0.0,0.0,0.0,0.0,0.0,18.0,52.0,18.0,52.0,1.0,1.0,29.0,151.0,32.0,19.0,27.0,171.0,0.0,0.0,12.0,58.0,2.0,10.0,10.0,3.0,8.0,7.0,5.0,13.0,1.0,11.0,5,random,scenario_1_multi_uav_calibrated
-1582.825096808145,111.0,0.555,0.11384615384615385,0.6841025641025641,17.430500000000016,31.406306306306334,1.1905649093126012,54.23305191657991,39.0,93.23305191657991,0.0,0.0,0.8658468025298663,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,0.0,0.0,34.0,77.0,34.0,77.0,1.0,1.0,32.0,156.0,32.0,34.0,42.0,136.0,0.0,0.0,57.0,54.0,10.0,6.0,4.0,12.0,11.0,6.0,15.0,15.0,14.0,18.0,6,random,scenario_1_multi_uav_calibrated
-1689.5945911061974,85.0,0.425,0.08620689655172414,0.7109533468559838,17.754000000000012,41.77411764705885,1.0607553219681334,56.13158005400375,24.0,80.13158005400375,0.0,0.0,0.7518210197710716,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,0.0,0.0,38.0,47.0,38.0,47.0,1.0,1.0,38.0,157.0,41.0,38.0,24.0,140.0,0.0,0.0,54.0,31.0,15.0,3.0,6.0,12.0,10.0,13.0,1.0,6.0,4.0,15.0,7,random,scenario_1_multi_uav_calibrated
-1539.7108798469505,111.0,0.555,0.1162303664921466,0.675392670157068,17.334500000000006,31.23333333333334,1.150376385509763,56.49015869776646,40.0,96.49015869776646,0.0,0.0,0.6795918367346939,2.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,0.0,0.0,31.0,80.0,31.0,80.0,1.0,1.0,30.0,133.0,30.0,32.0,42.0,163.0,0.0,0.0,59.0,52.0,8.0,6.0,12.0,11.0,0.0,1.0,21.0,21.0,9.0,22.0,8,random,scenario_1_multi_uav_calibrated
-1693.5029569026028,89.0,0.445,0.0893574297188755,0.7098393574297188,17.348000000000006,38.98426966292136,1.0857233292531487,54.97300141024108,27.0,81.97300141024108,0.0,1.0,0.6372485921158486,2.0,6.0,0.015,6.0,0.015,0.0,0.0,0.0,0.0,0.0,36.0,53.0,36.0,53.0,1.0,1.0,30.0,154.0,32.0,37.0,30.0,147.0,0.0,0.0,44.0,45.0,16.0,0.0,3.0,0.0,3.0,10.0,8.0,18.0,15.0,16.0,9,random,scenario_1_multi_uav_calibrated
-1756.34602578118,51.0,0.255,0.05284974093264249,0.7419689119170985,17.61750000000003,69.08823529411777,0.723782023998017,52.46320343559641,18.0,70.46320343559641,0.0,0.0,0.515049504950495,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,0.0,0.0,15.0,36.0,15.0,36.0,1.0,1.0,27.0,170.0,27.0,16.0,20.0,167.0,0.0,0.0,13.0,38.0,6.0,0.0,8.0,7.0,0.0,8.0,6.0,0.0,0.0,16.0,10,random,scenario_1_multi_uav_calibrated
-1760.0369896841437,73.0,0.365,0.07285429141716566,0.7295409181636726,17.435000000000002,47.76712328767124,0.99240352017459,53.55878784786795,20.0,73.55878784786795,0.0,0.0,0.50037558685446,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,0.0,0.0,33.0,40.0,33.0,40.0,1.0,1.0,30.0,158.0,31.0,34.0,20.0,157.0,0.0,0.0,24.0,49.0,6.0,1.0,0.0,20.0,20.0,5.0,5.0,0.0,13.0,3.0,11,random,scenario_1_multi_uav_calibrated
-1595.286075298101,101.0,0.505,0.10477178423236515,0.6898340248962656,17.50700000000001,34.66732673267328,1.1307650556618605,56.320057685088784,33.0,89.32005768508878,0.0,0.0,0.7506254598969829,2.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,0.0,0.0,36.0,65.0,36.0,65.0,1.0,1.0,28.0,135.0,29.0,36.0,36.0,164.0,0.0,0.0,49.0,52.0,16.0,18.0,0.0,10.0,7.0,5.0,4.0,12.0,11.0,18.0,12,random,scenario_1_multi_uav_calibrated
-1846.2592239531477,67.0,0.335,0.06467181467181467,0.7451737451737451,17.569500000000016,52.44626865671646,0.8732713628048546,54.723001410241075,22.0,76.72300141024107,0.0,0.0,0.5993324432576769,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,0.0,0.0,24.0,43.0,24.0,43.0,1.0,1.0,25.0,170.0,27.0,24.0,23.0,156.0,0.0,0.0,48.0,19.0,14.0,0.0,6.0,5.0,8.0,3.0,11.0,17.0,3.0,0.0,13,random,scenario_1_multi_uav_calibrated
