step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,2000.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_1_multi_uav
1.0,0.0,4.0,7.0,8.3,25.791489811750647,1999.9,0.0,0.0,0.0,-10.991,4.0,0.0,14.0,0.8300000000000001,0.001,0.0,0.0,0.1600000000000005,0,greedy_sinr,scenario_1_multi_uav
2.0,0.0,4.0,33.0,9.6,23.791489811750647,1999.8000000000002,0.0,0.0,0.0,-63.10766666666667,4.0,0.0,66.0,0.96,0.001,0.0,0.0,0.14666666666666692,0,greedy_sinr,scenario_1_multi_uav
3.0,1.0,0.0,40.0,10.0,23.791489811750647,1999.8000000000002,0.0,0.0,0.0,-81.14666666666666,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.14666666666666692,0,greedy_sinr,scenario_1_multi_uav
4.0,0.0,0.0,45.0,10.0,23.791489811750647,1999.8000000000002,0.0,0.0,0.0,-91.14666666666666,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.14666666666666692,0,greedy_sinr,scenario_1_multi_uav
5.0,0.0,4.0,47.0,9.6,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-91.10957142857143,4.0,0.0,94.0,0.96,0.001,0.0,0.0,0.14857142857142866,0,greedy_sinr,scenario_1_multi_uav
6.0,1.0,0.0,48.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-97.14857142857143,0.0,0.0,96.0,1.0,0.0,0.0,0.0,0.14857142857142866,0,greedy_sinr,scenario_1_multi_uav
7.0,0.0,0.0,53.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-107.14857142857143,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.14857142857142866,0,greedy_sinr,scenario_1_multi_uav
8.0,1.0,0.0,44.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-89.14857142857143,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.14857142857142866,0,greedy_sinr,scenario_1_multi_uav
9.0,1.0,2.0,53.0,9.8,21.791489811750647,1999.6000000000004,0.0,0.0,0.0,-105.12802702702703,2.0,0.0,106.0,0.9800000000000001,0.001,0.0,0.0,0.1470270270270271,0,greedy_sinr,scenario_1_multi_uav
10.0,1.0,2.0,46.0,9.8,21.791489811750647,1999.5000000000005,0.0,0.0,0.0,-91.12766666666667,2.0,0.0,92.0,0.9800000000000001,0.001,0.0,0.0,0.14666666666666672,0,greedy_sinr,scenario_1_multi_uav
