total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-20090.291,2.0,0.01,0.00020006001800540162,0.9897969390817245,9.966500000000002,996.6500000000002,0.24691358024691354,4.100000000000001,4.0,8.100000000000001,0.975609756097561,0.0,0.19999999999999002,0.0,96.0,0,greedy_nearest,scenario_2_static_jammer
-20195.34800000001,0.0,0.0,0.0,0.9900398406374502,9.964500000000001,1992.9,0.0,5.799999999999995,8.0,13.799999999999995,1.0,0.0,1.0,0.0,106.0,1,greedy_nearest,scenario_2_static_jammer
-20148.52850000001,0.0,0.0,0.0,0.9900159744408946,9.9735,1994.6999999999998,0.0,5.849999999999996,5.0,10.849999999999996,1.0,0.0,1.0,0.0,92.0,2,greedy_nearest,scenario_2_static_jammer
-19697.40100000001,0.0,0.0,0.0,0.9898042414355628,9.968,1993.6,0.0,4.100000000000001,0.0,4.100000000000001,1.0,0.0,1.0,0.0,108.0,3,greedy_nearest,scenario_2_static_jammer
-20117.491000000013,0.0,0.0,0.0,0.9899879855826993,9.971,1994.2,0.0,7.099999999999991,4.0,11.09999999999999,1.0,0.0,1.0,0.0,100.0,4,greedy_nearest,scenario_2_static_jammer
-20439.621000000006,0.0,0.0,0.0,0.990166191365916,9.9785,1995.7,0.0,5.099999999999998,0.0,5.099999999999998,1.0,0.0,1.0,0.0,88.0,5,greedy_nearest,scenario_2_static_jammer
-20112.434500000007,0.0,0.0,0.0,0.99000199960008,9.969,1993.8,0.0,5.4499999999999975,5.0,10.449999999999998,1.0,0.0,1.0,0.0,126.0,6,greedy_nearest,scenario_2_static_jammer
-19818.60000000001,1.0,0.005,0.00010151253679829459,0.9897472337833723,9.973,1994.6000000000001,0.10000000000000005,5.999999999999995,4.0,9.999999999999995,0.9916666666666667,0.0,0.09999999999999,0.0,94.0,7,greedy_nearest,scenario_2_static_jammer
-19803.394000000008,0.0,0.0,0.0,0.9898456539398862,9.967,1993.4,0.0,5.399999999999997,2.0,7.399999999999997,1.0,0.0,1.0,0.0,100.0,8,greedy_nearest,scenario_2_static_jammer
-20015.180500000042,2.0,0.01,0.0002011465352509303,0.9897415267022025,9.965499999999999,996.5499999999998,0.3305785123966943,5.049999999999999,1.0,6.049999999999999,0.9900990099009901,0.0,0.0999999999999975,0.0,104.0,9,greedy_nearest,scenario_2_static_jammer
-19928.386000000013,2.0,0.01,0.0002016942315449778,0.9897135941912061,9.967,996.7,0.30303030303030304,4.6,2.0,6.6,0.9782608695652174,0.0,0.19999999999999002,0.0,94.0,10,greedy_nearest,scenario_2_static_jammer
-19946.807500000043,3.0,0.015,0.0003026023804720597,0.9896106516037926,9.974,664.9333333333334,0.3076923076923077,4.75,5.0,9.75,0.9789473684210527,0.0,0.0999999999999989,0.0,107.0,11,greedy_nearest,scenario_2_static_jammer
-19977.45550000004,1.0,0.005,0.00010074551682450131,0.9898247028007253,9.966,1993.1999999999998,0.09478672985781993,5.549999999999997,5.0,10.549999999999997,0.990990990990991,0.0,0.09999999999999,0.0,101.0,12,greedy_nearest,scenario_2_static_jammer
-20247.90500000002,1.0,0.005,9.92358836955443e-05,0.98997717574675,9.97,1994.0,0.11764705882352941,4.5,4.0,8.5,0.9888888888888889,0.0,0.09999999999999,0.0,103.0,13,greedy_nearest,scenario_2_static_jammer
-20294.58150000004,1.0,0.005,9.928514694201747e-05,0.9899722001588562,9.974,1994.8,0.07604562737642588,6.149999999999995,7.0,13.149999999999995,0.991869918699187,0.0,0.09999999999999,0.0,120.0,14,greedy_nearest,scenario_2_static_jammer
-20340.314500000008,1.0,0.005,9.884353069091628e-05,0.9900168034002175,9.973,1994.6000000000001,0.11834319526627222,5.4499999999999975,3.0,8.449999999999998,0.9908256880733946,0.0,0.09999999999999,0.0,97.0,15,greedy_nearest,scenario_2_static_jammer
-20162.209000000006,1.0,0.005,9.956192751891676e-05,0.9899442453205894,9.9725,1994.5,0.1265822784810126,3.900000000000002,4.0,7.900000000000002,0.9871794871794872,0.0,0.09999999999999,0.0,120.0,16,greedy_nearest,scenario_2_static_jammer
-20129.510000000028,2.0,0.01,0.0001998800719568259,0.9898061163302019,9.967,996.7,0.2857142857142858,4.999999999999998,2.0,6.999999999999998,0.98,0.0,0.19999999999999002,0.0,97.0,17,greedy_nearest,scenario_2_static_jammer
-19886.376500000006,0.0,0.0,0.0,0.9899061269809226,9.967,1993.4,0.0,3.650000000000002,3.0,6.650000000000002,1.0,0.0,1.0,0.0,120.0,18,greedy_nearest,scenario_2_static_jammer
-20221.849500000044,1.0,0.005,9.960159362549801e-05,0.9899402390438247,9.971499999999999,1994.2999999999997,0.09132420091324205,5.949999999999996,5.0,10.949999999999996,0.9915966386554622,0.0,0.09999999999999,0.0,110.0,19,greedy_nearest,scenario_2_static_jammer
-20111.01700000004,2.0,0.01,0.0002,0.9898,9.9705,997.05,0.2985074626865672,4.699999999999999,2.0,6.699999999999999,0.9787234042553191,0.0,0.0999999999999975,0.0,102.0,20,greedy_nearest,scenario_2_static_jammer
-20234.51750000001,0.0,0.0,0.0,0.9900596421471173,9.972999999999999,1994.5999999999997,0.0,5.7499999999999964,3.0,8.749999999999996,1.0,0.0,1.0,0.0,104.0,21,greedy_nearest,scenario_2_static_jammer
-19939.444000000007,0.0,0.0,0.0,0.9899254483175499,9.97,1994.0,0.0,4.4,8.0,12.4,1.0,0.0,1.0,0.0,88.0,22,greedy_nearest,scenario_2_static_jammer
-19993.49300000001,0.0,0.0,0.0,0.9899537874221419,9.9725,1994.5,0.0,4.300000000000001,0.0,4.300000000000001,1.0,0.0,1.0,0.0,100.0,23,greedy_nearest,scenario_2_static_jammer
-20135.901000000038,4.0,0.02,0.00040008001600320064,0.9895979195839167,9.977,498.85,0.3305785123966944,6.099999999999995,6.0,12.099999999999994,0.9754098360655737,0.0,0.15999999999999842,0.0,107.0,24,greedy_nearest,scenario_2_static_jammer
-20184.947000000044,1.0,0.005,9.98302885095338e-05,0.9899171408605371,9.964,1992.8,0.1149425287356323,6.699999999999992,2.0,8.699999999999992,0.9925373134328358,0.0,0.09999999999999,0.0,100.0,25,greedy_nearest,scenario_2_static_jammer
-19943.537000000008,0.0,0.0,0.0,0.9899345747357826,9.975,1995.0,0.0,3.700000000000002,4.0,7.700000000000002,1.0,0.0,1.0,0.0,95.0,26,greedy_nearest,scenario_2_static_jammer
-20215.611000000023,1.0,0.005,9.946290033817386e-05,0.9899542470658445,9.974,1994.8,0.09009009009009011,5.099999999999998,6.0,11.099999999999998,0.9901960784313726,0.0,0.09999999999999,0.0,125.0,27,greedy_nearest,scenario_2_static_jammer
-20155.40100000001,0.0,0.0,0.0,0.9900269272963,9.9675,1993.4999999999998,0.0,5.099999999999998,2.0,7.099999999999998,1.0,0.0,1.0,0.0,116.0,28,greedy_nearest,scenario_2_static_jammer
-20012.601500000008,0.0,0.0,0.0,0.9899547965846308,9.9775,1995.4999999999998,0.0,5.149999999999999,7.0,12.149999999999999,1.0,0.0,1.0,0.0,110.0,29,greedy_nearest,scenario_2_static_jammer
