step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,2000.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
1.0,0.0,0.0,7.0,8.7,25.791489811750647,1999.9,2.0,0.0,0.0,-16.871,0.0,0.0,14.0,0.87,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
2.0,0.0,0.0,37.0,10.0,23.791489811750647,1999.8000000000002,2.0,0.0,0.0,-77.001,0.0,0.0,74.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
3.0,1.0,0.0,44.0,10.0,23.791489811750647,1999.8000000000002,0.0,0.0,0.0,-89.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
4.0,0.0,0.0,45.0,10.0,23.791489811750647,1999.8000000000002,0.0,0.0,0.0,-91.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
5.0,0.0,0.0,47.0,10.0,21.791489811750647,1999.7000000000003,2.0,0.0,0.0,-97.001,0.0,0.0,94.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
6.0,1.0,0.0,52.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-105.0,0.0,0.0,104.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
7.0,0.0,0.0,53.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-107.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
8.0,1.0,0.0,44.0,10.0,21.791489811750647,1999.7000000000003,0.0,0.0,0.0,-89.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
9.0,1.0,0.0,53.0,10.0,21.791489811750647,1999.6000000000004,2.0,0.0,0.0,-109.001,0.0,0.0,106.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
10.0,1.0,0.0,48.0,10.0,21.791489811750647,1999.5000000000005,2.0,0.0,0.0,-99.001,0.0,0.0,96.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
11.0,0.0,0.0,49.0,10.0,21.791489811750647,1999.5000000000005,0.0,0.0,0.0,-99.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
12.0,1.0,0.0,58.0,10.0,21.791489811750647,1999.5000000000005,0.0,0.0,0.0,-117.0,0.0,0.0,116.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
13.0,1.0,0.0,50.0,10.0,21.791489811750647,1999.4000000000005,2.0,0.0,0.0,-103.001,0.0,0.0,100.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
14.0,0.0,0.0,46.0,10.0,21.791489811750647,1999.4000000000005,0.0,0.0,0.0,-93.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
15.0,0.0,0.0,47.0,10.0,19.791489811750647,1999.3000000000006,2.0,0.0,0.0,-97.001,0.0,0.0,94.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
16.0,1.0,0.0,49.0,10.0,19.791489811750647,1999.017157287526,0.0,0.0,0.0,-99.00282842712474,0.0,0.0,98.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
17.0,1.0,0.0,55.0,10.0,19.791489811750647,1998.9171572875262,2.0,0.0,0.0,-113.001,0.0,0.0,110.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
18.0,0.0,0.0,52.0,10.0,19.791489811750647,1998.9171572875262,0.0,0.0,0.0,-105.0,0.0,0.0,104.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
19.0,0.0,0.0,43.0,10.0,19.791489811750647,1998.6343145750516,0.0,0.0,0.0,-87.00282842712474,0.0,0.0,86.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
20.0,1.0,0.0,37.0,10.0,19.791489811750647,1998.351471862577,0.0,0.0,0.0,-75.00282842712474,0.0,0.0,74.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
21.0,0.0,0.0,44.0,10.0,19.791489811750647,1998.351471862577,0.0,0.0,0.0,-89.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
22.0,0.0,0.0,56.0,10.0,19.791489811750647,1998.0686291501024,0.0,0.0,0.0,-113.00282842712474,0.0,0.0,112.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
23.0,0.0,0.0,49.0,10.0,18.791489811750647,1997.8772077938652,1.0,0.0,0.0,-100.00191421356237,0.0,0.0,98.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
24.0,1.0,0.0,51.0,10.0,18.791489811750647,1997.735786437628,0.0,0.0,0.0,-103.00141421356237,0.0,0.0,102.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
25.0,1.0,0.0,55.0,10.0,18.791489811750647,1997.635786437628,2.0,0.0,0.0,-113.001,0.0,0.0,110.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
26.0,0.0,0.0,53.0,10.0,18.791489811750647,1997.635786437628,0.0,0.0,0.0,-107.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
27.0,0.0,0.0,46.0,10.0,16.791489811750647,1997.535786437628,2.0,0.0,0.0,-95.001,0.0,0.0,92.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_2_static_jammer
