total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-20039.12424473271,6.0,0.03,0.000599101347978033,0.9894158761857215,9.9645,332.15,0.11024452124549546,47.424473272817245,7.0,54.424473272817245,0.75,0.0,0.2999999999999975,2.0,163.0,0,random,scenario_2_static_jammer
-20040.5585880194,11.0,0.055,0.0010974758056470119,0.9889254714157438,9.957,181.03636363636366,0.19415977198531767,48.654372260139546,8.0,56.654372260139546,0.5,0.0,0.2813953488372086,5.0,171.0,1,random,scenario_2_static_jammer
-20049.56889668081,4.0,0.02,0.00039916176030336295,0.9896217942321126,9.971499999999999,498.57499999999993,0.07932887547601605,46.42300141024112,4.0,50.42300141024112,0.7272727272727273,0.0,0.2666666666666622,6.0,193.0,2,random,scenario_2_static_jammer
-19586.52594242914,15.0,0.075,0.0015304560759106215,0.9882665034180186,9.9605,132.80666666666667,0.2928287797145566,46.224473272817264,5.0,51.224473272817264,0.3125,0.0,0.17716535433070854,7.0,187.0,3,random,scenario_2_static_jammer
-19900.704148340257,5.0,0.025,0.0005029169181251257,0.9894387447193723,9.9685,398.74,0.07724877542600621,47.72594513539335,17.0,64.72594513539335,0.9032258064516129,1.0,0.2777777777777747,3.0,144.0,4,random,scenario_2_static_jammer
-20365.28690158699,1.0,0.005,9.830908375933936e-05,0.9900707825403067,9.978000000000002,1995.6000000000004,0.017038631726140757,48.69015869776649,10.0,58.69015869776649,0.9411764705882353,2.0,0.09999999999999,3.0,170.0,5,random,scenario_2_static_jammer
-19919.393359930935,7.0,0.035,0.0007028818154433176,0.9892559493925093,9.965499999999999,284.72857142857134,0.12459273323908308,47.18305191657994,9.0,56.18305191657994,0.75,0.0,0.23333333333333223,5.0,170.0,6,random,scenario_2_static_jammer
-19807.801649133926,6.0,0.03,0.0006060606060606061,0.9892929292929293,9.969,332.3,0.10557510444542531,48.83158005400379,8.0,56.83158005400379,0.75,0.0,0.35999999999999643,7.0,188.0,7,random,scenario_2_static_jammer
-19726.223670264353,10.0,0.05,0.0010144045445323595,0.9888415500101441,9.962,199.23999999999998,0.17318968678876928,48.740158697766425,9.0,57.740158697766425,0.65,0.0,0.18518518518518484,8.0,162.0,8,random,scenario_2_static_jammer
-19940.578862037888,18.0,0.09,0.0018036072144288577,0.9881763527054108,9.9565,110.62777777777778,0.30367957707115517,48.27300141024109,11.0,59.27300141024109,0.5769230769230769,1.0,0.3239999999999997,4.0,172.0,9,random,scenario_2_static_jammer
-19774.7981576289,12.0,0.06,0.0012134695115785215,0.9888765294771968,9.962,166.03333333333333,0.2318249104294783,45.7632034355964,6.0,51.7632034355964,0.36363636363636365,0.0,0.342857142857142,3.0,173.0,10,random,scenario_2_static_jammer
-19837.789587878495,4.0,0.02,0.0004037549207630968,0.9895023720601595,9.973500000000001,498.67500000000007,0.07047366851317016,46.758787847868,10.0,56.758787847868,0.8,0.0,0.15999999999999842,4.0,164.0,11,random,scenario_2_static_jammer
-19852.909626295503,12.0,0.06,0.0012087026591458502,0.9887187751813054,9.9605,166.00833333333333,0.21652810374516615,47.4200576850888,8.0,55.4200576850888,0.6190476190476191,0.0,0.26666666666666616,3.0,181.0,12,random,scenario_2_static_jammer
-20153.09514751764,15.0,0.075,0.001487357461576599,0.988795240456123,9.963,132.84,0.27236576209573865,48.073001410241076,7.0,55.073001410241076,0.3076923076923077,0.0,0.31690140845070375,1.0,183.0,13,random,scenario_2_static_jammer
