step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,1999.8585786437627,0.0,0.0,0.0,-0.4814142135623731,0.0,0.0,0.0,0.48,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_2_static_jammer
1.0,0.0,0.0,7.0,8.7,27.791489811750647,1999.5671572875253,0.0,0.0,0.0,-14.872914213562373,0.0,0.0,14.0,0.87,0.0029142135623730957,0.0,0.0,0.0,0,random,scenario_2_static_jammer
2.0,0.0,0.0,37.0,10.0,27.791489811750647,1999.3257359312881,0.0,0.0,0.0,-75.00241421356237,0.0,0.0,74.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
3.0,0.0,0.0,47.0,10.0,27.791489811750647,1999.1843145750508,0.0,0.0,0.0,-95.00141421356237,0.0,0.0,94.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_2_static_jammer
4.0,1.0,0.0,47.0,10.0,27.791489811750647,1999.084314575051,0.0,0.0,0.0,-95.001,0.0,0.0,94.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_2_static_jammer
5.0,1.0,0.0,48.0,10.0,27.791489811750647,1998.8428932188135,0.0,0.0,0.0,-97.00241421356237,0.0,0.0,96.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
6.0,1.0,0.0,56.0,10.0,27.791489811750647,1998.560050506339,0.0,0.0,0.0,-113.00282842712474,0.0,0.0,112.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
7.0,1.0,0.0,51.0,10.0,27.791489811750647,1998.2272077938644,0.0,0.0,0.0,-103.00332842712474,0.0,0.0,102.0,1.0,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
8.0,1.0,0.0,42.0,10.0,27.791489811750647,1997.9272077938645,0.0,0.0,0.0,-85.003,0.0,0.0,84.0,1.0,0.003,0.0,0.0,0.0,0,random,scenario_2_static_jammer
9.0,0.0,0.0,48.0,10.0,27.791489811750647,1997.685786437627,0.0,0.0,0.0,-97.00241421356237,0.0,0.0,96.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
10.0,1.0,0.0,48.0,10.0,27.791489811750647,1997.435786437627,0.0,0.0,0.0,-97.0025,0.0,0.0,96.0,1.0,0.0025,0.0,0.0,0.0,0,random,scenario_2_static_jammer
11.0,0.0,0.0,49.0,10.0,27.791489811750647,1997.1443650813899,0.0,0.0,0.0,-99.00291421356238,0.0,0.0,98.0,1.0,0.0029142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
12.0,1.0,0.0,49.0,10.0,27.791489811750647,1996.8115223689153,0.0,0.0,0.0,-99.00332842712474,0.0,0.0,98.0,1.0,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
13.0,0.0,0.0,55.0,10.0,27.791489811750647,1996.5701010126782,0.0,0.0,0.0,-111.00241421356237,0.0,0.0,110.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
14.0,0.0,0.0,47.0,10.0,27.791489811750647,1996.3701010126779,0.0,0.0,0.0,-94.60199999999999,0.0,0.4,94.0,1.0,0.002,0.0,0.0,0.0,0,random,scenario_2_static_jammer
15.0,1.0,0.0,48.0,10.0,27.791489811750647,1996.170101012678,0.0,0.0,0.0,-97.002,0.0,0.0,96.0,1.0,0.002,0.0,0.0,0.0,0,random,scenario_2_static_jammer
16.0,1.0,0.0,50.0,10.0,27.791489811750647,1996.070101012678,0.0,0.0,0.0,-101.001,0.0,0.0,100.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_2_static_jammer
17.0,1.0,0.0,53.0,10.0,28.791489811750647,1995.8786796564407,0.0,0.0,0.0,-107.00191421356237,0.0,0.0,106.0,1.0,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_2_static_jammer
18.0,0.0,0.0,50.0,10.0,28.791489811750647,1995.595836943966,0.0,0.0,0.0,-100.60282842712473,0.0,0.4,100.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
19.0,1.0,0.0,53.0,10.0,28.791489811750647,1995.354415587729,0.0,0.0,0.0,-107.00241421356237,0.0,0.0,106.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
20.0,0.0,0.0,46.0,10.0,28.791489811750647,1995.1129942314915,0.0,0.0,0.0,-93.00241421356237,0.0,0.0,92.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
21.0,0.0,0.0,36.0,10.0,28.791489811750647,1994.871572875254,0.0,0.0,0.0,-73.00241421356237,0.0,0.0,72.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
22.0,1.0,0.0,49.0,10.0,28.791489811750647,1994.6801515190168,0.0,0.0,0.0,-99.00191421356237,0.0,0.0,98.0,1.0,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_2_static_jammer
23.0,1.0,0.0,43.0,10.0,28.791489811750647,1994.4387301627796,0.0,0.0,0.0,-87.00241421356237,0.0,0.0,86.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
24.0,0.0,0.0,59.0,10.0,28.791489811750647,1994.155887450305,0.0,0.0,0.0,-119.00282842712474,0.0,0.0,118.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
25.0,1.0,0.0,44.0,10.0,29.791489811750647,1993.8644660940677,0.0,0.0,0.0,-89.00291421356238,0.0,0.0,88.0,1.0,0.0029142135623730957,0.0,0.0,0.0,0,random,scenario_2_static_jammer
26.0,1.0,0.0,58.0,10.0,29.791489811750647,1993.6644660940678,0.0,0.0,0.0,-117.002,0.0,0.0,116.0,1.0,0.002,0.0,0.0,0.0,0,random,scenario_2_static_jammer
27.0,0.0,0.0,50.0,10.0,29.791489811750647,1993.5644660940677,0.0,0.0,0.0,-101.001,0.0,0.0,100.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_2_static_jammer
28.0,1.0,0.0,58.0,10.0,29.791489811750647,1993.3644660940677,0.0,0.0,0.0,-117.002,0.0,0.0,116.0,1.0,0.002,0.0,0.0,0.0,0,random,scenario_2_static_jammer
29.0,1.0,0.0,50.0,10.0,29.791489811750647,1993.081623381593,0.0,0.0,0.0,-101.00282842712474,0.0,0.0,100.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
30.0,0.0,0.0,49.0,10.0,29.791489811750647,1992.7487806691186,0.0,0.0,0.0,-99.00332842712474,0.0,0.0,98.0,1.0,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_2_static_jammer
31.0,1.0,0.0,49.0,10.0,29.791489811750647,1992.4573593128812,0.0,0.0,0.0,-99.00291421356238,0.0,0.0,98.0,1.0,0.0029142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
32.0,0.0,0.0,55.0,10.0,29.791489811750647,1992.2073593128812,0.0,0.0,0.0,-111.0025,0.0,0.0,110.0,1.0,0.0025,0.0,0.0,0.0,0,random,scenario_2_static_jammer
33.0,0.0,0.0,47.0,10.0,29.791489811750647,1991.915937956644,0.0,0.0,0.0,-95.00291421356238,0.0,0.0,94.0,1.0,0.0029142135623730953,0.0,0.0,0.0,0,random,scenario_2_static_jammer
34.0,0.0,0.0,55.0,10.0,29.791489811750647,1991.8159379566441,0.0,0.0,0.0,-111.001,0.0,0.0,110.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_2_static_jammer
35.0,1.0,0.0,42.0,10.0,29.791489811750647,1991.4745166004068,0.0,0.0,0.0,-85.00341421356238,0.0,0.0,84.0,1.0,0.0034142135623730957,0.0,0.0,0.0,0,random,scenario_2_static_jammer
