total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2144.7721815173563,14.0,0.07,0.014014014014014014,0.7857857857857858,17.566500000000005,250.95000000000005,1.25657216905834,11.141421356237286,0.0,11.141421356237286,0.9363636363636364,0.0,0.18490566037735834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.9363636363636364,14.0,0.0,220.0,0.0,0.06363636363636363,0.0,0.0,180.0,0.0,220.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,backscatter_only,scenario_2a_static_jammer_weak
-2197.5496669624235,17.0,0.085,0.016536964980544747,0.7889105058365758,17.766500000000008,209.0176470588236,1.45512529941432,11.682842712474594,0.0,11.682842712474594,0.9241071428571429,0.0,0.15621621621621615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.9241071428571429,17.0,0.0,224.0,0.0,0.07589285714285714,0.0,4.0,172.0,4.0,224.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,backscatter_only,scenario_2a_static_jammer_weak
-1921.3230642937835,57.0,0.285,0.05677290836653386,0.7450199203187251,17.062000000000015,59.866666666666724,5.1391068979582055,11.091421356237287,0.0,11.091421356237287,0.48847926267281105,0.0,0.1284697508896797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.48847926267281105,57.0,0.0,217.0,0.0,0.2626728110599078,0.0,2.0,181.0,2.0,217.0,0.0,0.0,0.0,0.0,52.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,2,backscatter_only,scenario_2a_static_jammer_weak
-1990.7913437648065,23.0,0.115,0.02454642475987193,0.7620064034151548,18.030000000000015,156.7826086956523,2.083065146952962,11.041421356237286,0.0,11.041421356237286,0.8944954128440367,0.0,0.19665427509293673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.8944954128440367,23.0,0.0,218.0,0.0,0.10550458715596331,0.0,0.0,182.0,0.0,218.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,3,backscatter_only,scenario_2a_static_jammer_weak
-1878.99654752775,66.0,0.33,0.06619859578736209,0.7331995987963892,17.51150000000002,53.06515151515157,6.168224299065433,10.699999999999978,0.0,10.699999999999978,0.46261682242990654,0.0,0.134610630407911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.46261682242990654,66.0,0.0,214.0,0.0,0.308411214953271,0.0,0.0,186.0,0.0,214.0,0.0,0.0,0.0,0.0,56.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,4,backscatter_only,scenario_2a_static_jammer_weak
-2350.189056449819,14.0,0.07,0.012750455373406194,0.8051001821493625,17.870500000000007,255.29285714285723,1.2500000000000027,11.199999999999976,0.0,11.199999999999976,0.9369369369369369,0.0,0.1959999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.9369369369369369,14.0,0.0,222.0,0.0,0.06306306306306306,0.0,2.0,176.0,2.0,222.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5,backscatter_only,scenario_2a_static_jammer_weak
-1852.3982851298242,55.0,0.275,0.05675954592363261,0.7368421052631579,17.42600000000001,63.367272727272756,5.500000000000011,9.99999999999998,0.0,9.99999999999998,0.48,0.0,0.11559037065341994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.48,55.0,0.0,200.0,0.0,0.275,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,4.0,0.0,0.0,6,backscatter_only,scenario_2a_static_jammer_weak
-1812.1910829756234,52.0,0.26,0.055378061767838126,0.7326943556975506,17.729500000000026,68.19038461538472,4.952380952380962,10.499999999999979,0.0,10.499999999999979,0.47596153846153844,0.0,0.12565055762081784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.47596153846153844,52.0,0.0,208.0,0.0,0.25,0.0,2.0,190.0,2.0,208.0,0.0,0.0,0.0,0.0,6.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7,backscatter_only,scenario_2a_static_jammer_weak
-1761.8770726688456,84.0,0.42,0.08722741433021806,0.7082035306334372,17.028500000000008,40.54404761904764,7.179487179487195,11.699999999999974,0.0,11.699999999999974,0.45726495726495725,0.0,0.1294678899082569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.45726495726495725,84.0,0.0,234.0,0.0,0.358974358974359,0.0,0.0,166.0,0.0,234.0,0.0,0.0,0.0,0.0,11.0,73.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,73.0,0.0,0.0,8,backscatter_only,scenario_2a_static_jammer_weak
-1630.2700788813736,112.0,0.56,0.11359026369168357,0.6896551724137931,17.17599999999999,30.671428571428553,10.566037735849077,10.599999999999978,0.0,10.599999999999978,0.03773584905660377,0.0,0.207201850016518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.03773584905660377,112.0,0.0,212.0,0.0,0.5283018867924528,0.0,0.0,188.0,0.0,212.0,0.0,0.0,0.0,0.0,58.0,54.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,0.0,9,backscatter_only,scenario_2a_static_jammer_weak
