total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2138.633174231886,23.0,0.115,0.022908366533864542,0.7778884462151394,17.5225,152.3695652173913,0.7500239985272755,12.66568542494921,18.0,30.66568542494921,0.9008264462809917,0.0,0.20424710424710418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.9008264462809917,10.0,13.0,224.0,28.0,0.044642857142857144,0.4642857142857143,0.0,158.0,0.0,224.0,18.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0,greedy_nearest,scenario_2a_static_jammer_weak
-2118.6437646771483,38.0,0.19,0.03700097370983447,0.7692307692307693,17.29350000000001,91.01842105263162,1.14001677948034,12.33284271247459,21.0,33.33284271247459,0.8396624472573839,0.0,0.18278481012658226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.8396624472573839,17.0,21.0,216.0,40.0,0.0787037037037037,0.525,4.0,159.0,4.0,216.0,21.0,0.0,0.0,0.0,5.0,33.0,0.0,27.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1,greedy_nearest,scenario_2a_static_jammer_weak
-1872.7602981713865,71.0,0.355,0.07085828343313373,0.7315369261477046,16.84200000000002,47.44225352112682,2.3647540481762768,12.024264068711902,18.0,30.0242640687119,0.46956521739130436,0.0,0.15738370277864502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.46956521739130436,57.0,14.0,212.0,28.0,0.2688679245283019,0.5,2.0,168.0,2.0,212.0,18.0,0.0,0.0,0.0,58.0,13.0,3.0,0.0,0.0,13.0,0.0,0.0,55.0,0.0,0.0,0.0,2,greedy_nearest,scenario_2a_static_jammer_weak
-1745.4217209431888,75.0,0.375,0.0797872340425532,0.7117021276595744,17.60650000000001,46.9506666666667,3.0201938967834847,11.832842712474594,13.0,24.832842712474594,0.42857142857142855,0.0,0.16394637132031478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.42857142857142855,63.0,12.0,218.0,22.0,0.2889908256880734,0.5454545454545454,0.0,169.0,0.0,218.0,13.0,0.0,0.0,0.0,16.0,59.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,57.0,0.0,13.0,3,greedy_nearest,scenario_2a_static_jammer_weak
-1795.515749616915,95.0,0.475,0.0945273631840796,0.7074626865671642,16.599000000000018,34.94526315789478,2.5920873124147357,11.649999999999975,25.0,36.64999999999998,0.463519313304721,0.0,0.22006827603023651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.463519313304721,63.0,32.0,208.0,46.0,0.30288461538461536,0.6956521739130435,0.0,167.0,0.0,208.0,25.0,0.0,0.0,0.0,74.0,21.0,0.0,17.0,4.0,0.0,0.0,14.0,60.0,0.0,0.0,0.0,4,greedy_nearest,scenario_2a_static_jammer_weak
-2343.1476830209463,21.0,0.105,0.019090909090909092,0.7990909090909091,17.797500000000007,169.50000000000006,0.7912161039960643,12.541421356237283,14.0,26.541421356237283,0.9065040650406504,0.0,0.28823529411764687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9065040650406504,10.0,11.0,232.0,20.0,0.04310344827586207,0.55,2.0,152.0,2.0,232.0,14.0,0.0,0.0,0.0,11.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,5,greedy_nearest,scenario_2a_static_jammer_weak
-1804.5334989447033,74.0,0.37,0.07574206755373593,0.7195496417604913,17.182500000000026,46.43918918918926,2.2492401215805486,10.899999999999977,22.0,32.89999999999998,0.4541284403669725,0.0,0.18375838926174495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.4541284403669725,49.0,25.0,196.0,36.0,0.25,0.6944444444444444,0.0,182.0,0.0,196.0,22.0,0.0,0.0,0.0,62.0,12.0,3.0,0.0,0.0,0.0,53.0,0.0,9.0,9.0,0.0,0.0,6,greedy_nearest,scenario_2a_static_jammer_weak
-1769.7501838486533,78.0,0.39,0.08176100628930817,0.709643605870021,17.433500000000024,44.701282051282114,2.666666666666669,12.249999999999973,17.0,29.24999999999997,0.46502057613168724,0.0,0.16095238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.46502057613168724,58.0,20.0,226.0,31.0,0.25663716814159293,0.6451612903225806,2.0,155.0,2.0,226.0,17.0,0.0,0.0,0.0,18.0,60.0,0.0,60.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,7,greedy_nearest,scenario_2a_static_jammer_weak
-1671.9117715673312,105.0,0.525,0.11006289308176101,0.6876310272536688,16.136000000000006,30.735238095238106,3.157894736842108,12.249999999999973,21.0,33.24999999999997,0.46122448979591835,0.0,0.1863905325443787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.46122448979591835,78.0,27.0,224.0,37.0,0.3482142857142857,0.7297297297297297,0.0,155.0,0.0,224.0,21.0,0.0,0.0,0.0,23.0,82.0,0.0,0.0,3.0,0.0,14.0,0.0,7.0,75.0,6.0,0.0,8,greedy_nearest,scenario_2a_static_jammer_weak
-1542.4010840784463,146.0,0.73,0.14570858283433133,0.6596806387225549,16.803499999999993,23.01849315068492,5.251798561151084,11.799999999999974,16.0,27.799999999999976,0.012711864406779662,0.0,0.24977736114366064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.012711864406779662,129.0,17.0,220.0,27.0,0.5863636363636363,0.6296296296296297,0.0,164.0,0.0,220.0,16.0,0.0,0.0,0.0,76.0,70.0,4.0,66.0,0.0,0.0,4.0,1.0,0.0,7.0,64.0,0.0,9,greedy_nearest,scenario_2a_static_jammer_weak
-2023.2180061706795,32.0,0.16,0.032989690721649485,0.7608247422680412,17.40150000000001,108.75937500000006,1.1863159609650877,11.974264068711902,15.0,26.974264068711904,0.8787878787878788,0.0,0.27978142076502727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.8787878787878788,13.0,19.0,216.0,26.0,0.06018518518518518,0.7307692307692307,0.0,169.0,0.0,216.0,15.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,10,greedy_nearest,scenario_2a_static_jammer_weak
-1849.5711876732153,93.0,0.465,0.09207920792079208,0.7118811881188118,17.013000000000016,36.58709677419358,3.034257748776512,13.649999999999968,17.0,30.64999999999997,0.4944649446494465,0.0,0.19670229702069592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.4944649446494465,67.0,26.0,254.0,30.0,0.2637795275590551,0.8666666666666667,2.0,127.0,2.0,254.0,17.0,0.0,0.0,0.0,30.0,63.0,4.0,0.0,0.0,30.0,59.0,0.0,0.0,0.0,0.0,0.0,11,greedy_nearest,scenario_2a_static_jammer_weak
-1711.5527394093638,93.0,0.465,0.09738219895287958,0.6931937172774869,16.556500000000018,35.60537634408606,2.531203109925745,12.74142135623728,24.0,36.74142135623728,0.48,0.0,0.19914805434031776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.48,62.0,31.0,226.0,43.0,0.2743362831858407,0.7209302325581395,2.0,148.0,2.0,226.0,24.0,0.0,0.0,0.0,76.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,63.0,12,greedy_nearest,scenario_2a_static_jammer_weak
-1828.4556196344329,103.0,0.515,0.09970958373668926,0.7105517909002904,16.674500000000013,32.37766990291264,2.732095490716182,11.699999999999974,26.0,37.699999999999974,0.44396551724137934,0.0,0.23311360140628434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.44396551724137934,64.0,39.0,206.0,44.0,0.3106796116504854,0.8863636363636364,1.9999999999999991,166.0,2.0,206.0,26.0,0.0,0.0,0.0,74.0,29.0,20.0,0.0,9.0,0.0,63.0,0.0,1.0,10.0,0.0,0.0,13,greedy_nearest,scenario_2a_static_jammer_weak
-1881.3271614137984,84.0,0.42,0.08179162609542356,0.7254138266796495,16.887000000000018,40.207142857142905,2.564885496183208,11.749999999999973,21.0,32.74999999999997,0.46382978723404256,0.0,0.2223062381852552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.46382978723404256,53.0,31.0,214.0,36.0,0.24766355140186916,0.8611111111111112,0.0,165.0,0.0,214.0,21.0,0.0,0.0,0.0,67.0,17.0,0.0,14.0,0.0,0.0,0.0,53.0,5.0,12.0,0.0,0.0,14,greedy_nearest,scenario_2a_static_jammer_weak
-1706.1026250799837,129.0,0.645,0.12262357414448669,0.6920152091254753,16.98300000000002,26.330232558139564,3.9090909090909123,12.99999999999997,20.0,32.99999999999997,0.03875968992248062,0.0,0.22937284631288765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03875968992248062,103.0,26.0,238.0,34.0,0.4327731092436975,0.7647058823529411,2.0,140.0,2.0,238.0,20.0,0.0,0.0,0.0,61.0,68.0,0.0,61.0,7.0,0.0,0.0,0.0,2.0,0.0,59.0,0.0,15,greedy_nearest,scenario_2a_static_jammer_weak
-1783.6644754680665,97.0,0.485,0.09613478691774034,0.7066402378592666,17.089500000000005,35.23608247422681,3.159609120521175,10.699999999999978,20.0,30.699999999999978,0.4009433962264151,0.0,0.247931488801054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.4009433962264151,67.0,30.0,192.0,36.0,0.3489583333333333,0.8333333333333334,2.0,186.0,2.0,192.0,20.0,0.0,0.0,0.0,27.0,70.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,55.0,15.0,0.0,16,greedy_nearest,scenario_2a_static_jammer_weak
-1586.3446006532406,137.0,0.685,0.13484251968503938,0.6702755905511811,16.40050000000001,23.942335766423373,3.8700564971751437,11.399999999999975,24.0,35.39999999999998,0.02631578947368421,0.0,0.26401744267829513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.02631578947368421,109.0,28.0,204.0,42.0,0.5343137254901961,0.6666666666666666,0.0,172.0,0.0,204.0,24.0,0.0,0.0,0.0,73.0,64.0,58.0,0.0,6.0,0.0,0.0,60.0,3.0,0.0,10.0,0.0,17,greedy_nearest,scenario_2a_static_jammer_weak
-1826.135547365767,76.0,0.38,0.07661290322580645,0.7217741935483871,16.86949999999999,44.39342105263156,2.282282282282284,11.299999999999976,22.0,33.299999999999976,0.45089285714285715,0.0,0.18186397984886649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.45089285714285715,50.0,26.0,202.0,41.0,0.24752475247524752,0.6341463414634146,2.0,174.0,2.0,202.0,22.0,0.0,0.0,0.0,20.0,56.0,0.0,0.0,0.0,54.0,0.0,8.0,14.0,0.0,0.0,0.0,18,greedy_nearest,scenario_2a_static_jammer_weak
-2060.5800461957883,30.0,0.15,0.03048780487804878,0.7672764227642277,17.642500000000002,117.61666666666669,1.0569765792633112,11.382842712474595,17.0,28.382842712474595,0.8873873873873874,0.0,0.2261306532663316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.8873873873873874,9.0,21.0,205.0,32.0,0.04390243902439024,0.65625,0.0,178.0,0.0,205.0,17.0,0.0,0.0,0.0,9.0,21.0,0.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,19,greedy_nearest,scenario_2a_static_jammer_weak
-1569.2967675683647,121.0,0.605,0.12448559670781893,0.6707818930041153,16.987000000000013,28.077685950413244,4.653846153846159,11.999999999999973,14.0,25.99999999999997,0.06666666666666667,0.0,0.21408100599502852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.06666666666666667,102.0,19.0,226.0,25.0,0.45132743362831856,0.76,0.0,160.0,0.0,226.0,14.0,0.0,0.0,0.0,65.0,56.0,0.0,0.0,0.0,3.0,65.0,2.0,0.0,51.0,0.0,0.0,20,greedy_nearest,scenario_2a_static_jammer_weak
-1900.4762939867305,96.0,0.48,0.09195402298850575,0.7193486590038314,16.900500000000008,35.209375000000016,2.958397534668724,13.449999999999969,19.0,32.44999999999997,0.4684014869888476,0.0,0.18373205741626794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.4684014869888476,68.0,28.0,250.0,36.0,0.272,0.7777777777777778,0.0,131.0,0.0,250.0,19.0,0.0,0.0,0.0,73.0,23.0,8.0,68.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,21,greedy_nearest,scenario_2a_static_jammer_weak
