total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2181.1727552820453,19.0,0.095,0.01890547263681592,0.7820895522388059,17.521,184.43157894736842,0.2515135799752321,17.542640687119288,58.0,75.54264068711929,0.9285714285714286,1.0,0.43493975903614407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.9285714285714286,4.0,15.0,208.0,108.0,0.019230769230769232,0.1388888888888889,0.0,134.0,0.0,208.0,58.0,0.0,0.0,0.0,11.0,8.0,0.0,2.0,3.0,0.0,0.0,7.0,2.0,0.0,4.0,1.0,0,greedy_sinr,scenario_2a_static_jammer_weak
-1957.1146868330127,80.0,0.4,0.07960199004975124,0.7213930348258707,16.974500000000003,42.43625,0.938497439252706,19.24264068711931,66.0,85.2426406871193,0.7601351351351351,0.0,0.48192771084337344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.7601351351351351,20.0,60.0,230.0,129.0,0.08695652173913043,0.46511627906976744,4.0,100.0,4.0,230.0,66.0,0.0,0.0,0.0,34.0,46.0,12.0,30.0,8.0,0.0,4.0,2.0,8.0,0.0,10.0,6.0,1,greedy_sinr,scenario_2a_static_jammer_weak
-2017.3675436025956,41.0,0.205,0.04175152749490835,0.754582484725051,17.188000000000006,83.84390243902442,0.5712705386421928,15.769848480983478,56.0,71.76984848098348,0.7992125984251969,0.0,0.3264077669902912,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,203.0,0.7992125984251969,23.0,18.0,198.0,104.0,0.11616161616161616,0.17307692307692307,2.0,143.0,2.0,198.0,57.0,0.0,0.0,0.0,31.0,10.0,8.0,2.0,2.0,9.0,0.0,0.0,19.0,0.0,0.0,1.0,2,greedy_sinr,scenario_2a_static_jammer_weak
-1974.762819199445,48.0,0.24,0.05036726128016789,0.7397691500524659,17.560500000000005,73.16875000000002,0.6462172377369659,17.278427124746177,57.0,74.27842712474617,0.8304498269896193,0.0,0.4721311475409835,3.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,240.0,0.8304498269896193,16.0,32.0,232.0,110.0,0.06896551724137931,0.2909090909090909,0.0,110.0,0.0,232.0,58.0,0.0,0.0,0.0,26.0,22.0,2.0,0.0,13.0,0.0,0.0,0.0,8.0,11.0,11.0,3.0,3,greedy_sinr,scenario_2a_static_jammer_weak
-1729.7538193835217,117.0,0.585,0.11630218687872763,0.6848906560636183,16.562000000000022,28.311111111111153,1.5142844870290362,14.264213562373069,63.0,77.26421356237307,0.4591439688715953,0.0,0.4316934720908231,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,118.0,0.4591439688715953,56.0,61.0,194.0,121.0,0.28865979381443296,0.5041322314049587,0.0,142.0,0.0,194.0,64.0,0.0,0.0,0.0,92.0,25.0,48.0,8.0,4.0,10.0,2.0,13.0,21.0,8.0,3.0,0.0,4,greedy_sinr,scenario_2a_static_jammer_weak
-2127.4819113817466,81.0,0.405,0.07310469314079422,0.7463898916967509,17.544500000000014,43.31975308641978,1.125337177201976,16.97842712474618,55.0,71.97842712474618,0.6298932384341637,0.0,0.1937112488928255,2.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,177.0,0.6298932384341637,56.0,25.0,226.0,102.0,0.24778761061946902,0.24509803921568626,2.0,116.0,2.0,226.0,56.0,0.0,0.0,0.0,10.0,71.0,9.0,57.0,6.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,5,greedy_sinr,scenario_2a_static_jammer_weak
-1983.2674367457273,52.0,0.26,0.05295315682281059,0.7443991853360489,17.255500000000005,66.3673076923077,0.7659620868592003,14.888477631084994,53.0,67.888477631085,0.7969348659003831,0.0,0.5260700389105057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.7969348659003831,15.0,37.0,208.0,98.0,0.07211538461538461,0.37755102040816324,0.0,139.0,0.0,208.0,53.0,0.0,0.0,0.0,34.0,18.0,11.0,0.0,0.0,4.0,14.0,0.0,9.0,8.0,0.0,6.0,6,greedy_sinr,scenario_2a_static_jammer_weak
-1862.9982816529066,95.0,0.475,0.0958627648839556,0.7023208879919274,16.867000000000004,35.50947368421054,1.2219343480168752,17.74558441227157,60.0,77.74558441227157,0.6754966887417219,0.0,0.43368572801537725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.6754966887417219,42.0,53.0,242.0,118.0,0.17355371900826447,0.4491525423728814,2.0,96.0,2.0,242.0,60.0,0.0,0.0,0.0,43.0,52.0,4.0,36.0,2.0,0.0,0.0,18.0,14.0,7.0,0.0,14.0,7,greedy_sinr,scenario_2a_static_jammer_weak
-1948.535459571851,50.0,0.25,0.05202913631633715,0.7398543184183143,17.089500000000008,68.35800000000003,0.7306747597167033,15.429898987322305,53.0,68.4298989873223,0.8141263940520446,0.0,0.672043010752688,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,219.0,0.8141263940520446,14.0,36.0,216.0,101.0,0.06481481481481481,0.3564356435643564,0.0,130.0,0.0,216.0,54.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,8.0,2.0,8.0,0.0,8.0,10.0,6.0,6.0,8,greedy_sinr,scenario_2a_static_jammer_weak
-1823.8718147597567,98.0,0.49,0.09819639278557114,0.7014028056112225,16.93050000000001,34.55204081632655,1.399544304253162,15.022792206135756,55.0,70.02279220613576,0.6145454545454545,0.0,0.6734922861150069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.6145454545454545,43.0,55.0,220.0,105.0,0.19545454545454546,0.5238095238095238,0.0,125.0,0.0,220.0,55.0,0.0,0.0,0.0,56.0,42.0,13.0,23.0,6.0,0.0,7.0,11.0,0.0,13.0,17.0,8.0,9,greedy_sinr,scenario_2a_static_jammer_weak
