step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,0.3,62.23319184940052,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2a_static_jammer_weak
1.0,0.0,0.0,0.0,0.7,61.23319184940052,1999.8085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07191421356237308,0.0,0.0,0.0,0.06999999999999999,0.0019142135623730955,0.0,0.0,0.0,0,greedy_sinr,scenario_2a_static_jammer_weak
2.0,0.0,1.0,0.0,1.0,59.23319184940052,1999.7085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718999999999998,1.0,0.0,0.0,0.1,0.001,0.0,0.0,0.18000000000000202,0,greedy_sinr,scenario_2a_static_jammer_weak
3.0,0.0,0.0,0.0,1.1,58.23319184940052,1999.5171572875256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2919142135623751,0.0,0.0,0.0,0.11000000000000001,0.0019142135623730955,0.0,0.0,0.18000000000000202,0,greedy_sinr,scenario_2a_static_jammer_weak
4.0,0.0,1.0,0.0,1.4,56.23319184940052,1999.4171572875257,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.30100000000000204,1.0,0.0,0.0,0.13999999999999999,0.001,1.0,0.0,0.16000000000000203,0,greedy_sinr,scenario_2a_static_jammer_weak
5.0,0.0,2.0,0.0,1.7,55.23319184940052,1999.2257359312885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.6814191197709594,2.0,0.0,0.0,0.17,0.0019142135623730955,0.0,0.0,0.14666666666666758,0,greedy_sinr,scenario_2a_static_jammer_weak
6.0,0.0,0.0,0.0,2.0,54.23319184940052,1999.0343145750512,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.3485808802290407,0.0,0.0,0.0,0.2,0.0019142135623730955,1.0,0.0,0.14666666666666758,0,greedy_sinr,scenario_2a_static_jammer_weak
7.0,0.0,2.0,0.0,2.2,52.23319184940052,1998.9343145750513,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.6304285714285712,2.0,0.0,0.0,0.22000000000000003,0.001,1.0,0.0,0.14857142857142894,0,greedy_sinr,scenario_2a_static_jammer_weak
8.0,1.0,0.0,0.0,2.7,52.23319184940052,1998.8343145750514,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,-2.419571428571429,0.0,0.0,0.0,0.27,0.001,2.0,0.0,0.14857142857142894,0,greedy_sinr,scenario_2a_static_jammer_weak
9.0,1.0,0.0,0.0,3.1,52.23319184940052,1998.7343145750515,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,-2.459571428571429,0.0,0.0,0.0,0.31000000000000005,0.001,2.0,0.0,0.14857142857142894,0,greedy_sinr,scenario_2a_static_jammer_weak
