total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1585.1279630722017,144.0,0.72,0.14414414414414414,0.6706706706706707,15.379499999999998,21.360416666666666,0.7440324355603714,20.53994949366119,173.0,193.5399494936612,0.2947976878612717,0.0,0.21293900184842884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.2947976878612717,0.0,144.0,0.0,326.0,0.0,0.44171779141104295,166.97751112456586,9.0,218.0,0.0,173.0,0.0,0.0,0.0,104.0,40.0,0.0,0.0,9.0,0.0,0.0,51.0,0.0,0.0,84.0,0.0,0,htt_only,scenario_2a_static_jammer_weak
-1460.5376723819845,201.0,1.005,0.19439071566731142,0.6382978723404256,15.380499999999994,15.303980099502484,1.096716994180058,20.27426406871195,163.0,183.27426406871194,0.024539877300613498,0.0,0.2250375981730073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.024539877300613498,0.0,201.0,0.0,315.0,0.0,0.638095238095238,162.5286175678801,3.0,234.0,0.0,163.0,0.0,0.0,0.0,99.0,102.0,0.0,92.0,0.0,0.0,97.0,0.0,8.0,0.0,0.0,4.0,1,htt_only,scenario_2a_static_jammer_weak
-1398.5055517903036,203.0,1.015,0.2019900497512438,0.6179104477611941,15.180499999999997,14.956157635467978,0.9327331699546844,20.6399494936612,197.0,217.6399494936612,0.12690355329949238,0.0,0.2581855773447779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.12690355329949238,0.0,203.0,0.0,380.0,0.0,0.5342105263157895,170.4384120346261,7.0,196.0,0.0,197.0,0.0,0.0,0.0,105.0,98.0,22.0,0.0,0.0,96.0,2.0,0.0,79.0,4.0,0.0,0.0,2,htt_only,scenario_2a_static_jammer_weak
-1187.5407335568225,227.0,1.135,0.24072110286320256,0.5768822905620361,14.872499999999992,13.103524229074882,1.2516741363429618,20.357106781186566,161.0,181.35710678118656,0.0,0.0,0.2701389252948886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,305.0,0.0,0.7442622950819672,161.90477982502534,7.0,232.0,0.0,161.0,0.0,0.0,0.0,111.0,116.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,100.0,16.0,93.0,3,htt_only,scenario_2a_static_jammer_weak
-1285.5569398043253,221.0,1.105,0.22713257965056527,0.6094552929085303,14.617000000000003,13.228054298642537,1.1281265952016335,19.900000000000013,176.0,195.9,0.011363636363636364,0.0,0.2830541871921182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.011363636363636364,0.0,221.0,0.0,338.0,0.0,0.6538461538461539,140.95221942710134,2.0,222.0,0.0,176.0,0.0,0.0,0.0,122.0,99.0,6.0,91.0,4.0,2.0,0.0,11.0,93.0,12.0,2.0,0.0,4,htt_only,scenario_2a_static_jammer_weak
-1567.6376350698565,196.0,0.98,0.17965169569202566,0.6434463794683777,16.1395,16.46887755102041,1.0103092783505154,20.000000000000014,174.0,194.0,0.028735632183908046,0.0,0.21219619973486523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.028735632183908046,0.0,196.0,0.0,346.0,0.0,0.5664739884393064,182.33909874770717,0.0,226.0,0.0,174.0,0.0,0.0,0.0,98.0,98.0,6.0,92.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,5,htt_only,scenario_2a_static_jammer_weak
-1394.3524192467269,188.0,0.94,0.19047619047619047,0.6231003039513677,15.448000000000002,16.434042553191492,1.021279317669185,20.082842712474633,164.0,184.08284271247464,0.09146341463414634,0.0,0.25682313617206803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.09146341463414634,0.0,188.0,0.0,316.0,0.0,0.5949367088607594,155.0505625876981,4.0,232.0,0.0,164.0,0.0,0.0,0.0,107.0,81.0,8.0,0.0,0.0,6.0,91.0,0.0,6.0,73.0,0.0,4.0,6,htt_only,scenario_2a_static_jammer_weak
-1239.7037525371977,206.0,1.03,0.21707060063224448,0.58377239199157,15.001999999999995,14.565048543689315,1.053939677059766,20.457106781186575,175.0,195.45710678118658,0.06285714285714286,0.0,0.32633035988926484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.06285714285714286,0.0,206.0,0.0,328.0,0.0,0.6280487804878049,170.48006703132464,5.0,220.0,0.0,175.0,0.0,0.0,0.0,108.0,98.0,34.0,68.0,2.0,0.0,0.0,8.0,0.0,84.0,0.0,10.0,7,htt_only,scenario_2a_static_jammer_weak
-1335.3584682049975,184.0,0.92,0.19246861924686193,0.6129707112970711,14.927499999999993,16.22554347826086,0.9314571582691648,20.53994949366119,177.0,197.5399494936612,0.13559322033898305,0.0,0.35025863852679495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.13559322033898305,0.0,184.0,0.0,319.0,0.0,0.5768025078369906,164.19125169819972,9.0,214.0,0.0,177.0,0.0,0.0,0.0,102.0,82.0,0.0,0.0,58.0,4.0,72.0,0.0,10.0,31.0,5.0,4.0,8,htt_only,scenario_2a_static_jammer_weak
-1415.8917147655277,208.0,1.04,0.20253164556962025,0.6329113924050633,14.7895,14.220673076923077,1.3693219223173139,19.900000000000013,132.0,151.9,0.0,0.0,0.27427412197286677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,258.0,0.0,0.8062015503875969,127.72934095817243,2.0,266.0,0.0,132.0,0.0,0.0,0.0,104.0,104.0,10.0,96.0,0.0,0.0,8.0,3.0,0.0,12.0,79.0,0.0,9,htt_only,scenario_2a_static_jammer_weak
-1289.153018632019,211.0,1.055,0.21797520661157024,0.5981404958677686,14.640000000000002,13.876777251184837,1.0008812804150509,20.814213562373123,190.0,210.8142135623731,0.10526315789473684,0.0,0.28391684203813533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.10526315789473684,0.0,211.0,0.0,359.0,0.0,0.5877437325905293,161.4013751782065,12.0,198.0,0.0,190.0,0.0,0.0,0.0,115.0,96.0,6.0,0.0,91.0,0.0,0.0,24.0,8.0,0.0,0.0,82.0,10,htt_only,scenario_2a_static_jammer_weak
-1324.9081290070042,231.0,1.155,0.22916666666666666,0.6091269841269841,14.849999999999998,12.857142857142856,1.2275295487641553,20.18284271247463,168.0,188.18284271247464,0.005952380952380952,0.0,0.27052471482889734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005952380952380952,0.0,231.0,0.0,314.0,0.0,0.7356687898089171,156.5254608579285,2.0,230.0,0.0,168.0,0.0,0.0,0.0,115.0,116.0,10.0,0.0,0.0,97.0,100.0,0.0,6.0,0.0,6.0,12.0,11,htt_only,scenario_2a_static_jammer_weak
-1284.539141375784,221.0,1.105,0.22901554404145077,0.5989637305699482,14.835000000000006,13.425339366515843,1.1532042279488806,20.639949493661188,171.0,191.6399494936612,0.1286549707602339,0.0,0.22502188435844275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.1286549707602339,0.0,221.0,0.0,324.0,0.0,0.6820987654320988,159.29595355419696,7.0,222.0,0.0,171.0,0.0,0.0,0.0,139.0,82.0,85.0,2.0,0.0,2.0,2.0,0.0,2.0,8.0,0.0,120.0,12,htt_only,scenario_2a_static_jammer_weak
-1438.247970448895,211.0,1.055,0.20249520153550865,0.6295585412667947,15.292000000000005,14.494786729857825,1.2267441860465116,20.000000000000014,152.0,172.0,0.019736842105263157,0.0,0.2510913090068242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.019736842105263157,0.0,211.0,0.0,290.0,0.0,0.7275862068965517,146.501848503967,0.0,248.0,0.0,152.0,0.0,0.0,0.0,117.0,94.0,89.0,0.0,5.0,0.0,98.0,0.0,9.0,10.0,0.0,0.0,13,htt_only,scenario_2a_static_jammer_weak
-1267.1941045957665,255.0,1.275,0.24975514201762977,0.5876591576885406,14.530500000000002,11.396470588235296,1.2873401679222816,20.082842712474633,178.0,198.08284271247464,0.02247191011235955,0.0,0.3406412069778406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.02247191011235955,0.0,255.0,0.0,340.0,0.0,0.75,162.16833807290703,4.0,218.0,0.0,178.0,0.0,0.0,0.0,126.0,129.0,0.0,67.0,0.0,0.0,0.0,100.0,66.0,10.0,12.0,0.0,14,htt_only,scenario_2a_static_jammer_weak
-1363.4209586949646,248.0,1.24,0.2333019755409219,0.5983066792097836,14.842999999999996,11.970161290322578,1.1462076322912291,20.365685424949262,196.0,216.36568542494928,0.07653061224489796,0.0,0.31983359334373374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.07653061224489796,0.0,248.0,0.0,364.0,0.0,0.6813186813186813,170.53192961154673,4.0,200.0,0.0,196.0,0.0,0.0,0.0,126.0,122.0,0.0,101.0,48.0,0.0,0.0,8.0,10.0,0.0,81.0,0.0,15,htt_only,scenario_2a_static_jammer_weak
-1292.6300172835106,246.0,1.23,0.239067055393586,0.586977648202138,14.85950000000001,12.080894308943098,1.2222128901488338,20.27426406871195,181.0,201.27426406871194,0.03314917127071823,0.0,0.3223394055608821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.03314917127071823,0.0,246.0,0.0,343.0,0.0,0.717201166180758,167.46316920766276,3.0,216.0,0.0,181.0,0.0,0.0,0.0,135.0,111.0,4.0,6.0,0.0,52.0,113.0,0.0,0.0,56.0,7.0,8.0,16,htt_only,scenario_2a_static_jammer_weak
