total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2202.562414213565,3.0,0.015,0.0030120481927710845,0.7961847389558233,17.582,1172.1333333333334,0.11432307569296107,12.241421356237282,14.0,26.241421356237282,0.987603305785124,0.0,0.0999999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.987603305785124,3.0,0.0,228.0,20.0,0.013157894736842105,0.0,0.0,158.0,0.0,228.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_2b_static_jammer_medium
-2235.904828427127,4.0,0.02,0.00392156862745098,0.8,17.824,891.2,0.155745999178554,11.682842712474594,14.0,25.682842712474596,0.9821428571428571,0.0,0.1999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.9821428571428571,4.0,0.0,210.0,27.0,0.01904761904761905,0.0,4.0,172.0,4.0,210.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,greedy_nearest,scenario_2b_static_jammer_medium
-2183.7409142135657,7.0,0.035,0.006986027944111776,0.7934131736526946,17.771500000000007,507.757142857143,0.27897981149082746,11.091421356237287,14.0,25.091421356237287,0.9723502304147466,0.0,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.9723502304147466,5.0,2.0,203.0,28.0,0.024630541871921183,0.07142857142857142,2.0,181.0,2.0,203.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2,greedy_nearest,scenario_2b_static_jammer_medium
-2048.8104142135667,7.0,0.035,0.007494646680942184,0.778372591006424,18.041000000000004,515.4571428571429,0.33267714578250185,11.041421356237286,10.0,21.041421356237286,0.9678899082568807,0.0,0.0999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.9678899082568807,7.0,0.0,208.0,16.0,0.03365384615384615,0.0,0.0,182.0,0.0,208.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3,greedy_nearest,scenario_2b_static_jammer_medium
-2138.968628959271,6.0,0.03,0.006109979633401222,0.790224032586558,17.489,582.9666666666667,0.26431718061674037,10.699999999999978,12.0,22.699999999999978,0.9766355140186916,0.0,0.13846153846153791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.9766355140186916,3.0,3.0,202.0,20.0,0.01485148514851485,0.15,0.0,186.0,0.0,202.0,12.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4,greedy_nearest,scenario_2b_static_jammer_medium
-2414.058500000003,2.0,0.01,0.0018181818181818182,0.8163636363636364,17.934,1793.4,0.0875273522975931,11.849999999999975,11.0,22.849999999999973,0.9914893617021276,0.0,0.0999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.9914893617021276,2.0,0.0,224.0,17.0,0.008928571428571428,0.0,2.0,163.0,2.0,224.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,greedy_nearest,scenario_2b_static_jammer_medium
-2138.211190136666,8.0,0.04,0.008146639511201629,0.7881873727087576,17.8775,446.9375,0.27681660899654004,10.899999999999977,18.0,28.899999999999977,0.9724770642201835,0.0,0.2909090909090896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.9724770642201835,3.0,5.0,200.0,31.0,0.015,0.16129032258064516,0.0,182.0,0.0,200.0,18.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,6,greedy_nearest,scenario_2b_static_jammer_medium
-2111.0914230769276,8.0,0.04,0.008376963350785341,0.7821989528795812,17.893,447.325,0.31683168316831717,12.249999999999973,13.0,25.24999999999997,0.9711934156378601,0.0,0.19999999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.9711934156378601,6.0,2.0,230.0,25.0,0.02608695652173913,0.08,2.0,155.0,2.0,230.0,13.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7,greedy_nearest,scenario_2b_static_jammer_medium
-2124.7890000000025,3.0,0.015,0.003131524008350731,0.7881002087682673,17.750000000000004,1183.3333333333337,0.10830324909747302,11.699999999999976,16.0,27.699999999999974,0.9871794871794872,0.0,0.17999999999999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.9871794871794872,2.0,1.0,218.0,25.0,0.009174311926605505,0.04,0.0,166.0,0.0,218.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8,greedy_nearest,scenario_2b_static_jammer_medium
-2210.081333333339,4.0,0.02,0.003996003996003996,0.7962037962037962,17.852500000000003,892.6250000000001,0.1834862385321103,11.799999999999974,10.0,21.799999999999976,0.9830508474576272,0.0,0.2666666666666622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.9830508474576272,3.0,1.0,226.0,19.0,0.01327433628318584,0.05263157894736842,0.0,164.0,0.0,226.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9,greedy_nearest,scenario_2b_static_jammer_medium
