total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2104.3999037266663,16.0,0.08,0.016145307769929364,0.7820383451059536,17.554999999999996,219.43749999999994,0.07367355459271982,20.17426406871195,197.0,217.17426406871195,0.9593908629441624,0.0,0.24615384615384595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.9593908629441624,0.0,16.0,0.0,388.0,0.0,0.041237113402061855,188.97751112456584,5.0,198.0,0.0,197.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0,htt_only,scenario_2b_static_jammer_medium
-2160.071946074184,18.0,0.09,0.01745877788554801,0.7904946653734238,17.849,198.32222222222222,0.0917511427152719,20.18284271247464,176.0,196.18284271247464,0.9488636363636364,0.0,0.1799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.9488636363636364,0.0,18.0,0.0,351.0,0.0,0.05128205128205128,193.5286175678801,2.0,222.0,0.0,176.0,0.0,0.0,0.0,6.0,12.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,htt_only,scenario_2b_static_jammer_medium
-2113.9342138681704,24.0,0.12,0.023668639053254437,0.7790927021696252,17.909500000000016,149.24583333333348,0.11650485436893204,20.000000000000014,186.0,206.0,0.9354838709677419,0.0,0.13846153846153844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.9354838709677419,0.0,24.0,0.0,372.0,0.0,0.06451612903225806,199.4384120346261,0.0,214.0,0.0,186.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,2,htt_only,scenario_2b_static_jammer_medium
-2007.2478982984453,22.0,0.11,0.022774327122153208,0.7701863354037267,18.016500000000015,163.78636363636377,0.12155272241714918,19.991421356237325,161.0,180.9914213562373,0.9316770186335404,0.0,0.1861538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.9316770186335404,0.0,22.0,0.0,318.0,0.0,0.06918238993710692,179.90477982502534,3.0,236.0,0.0,161.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,3,htt_only,scenario_2b_static_jammer_medium
-1984.3059861687725,34.0,0.17,0.03494347379239465,0.7605344295991778,17.444000000000013,102.61176470588242,0.17355793772332823,19.900000000000013,176.0,195.9,0.9034090909090909,0.0,0.19395973154362414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.9034090909090909,0.0,34.0,0.0,348.0,0.0,0.09770114942528736,170.95221942710134,2.0,222.0,0.0,176.0,0.0,0.0,0.0,20.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4,htt_only,scenario_2b_static_jammer_medium
-2315.053999999999,8.0,0.04,0.007332722273143905,0.8093492208982584,17.745500000000003,443.6375000000001,0.041237113402061855,20.000000000000014,174.0,194.0,0.9770114942528736,0.0,0.19999999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.9770114942528736,0.0,8.0,0.0,346.0,0.0,0.023121387283236993,182.33909874770717,0.0,226.0,0.0,174.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5,htt_only,scenario_2b_static_jammer_medium
-2070.590282053815,20.0,0.1,0.02040816326530612,0.7785714285714286,17.920500000000008,179.20500000000007,0.0962000962000962,19.900000000000013,188.0,207.9,0.9468085106382979,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.9468085106382979,0.0,20.0,0.0,373.0,0.0,0.05361930294906166,176.0505625876981,2.0,210.0,0.0,188.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,6,htt_only,scenario_2b_static_jammer_medium
-1949.1596350239606,30.0,0.15,0.031746031746031744,0.7566137566137566,17.803000000000008,118.68666666666672,0.15306122448979592,20.000000000000014,176.0,196.0,0.9147727272727273,0.0,0.19911504424778756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.9147727272727273,0.0,30.0,0.0,350.0,0.0,0.08571428571428572,191.9314838004292,0.0,224.0,0.0,176.0,0.0,0.0,0.0,14.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7,htt_only,scenario_2b_static_jammer_medium
-2000.7350196533184,28.0,0.14,0.029075804776739357,0.7632398753894081,17.643500000000014,126.02500000000009,0.1333968556455455,19.900000000000013,190.0,209.9,0.9263157894736842,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.9263157894736842,0.0,28.0,0.0,374.0,0.0,0.0748663101604278,199.19125169819972,2.0,208.0,0.0,190.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,8,htt_only,scenario_2b_static_jammer_medium
-2077.1971383029454,27.0,0.135,0.02629016553067186,0.7789678675754625,17.729000000000003,131.32592592592593,0.17774851876234363,19.900000000000013,132.0,151.9,0.8939393939393939,0.0,0.18740359897172232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.8939393939393939,0.0,27.0,0.0,260.0,0.0,0.10384615384615385,150.72934095817243,2.0,266.0,0.0,132.0,0.0,0.0,0.0,19.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,9,htt_only,scenario_2b_static_jammer_medium
