total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2194.7624142135633,1.0,0.005,0.001004016064257028,0.7981927710843374,17.584,3516.7999999999997,0.038107691897653694,12.241421356237282,14.0,26.241421356237282,0.9958677685950413,0.0,0.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.9958677685950413,1.0,0.0,228.0,20.0,0.0043859649122807015,0.0,0.0,158.0,0.0,228.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,greedy_nearest,scenario_2c_static_jammer_strong
-2224.0368284271244,1.0,0.005,0.000980392156862745,0.8029411764705883,17.836,3567.2,0.0389364997946385,11.682842712474594,14.0,25.682842712474596,0.9955357142857143,0.0,0.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9955357142857143,1.0,0.0,210.0,27.0,0.004761904761904762,0.0,4.0,172.0,4.0,210.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,greedy_nearest,scenario_2c_static_jammer_strong
-2191.7809142135657,5.0,0.025,0.00499001996007984,0.7954091816367266,17.773500000000006,710.9400000000002,0.1992712939220196,11.091421356237287,14.0,25.091421356237287,0.9815668202764977,0.0,0.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.9815668202764977,3.0,2.0,203.0,28.0,0.014778325123152709,0.07142857142857142,2.0,181.0,2.0,203.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2,greedy_nearest,scenario_2c_static_jammer_strong
-2059.2504142135667,4.0,0.02,0.004282655246252677,0.7815845824411135,18.044000000000004,902.2000000000002,0.19010122616142963,11.041421356237286,10.0,21.041421356237286,0.981651376146789,0.0,0.09999999999999938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.981651376146789,4.0,0.0,208.0,16.0,0.019230769230769232,0.0,0.0,182.0,0.0,208.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3,greedy_nearest,scenario_2c_static_jammer_strong
-2163.8534999999993,0.0,0.0,0.0,0.7983870967741935,17.637,3527.4,0.0,11.349999999999977,11.0,22.349999999999977,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,1.0,0.0,0.0,216.0,22.0,0.0,0.0,0.0,173.0,0.0,216.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,greedy_nearest,scenario_2c_static_jammer_strong
-2414.058500000003,2.0,0.01,0.0018181818181818182,0.8163636363636364,17.934,1793.4,0.0875273522975931,11.849999999999975,11.0,22.849999999999973,0.9914893617021276,0.0,0.0999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.9914893617021276,2.0,0.0,224.0,17.0,0.008928571428571428,0.0,2.0,163.0,2.0,224.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,greedy_nearest,scenario_2c_static_jammer_strong
-2147.3089365079322,6.0,0.03,0.006109979633401222,0.790224032586558,17.885,596.1666666666667,0.207612456747405,10.899999999999977,18.0,28.899999999999977,0.981651376146789,0.0,0.25714285714285534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.981651376146789,1.0,5.0,200.0,31.0,0.005,0.16129032258064516,0.0,182.0,0.0,200.0,18.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,6,greedy_nearest,scenario_2c_static_jammer_strong
-2127.514499999998,3.0,0.015,0.0031413612565445027,0.787434554973822,17.955,1197.0,0.11881188118811895,12.249999999999973,13.0,25.24999999999997,0.9876543209876543,0.0,0.17999999999999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.9876543209876543,3.0,0.0,230.0,25.0,0.013043478260869565,0.0,2.0,155.0,2.0,230.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7,greedy_nearest,scenario_2c_static_jammer_strong
-2119.569000000002,3.0,0.015,0.0031413612565445027,0.787434554973822,17.742000000000004,1182.8000000000004,0.10830324909747302,11.699999999999976,16.0,27.699999999999974,0.9871794871794872,0.0,0.17999999999999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.9871794871794872,3.0,0.0,218.0,25.0,0.013761467889908258,0.0,0.0,166.0,0.0,218.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8,greedy_nearest,scenario_2c_static_jammer_strong
-2220.158000000005,2.0,0.01,0.001998001998001998,0.7982017982017982,17.872,1787.2,0.09174311926605515,11.799999999999974,10.0,21.799999999999976,0.9915254237288136,0.0,0.19999999999999002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.9915254237288136,2.0,0.0,226.0,19.0,0.008849557522123894,0.0,0.0,164.0,0.0,226.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,greedy_nearest,scenario_2c_static_jammer_strong
-2175.2138284271296,2.0,0.01,0.002044989775051125,0.7934560327198364,17.953500000000002,1795.3500000000001,0.0893541551308558,12.382842712474591,10.0,22.38284271247459,0.9917355371900827,0.0,0.19999999999999002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.9917355371900827,2.0,0.0,232.0,18.0,0.008620689655172414,0.0,0.0,158.0,0.0,232.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,greedy_nearest,scenario_2c_static_jammer_strong
-2263.0264999999995,3.0,0.015,0.0029791459781529296,0.7984111221449851,17.8155,1187.7,0.10471204188481686,13.649999999999968,15.0,28.64999999999997,0.992619926199262,0.0,0.17999999999999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.992619926199262,1.0,2.0,256.0,30.0,0.00390625,0.06666666666666667,2.0,127.0,2.0,256.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11,greedy_nearest,scenario_2c_static_jammer_strong
-2123.8234142135652,2.0,0.01,0.0020942408376963353,0.7884816753926701,17.896000000000004,1789.6000000000004,0.07592604715411182,12.341421356237282,14.0,26.341421356237284,0.9917355371900827,0.0,0.0999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.9917355371900827,2.0,0.0,228.0,27.0,0.008771929824561403,0.0,2.0,156.0,2.0,228.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,greedy_nearest,scenario_2c_static_jammer_strong
-2234.840499999999,1.0,0.005,0.000970873786407767,0.8048543689320389,17.9235,3584.7000000000003,0.03838771593090215,11.049999999999978,15.0,26.049999999999976,0.9954337899543378,0.0,0.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.9954337899543378,1.0,0.0,204.0,26.0,0.004901960784313725,0.0,1.9999999999999991,179.0,2.0,204.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,greedy_nearest,scenario_2c_static_jammer_strong
-2215.179730769226,5.0,0.025,0.004911591355599214,0.7986247544204322,17.8625,714.5,0.213219616204691,10.44999999999998,13.0,23.44999999999998,0.9760765550239234,0.0,0.19230769230769085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.9760765550239234,5.0,0.0,196.0,26.0,0.025510204081632654,0.0,0.0,191.0,0.0,196.0,13.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14,greedy_nearest,scenario_2c_static_jammer_strong
-2298.2955000000024,3.0,0.015,0.002881844380403458,0.8049951969260326,17.867,1191.1333333333334,0.11834319526627232,12.349999999999973,13.0,25.349999999999973,0.9877551020408163,0.0,0.17999999999999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.9877551020408163,3.0,0.0,232.0,26.0,0.01293103448275862,0.0,2.0,153.0,2.0,232.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,greedy_nearest,scenario_2c_static_jammer_strong
