total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2795.6682548339995,0.0,0.0,0.0,0.8009950248756219,17.7245,3544.8999999999996,0.0,17.825483399593907,58.0,75.8254833995939,1.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,1.0,0.0,0.0,208.0,108.0,0.0,0.0,0.0,134.0,0.0,208.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_2c_static_jammer_strong
-2216.9548518970173,25.0,0.125,0.02453385672227674,0.7791952894995093,17.574500000000004,140.59600000000003,0.294256820237037,18.959797974644683,66.0,84.95979797464469,0.9358108108108109,0.0,0.19968051118210856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.9358108108108109,13.0,12.0,230.0,131.0,0.05652173913043478,0.0916030534351145,4.0,100.0,4.0,230.0,66.0,0.0,0.0,0.0,0.0,25.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,greedy_sinr,scenario_2c_static_jammer_strong
-2222.462198484813,2.0,0.01,0.002004008016032064,0.7975951903807615,17.8055,1780.5499999999997,0.028082059182336274,15.21984848098348,56.0,71.21984848098347,0.9958847736625515,0.0,0.0999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.9958847736625515,0.0,2.0,187.0,112.0,0.0,0.017857142857142856,2.0,155.0,2.0,187.0,56.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,greedy_sinr,scenario_2c_static_jammer_strong
-2216.6449558441263,2.0,0.01,0.002068252326783868,0.7911065149948294,17.952,1795.2,0.027212519173683315,16.495584412271548,57.0,73.49558441227154,0.992831541218638,4.0,0.19999999999999002,2.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,277.0,0.992831541218638,2.0,0.0,222.0,110.0,0.009009009009009009,0.0,0.0,120.0,0.0,222.0,58.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,greedy_sinr,scenario_2c_static_jammer_strong
-2237.6026421356273,4.0,0.02,0.003976143141153081,0.7972166998011928,17.695,884.75,0.051770409812958496,14.264213562373069,63.0,77.26421356237307,0.9922178988326849,0.0,0.1999999999999975,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,255.0,0.9922178988326849,0.0,4.0,194.0,126.0,0.0,0.031746031746031744,0.0,142.0,0.0,194.0,64.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4,greedy_sinr,scenario_2c_static_jammer_strong
-2471.60978427125,1.0,0.005,0.0009057971014492754,0.8179347826086957,17.891,3578.1999999999994,0.013893051570394764,16.97842712474618,55.0,71.97842712474618,0.99644128113879,0.0,0.09999999999999,2.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,280.0,0.99644128113879,1.0,0.0,226.0,104.0,0.004424778761061947,0.0,2.0,116.0,2.0,226.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,greedy_sinr,scenario_2c_static_jammer_strong
-2187.940884776316,6.0,0.03,0.006109979633401222,0.790224032586558,17.834,594.4666666666667,0.08838024079144619,14.888477631084994,53.0,67.888477631085,0.9846743295019157,0.0,0.2999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.9846743295019157,1.0,5.0,208.0,101.0,0.004807692307692308,0.04950495049504951,0.0,139.0,0.0,208.0,53.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,6,greedy_sinr,scenario_2c_static_jammer_strong
-2154.6366306029067,28.0,0.14,0.02834008097165992,0.7692307692307693,17.764,126.88571428571427,0.36014907099444743,17.745584412271572,60.0,77.74558441227157,0.9304635761589404,0.0,0.22923976608187127,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.9304635761589404,14.0,14.0,242.0,119.0,0.05785123966942149,0.11764705882352941,2.0,96.0,2.0,242.0,60.0,0.0,0.0,0.0,26.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,1.0,7,greedy_sinr,scenario_2c_static_jammer_strong
-2149.014298989873,1.0,0.005,0.0010416666666666667,0.790625,17.779,3555.7999999999997,0.014613495194334065,15.429898987322307,53.0,68.4298989873223,0.9962825278810409,0.0,0.09999999999999,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,268.0,0.9962825278810409,1.0,0.0,216.0,101.0,0.004629629629629629,0.0,0.0,130.0,0.0,216.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,greedy_sinr,scenario_2c_static_jammer_strong
-2229.324843306681,7.0,0.035,0.0070140280561122245,0.7925851703406813,17.8845,510.9857142857142,0.09996745030379728,15.022792206135756,55.0,70.02279220613576,0.9818181818181818,0.0,0.37692307692307403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.9818181818181818,3.0,4.0,220.0,109.0,0.013636363636363636,0.03669724770642202,0.0,125.0,0.0,220.0,55.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,9,greedy_sinr,scenario_2c_static_jammer_strong
