total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-2133.7217426406933,8.0,0.04,0.008072653884964682,0.7901109989909183,17.584,439.59999999999997,0.03683677729635991,20.17426406871195,197.0,217.17426406871195,0.9796954314720813,0.0,0.1599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.9796954314720813,0.0,8.0,0.0,388.0,0.0,0.020618556701030927,188.97751112456584,5.0,198.0,0.0,197.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_2c_static_jammer_strong
-2193.0538284271297,8.0,0.04,0.007759456838021339,0.8001939864209505,17.868000000000006,446.70000000000016,0.040778285651231955,20.18284271247464,176.0,196.18284271247464,0.9772727272727273,0.0,0.1599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.9772727272727273,0.0,8.0,0.0,351.0,0.0,0.022792022792022793,193.5286175678801,2.0,222.0,0.0,176.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,htt_only,scenario_2c_static_jammer_strong
-2150.22513513514,14.0,0.07,0.013806706114398421,0.7889546351084813,17.925500000000007,256.0785714285715,0.06796116504854369,20.000000000000014,186.0,206.0,0.9623655913978495,0.0,0.13243243243243236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.9623655913978495,0.0,14.0,0.0,372.0,0.0,0.03763440860215054,199.4384120346261,0.0,214.0,0.0,186.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,2,htt_only,scenario_2c_static_jammer_strong
-2036.2248912770665,14.0,0.07,0.014492753623188406,0.7784679089026915,18.034500000000005,257.63571428571436,0.07735173244727675,19.991421356237325,161.0,180.9914213562373,0.9565217391304348,0.0,0.16896551724137918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.9565217391304348,0.0,14.0,0.0,318.0,0.0,0.0440251572327044,179.90477982502534,3.0,236.0,0.0,161.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,3,htt_only,scenario_2c_static_jammer_strong
-2046.1834923076929,16.0,0.08,0.01644398766700925,0.7780061664953751,17.491000000000003,218.63750000000005,0.0816743236345074,19.900000000000013,176.0,195.9,0.9545454545454546,0.0,0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.9545454545454546,0.0,16.0,0.0,348.0,0.0,0.04597701149425287,170.95221942710134,2.0,222.0,0.0,176.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4,htt_only,scenario_2c_static_jammer_strong
-2319.860000000005,4.0,0.02,0.0036663611365719525,0.8130155820348305,17.77,888.5,0.020618556701030927,20.000000000000014,174.0,194.0,0.9885057471264368,0.0,0.1999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.9885057471264368,0.0,4.0,0.0,346.0,0.0,0.011560693641618497,182.33909874770717,0.0,226.0,0.0,174.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,htt_only,scenario_2c_static_jammer_strong
-2107.871000000003,8.0,0.04,0.00816326530612245,0.7877551020408163,17.934000000000008,448.3500000000002,0.03848003848003848,19.900000000000013,188.0,207.9,0.9787234042553191,0.0,0.1599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.9787234042553191,0.0,8.0,0.0,373.0,0.0,0.021447721179624665,176.0505625876981,2.0,210.0,0.0,188.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,6,htt_only,scenario_2c_static_jammer_strong
-2007.0241538461564,14.0,0.07,0.014814814814814815,0.7735449735449735,17.919500000000006,255.99285714285722,0.07142857142857142,20.000000000000014,176.0,196.0,0.9602272727272727,0.0,0.1959999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.9602272727272727,0.0,14.0,0.0,350.0,0.0,0.04,191.9314838004292,0.0,224.0,0.0,176.0,0.0,0.0,0.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7,htt_only,scenario_2c_static_jammer_strong
-2044.2257692307692,12.0,0.06,0.012461059190031152,0.7798546209761164,17.776000000000007,296.26666666666677,0.05717008099094807,19.900000000000013,190.0,209.9,0.968421052631579,0.0,0.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.968421052631579,0.0,12.0,0.0,375.0,0.0,0.032,199.19125169819972,2.0,208.0,0.0,190.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,8,htt_only,scenario_2c_static_jammer_strong
-2124.8334827586177,14.0,0.07,0.013631937682570594,0.7916260954235638,17.806000000000008,254.37142857142865,0.09216589861751152,19.900000000000013,132.0,151.9,0.946969696969697,0.0,0.16896551724137918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.946969696969697,0.0,14.0,0.0,260.0,0.0,0.05384615384615385,150.72934095817243,2.0,266.0,0.0,132.0,0.0,0.0,0.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9,htt_only,scenario_2c_static_jammer_strong
-2092.710828427123,4.0,0.02,0.0040858018386108275,0.7916241062308478,17.741500000000002,887.075,0.019040107932443172,20.082842712474637,190.0,210.08284271247464,0.9894736842105263,0.0,0.1999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.9894736842105263,0.0,4.0,0.0,378.0,0.0,0.010582010582010581,197.4013751782065,4.0,206.0,0.0,190.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10,htt_only,scenario_2c_static_jammer_strong
-2113.381133031679,16.0,0.08,0.015873015873015872,0.7857142857142857,17.676000000000005,220.95000000000007,0.0851063829787234,20.000000000000014,168.0,188.0,0.9523809523809523,0.0,0.18823529411764695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.9523809523809523,0.0,16.0,0.0,336.0,0.0,0.047619047619047616,167.5254608579285,0.0,232.0,0.0,168.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,11,htt_only,scenario_2c_static_jammer_strong
-2007.9829449827973,14.0,0.07,0.014690451206715634,0.7754459601259182,17.867000000000004,255.2428571428572,0.07563829753651745,20.091421356237326,165.0,185.09142135623733,0.9575757575757575,0.0,0.1959999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.9575757575757575,0.0,14.0,0.0,330.0,0.0,0.04242424242424243,179.29595355419696,1.0,234.0,0.0,165.0,0.0,0.0,0.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12,htt_only,scenario_2c_static_jammer_strong
-2204.8500000000026,2.0,0.01,0.0019193857965451055,0.8061420345489443,17.8915,1789.15,0.011627906976744186,20.000000000000014,152.0,172.0,0.993421052631579,0.0,0.0999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.993421052631579,0.0,2.0,0.0,299.0,0.0,0.006688963210702341,164.501848503967,0.0,248.0,0.0,152.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13,htt_only,scenario_2c_static_jammer_strong
