total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1932.627534454359,12.0,0.06,0.012084592145015106,0.7865055387713998,17.796000000000006,296.60000000000014,0.19223229882222181,50.424473272817224,12.0,62.424473272817224,0.6666666666666666,0.0,0.4235294117647046,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,16.0,0.6666666666666666,4.0,8.0,12.0,24.0,0.3333333333333333,0.3333333333333333,17.0,129.0,19.0,13.0,13.0,111.0,115.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,0,random,scenario_2c_static_jammer_strong
-1968.0172271930724,25.0,0.125,0.024271844660194174,0.7825242718446602,17.78400000000002,142.27200000000016,0.3695252673969372,52.654372260139546,15.0,67.65437226013955,0.41379310344827586,0.0,0.46296296296296263,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,12.0,0.41379310344827586,9.0,16.0,14.0,30.0,0.6428571428571429,0.5333333333333333,16.0,112.0,16.0,15.0,15.0,130.0,112.0,0.0,22.0,3.0,5.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,3.0,1,random,scenario_2c_static_jammer_strong
-1887.9272747444863,28.0,0.14,0.028056112224448898,0.7715430861723447,17.77900000000001,126.9928571428572,0.4083239675114808,50.57300141024107,18.0,68.57300141024106,0.34615384615384615,0.0,0.4454545454545452,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,9.0,0.34615384615384615,6.0,22.0,8.0,36.0,0.75,0.6111111111111112,17.0,118.0,18.0,9.0,19.0,115.0,121.0,0.0,14.0,14.0,5.0,0.0,0.0,6.0,1.0,3.0,10.0,1.0,0.0,2.0,2,random,scenario_2c_static_jammer_strong
-1741.9594674601262,45.0,0.225,0.04756871035940803,0.7441860465116279,17.91650000000001,79.62888888888894,0.6514707657960352,50.07447327281722,19.0,69.07447327281722,0.15625,0.0,0.4107505070993914,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,5.0,0.15625,8.0,37.0,13.0,37.0,0.6153846153846154,1.0,19.0,109.0,19.0,15.0,20.0,108.0,129.0,0.0,23.0,22.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,3.0,5.0,13.0,3,random,scenario_2c_static_jammer_strong
-1997.206259451355,2.0,0.01,0.002004008016032064,0.7995991983967936,17.695500000000003,1769.5500000000002,0.025436896135951233,51.62594513539333,27.0,78.62594513539332,0.9818181818181818,1.0,0.0999999999999975,2.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,54.0,0.9818181818181818,0.0,2.0,28.0,54.0,0.0,0.037037037037037035,38.0,107.0,38.0,29.0,27.0,94.0,105.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4,random,scenario_2c_static_jammer_strong
-2144.360515966063,11.0,0.055,0.010156971375807941,0.8051708217913204,17.8575,324.6818181818182,0.1478690218243919,52.39015869776643,22.0,74.39015869776642,0.8048780487804879,2.0,0.2688888888888883,0.0,5.0,0.0125,5.0,0.0125,0.0,0.0,0.0,33.0,0.8048780487804879,5.0,6.0,19.0,44.0,0.2631578947368421,0.13636363636363635,19.0,106.0,23.0,20.0,22.0,110.0,119.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5,random,scenario_2c_static_jammer_strong
-1918.5056461515978,29.0,0.145,0.02905811623246493,0.7705410821643287,17.964000000000027,123.88965517241398,0.39518661656327,51.383051916579916,22.0,73.38305191657992,0.6037735849056604,0.0,0.6138686131386857,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,32.0,0.6037735849056604,13.0,16.0,31.0,43.0,0.41935483870967744,0.37209302325581395,24.0,108.0,24.0,32.0,22.0,107.0,107.0,0.0,15.0,14.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,6,random,scenario_2c_static_jammer_strong
-1857.384389411477,28.0,0.14,0.02880658436213992,0.7664609053497943,18.00450000000001,128.60357142857148,0.3900722160049226,52.78158005400376,19.0,71.78158005400377,0.5238095238095238,0.0,0.6533333333333329,2.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,22.0,0.5238095238095238,11.0,17.0,23.0,37.0,0.4782608695652174,0.4594594594594595,22.0,120.0,24.0,24.0,19.0,109.0,104.0,0.0,11.0,17.0,7.0,2.0,4.0,2.0,3.0,5.0,0.0,3.0,0.0,2.0,7,random,scenario_2c_static_jammer_strong
-1791.7431529302596,40.0,0.2,0.04162330905306972,0.7523413111342352,17.60800000000002,88.04000000000009,0.5395186725059579,52.140158697766445,22.0,74.14015869776645,0.42857142857142855,0.0,0.5442176870748298,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,21.0,0.42857142857142855,14.0,26.0,27.0,44.0,0.5185185185185185,0.5909090909090909,25.0,100.0,25.0,27.0,24.0,103.0,121.0,0.0,5.0,35.0,4.0,0.0,6.0,5.0,0.0,0.0,4.0,10.0,1.0,10.0,8,random,scenario_2c_static_jammer_strong
-1851.1857747230677,38.0,0.19,0.038539553752535496,0.7596348884381339,17.47500000000002,91.97368421052641,0.5018290254255657,51.72300141024103,24.0,75.72300141024104,0.49019607843137253,1.0,0.4149425287356321,1.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,25.0,0.49019607843137253,14.0,24.0,27.0,48.0,0.5185185185185185,0.5,16.0,107.0,17.0,29.0,25.0,108.0,114.0,0.0,14.0,24.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,8.0,6.0,9,random,scenario_2c_static_jammer_strong
