step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.8,27.791489811750647,1999.8585786437627,0.0,0.0,0.0,-0.4814142135623731,0.0,0.0,0.0,0.48,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
1.0,0.0,0.0,4.0,9.0,27.791489811750647,1999.5671572875253,0.0,0.0,0.0,-8.902914213562374,0.0,0.0,8.0,0.9,0.0029142135623730957,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
2.0,0.0,0.0,40.0,10.0,27.791489811750647,1999.3257359312881,0.0,0.0,0.0,-81.00241421356237,0.0,0.0,80.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
3.0,0.0,0.0,42.0,10.0,27.791489811750647,1999.1843145750508,0.0,0.0,0.0,-85.00141421356237,0.0,0.0,84.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
4.0,0.0,0.0,45.0,10.0,27.791489811750647,1999.084314575051,0.0,0.0,0.0,-91.001,0.0,0.0,90.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
5.0,1.0,0.0,51.0,10.0,27.791489811750647,1998.8428932188135,0.0,0.0,0.0,-103.00241421356237,0.0,0.0,102.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
6.0,1.0,0.0,52.0,10.0,27.791489811750647,1998.560050506339,0.0,0.0,0.0,-105.00282842712474,0.0,0.0,104.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
7.0,1.0,0.0,51.0,10.0,27.791489811750647,1998.2272077938644,0.0,0.0,0.0,-103.00332842712474,0.0,0.0,102.0,1.0,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
8.0,1.0,0.0,45.0,10.0,27.791489811750647,1997.9272077938645,0.0,0.0,0.0,-91.003,0.0,0.0,90.0,1.0,0.003,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
9.0,0.0,0.0,48.0,10.0,27.791489811750647,1997.685786437627,0.0,0.0,0.0,-97.00241421356237,0.0,0.0,96.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_3_mobile_jammer
