total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,episode_id,policy_name,scenario_name
-1881.8306161026394,25.0,0.125,0.025176233635448138,0.7734138972809668,17.79300000000001,142.34400000000008,0.4004839558796288,50.424473272817224,12.0,62.424473272817224,0.2916666666666667,0.0,0.5434782608695647,0.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,7.0,0.2916666666666667,9.0,16.0,12.0,24.0,0.75,0.6666666666666666,17.0,129.0,19.0,13.0,13.0,111.0,115.0,0.0,0.0,25.0,2.0,0.0,5.0,1.0,6.0,3.0,6.0,0.0,2.0,0.0,0,random,scenario_3b_mobile_chase_uav
-1970.8388733702254,23.0,0.115,0.02233009708737864,0.7844660194174757,17.789500000000018,154.69130434782625,0.33996324600518224,52.654372260139546,15.0,67.65437226013955,0.4482758620689655,0.0,0.4371900826446278,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,13.0,0.4482758620689655,9.0,14.0,14.0,30.0,0.6428571428571429,0.4666666666666667,16.0,112.0,16.0,15.0,15.0,130.0,112.0,0.0,23.0,0.0,5.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,3.0,1,random,scenario_3b_mobile_chase_uav
-1888.2753977117025,26.0,0.13,0.026052104208416832,0.7735470941883767,17.810000000000013,137.00000000000009,0.3791579698320893,50.57300141024107,18.0,68.57300141024106,0.4230769230769231,0.0,0.5365079365079362,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,11.0,0.4230769230769231,4.0,22.0,8.0,36.0,0.5,0.6111111111111112,17.0,118.0,18.0,9.0,19.0,115.0,121.0,0.0,0.0,26.0,1.0,0.0,2.0,8.0,3.0,4.0,4.0,0.0,0.0,4.0,2,random,scenario_3b_mobile_chase_uav
-1833.4408153033967,17.0,0.085,0.017970401691331923,0.773784355179704,18.003000000000007,211.80000000000007,0.2461111781896133,50.07447327281722,19.0,69.07447327281722,0.6875,0.0,0.19931034482758608,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,22.0,0.6875,3.0,14.0,13.0,37.0,0.23076923076923078,0.3783783783783784,19.0,109.0,19.0,15.0,20.0,108.0,129.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,3,random,scenario_3b_mobile_chase_uav
-1972.9959474496306,13.0,0.065,0.013026052104208416,0.7865731462925851,17.672000000000004,271.8769230769231,0.165339824883683,51.62594513539333,27.0,78.62594513539332,0.8363636363636363,1.0,0.48285714285714143,2.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,46.0,0.8363636363636363,5.0,8.0,28.0,54.0,0.17857142857142858,0.14814814814814814,38.0,107.0,38.0,29.0,27.0,94.0,105.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,4,random,scenario_3b_mobile_chase_uav
-2163.745901586976,5.0,0.025,0.0046168051708217915,0.8107109879963066,17.8615,714.4599999999999,0.06721319173835995,52.39015869776643,22.0,74.39015869776642,0.9024390243902439,2.0,0.1470588235294109,0.0,5.0,0.0125,5.0,0.0125,0.0,0.0,0.0,37.0,0.9024390243902439,3.0,2.0,19.0,44.0,0.15789473684210525,0.045454545454545456,19.0,106.0,23.0,20.0,22.0,110.0,119.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5,random,scenario_3b_mobile_chase_uav
-1896.3360008446627,33.0,0.165,0.033066132264529056,0.7675350701402806,17.94000000000002,108.72727272727283,0.44969511539958307,51.383051916579916,22.0,73.38305191657992,0.5471698113207547,0.0,0.47973568281938306,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,29.0,0.5471698113207547,15.0,18.0,31.0,43.0,0.4838709677419355,0.4186046511627907,24.0,108.0,24.0,32.0,22.0,107.0,107.0,0.0,33.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,6.0,4.0,0.0,11.0,6,random,scenario_3b_mobile_chase_uav
-1832.2214826286481,33.0,0.165,0.033950617283950615,0.7602880658436214,18.030000000000015,109.27272727272737,0.4594079647863828,52.831580054003766,19.0,71.83158005400377,0.5238095238095238,0.0,0.43386454183266915,2.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,22.0,0.5238095238095238,7.0,26.0,23.0,37.0,0.30434782608695654,0.7027027027027027,22.0,120.0,24.0,24.0,19.0,110.0,103.0,0.0,33.0,0.0,5.0,0.0,10.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,7,random,scenario_3b_mobile_chase_uav
-1838.6091886488175,25.0,0.125,0.026014568158168574,0.7658688865764828,17.73950000000001,141.91600000000008,0.33719917031622365,52.140158697766445,22.0,74.14015869776645,0.6530612244897959,0.0,0.6067961165048539,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,32.0,0.6530612244897959,9.0,16.0,27.0,44.0,0.3333333333333333,0.36363636363636365,25.0,100.0,25.0,27.0,24.0,103.0,121.0,0.0,25.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,6.0,8,random,scenario_3b_mobile_chase_uav
-1967.9272300141029,1.0,0.005,0.0010141987829614604,0.7961460446247465,17.562500000000004,3512.5000000000005,0.013206026984883308,51.72300141024103,24.0,75.72300141024104,0.9803921568627451,1.0,0.09999999999999,1.0,4.0,0.01,4.0,0.01,0.0,0.0,0.0,50.0,0.9803921568627451,1.0,0.0,27.0,48.0,0.037037037037037035,0.0,16.0,107.0,17.0,29.0,25.0,108.0,114.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,random,scenario_3b_mobile_chase_uav
-1880.6148082345596,13.0,0.065,0.013485477178423237,0.779045643153527,17.745000000000008,273.0000000000001,0.19633546370618832,49.21320343559639,17.0,66.2132034355964,0.75,0.0,0.18988764044943798,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,24.0,0.75,3.0,10.0,15.0,34.0,0.2,0.29411764705882354,23.0,125.0,23.0,17.0,17.0,107.0,111.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,10,random,scenario_3b_mobile_chase_uav
-1972.4600512484415,13.0,0.065,0.012948207171314742,0.7888446215139442,17.772000000000006,273.4153846153847,0.1815419642016333,50.60878784786798,21.0,71.60878784786797,0.7906976744186046,0.0,0.16095238095238082,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,34.0,0.7906976744186046,5.0,8.0,22.0,42.0,0.22727272727272727,0.19047619047619047,23.0,101.0,24.0,22.0,21.0,115.0,117.0,0.0,11.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,11,random,scenario_3b_mobile_chase_uav
-1793.8043482759547,35.0,0.175,0.03676470588235294,0.7552521008403361,17.741000000000025,101.377142857143,0.43684441837981713,53.12005768508877,27.0,80.12005768508877,0.5094339622641509,0.0,0.5975609756097559,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,27.0,0.5094339622641509,15.0,20.0,26.0,51.0,0.5769230769230769,0.39215686274509803,23.0,96.0,24.0,28.0,27.0,121.0,104.0,0.0,0.0,35.0,5.0,4.0,0.0,5.0,10.0,1.0,3.0,0.0,2.0,5.0,12,random,scenario_3b_mobile_chase_uav
-1926.8413751412525,35.0,0.175,0.03398058252427184,0.7718446601941747,17.79550000000002,101.68857142857154,0.5175753703635443,51.623001410241066,16.0,67.62300141024107,0.21428571428571427,0.0,0.4657794676806082,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,6.0,0.21428571428571427,9.0,26.0,12.0,30.0,0.75,0.8666666666666667,20.0,119.0,21.0,13.0,17.0,117.0,113.0,0.0,35.0,0.0,4.0,0.0,2.0,4.0,5.0,0.0,11.0,9.0,0.0,0.0,13,random,scenario_3b_mobile_chase_uav
-1989.0336823909329,23.0,0.115,0.022395326192794548,0.7828627069133398,17.85200000000001,155.23478260869575,0.306601689065131,53.0158946290545,22.0,75.0158946290545,0.7213114754098361,0.0,0.45999999999999963,3.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,44.0,0.7213114754098361,11.0,12.0,39.0,44.0,0.28205128205128205,0.2727272727272727,30.0,79.0,30.0,41.0,23.0,100.0,127.0,0.0,0.0,23.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,7.0,6.0,14,random,scenario_3b_mobile_chase_uav
-2118.218173664917,2.0,0.01,0.0019175455417066154,0.8063279002876318,17.892000000000003,1789.2000000000003,0.02251811868558905,51.81736649163069,37.0,88.8173664916307,0.9852941176470589,3.0,0.0999999999999975,5.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,67.0,0.9852941176470589,0.0,2.0,31.0,74.0,0.0,0.02702702702702703,40.0,96.0,40.0,32.0,37.0,96.0,99.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15,random,scenario_3b_mobile_chase_uav
-1968.306630190178,27.0,0.135,0.026264591439688716,0.7791828793774319,17.722500000000014,131.27777777777789,0.3712492635446385,49.72741699796949,23.0,72.7274169979695,0.6041666666666666,0.0,0.3591133004926107,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,29.0,0.6041666666666666,11.0,16.0,25.0,45.0,0.44,0.35555555555555557,29.0,122.0,30.0,27.0,23.0,97.0,101.0,0.0,27.0,0.0,0.0,0.0,12.0,1.0,5.0,0.0,4.0,1.0,0.0,4.0,16,random,scenario_3b_mobile_chase_uav
-1988.4786097957533,18.0,0.09,0.0175609756097561,0.7873170731707317,17.77100000000001,197.4555555555557,0.2551480894092216,52.547265478953015,18.0,70.54726547895302,0.6756756756756757,0.0,0.43783783783783725,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,25.0,0.6756756756756757,6.0,12.0,19.0,36.0,0.3157894736842105,0.3333333333333333,34.649011365334545,103.0,36.0,20.0,18.0,116.0,107.0,0.0,18.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,17,random,scenario_3b_mobile_chase_uav
-1867.2482355932682,23.0,0.115,0.023638232271325797,0.7708119218910586,17.946000000000012,156.0521739130436,0.3259432883921519,51.564422766478394,19.0,70.5644227664784,0.6,0.0,0.5343434343434338,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,27.0,0.6,13.0,10.0,26.0,38.0,0.5,0.2631578947368421,14.0,114.0,14.0,27.0,19.0,106.0,120.0,0.0,23.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,7.0,2.0,0.0,5.0,18,random,scenario_3b_mobile_chase_uav
-2008.0679506490644,8.0,0.04,0.008040201005025126,0.7909547738693468,17.925499999999996,448.1374999999999,0.1155038983044464,49.26173157302028,20.0,69.26173157302028,0.8888888888888888,6.0,0.26666666666666555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.8888888888888888,2.0,6.0,25.0,40.0,0.08,0.15,18.0,116.0,18.0,25.0,20.0,95.0,126.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,19,random,scenario_3b_mobile_chase_uav
-1819.0336166538636,26.0,0.13,0.02728226652675761,0.7639034627492131,17.89,137.6153846153846,0.3159495057147372,52.29163056034258,30.0,82.29163056034258,0.6727272727272727,0.0,0.3520833333333332,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,37.0,0.6727272727272727,10.0,16.0,25.0,60.0,0.4,0.26666666666666666,23.0,97.0,24.0,27.0,30.0,101.0,121.0,0.0,24.0,2.0,12.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,20,random,scenario_3b_mobile_chase_uav
-1966.8575739458731,16.0,0.08,0.015857284440039643,0.7859266600594648,17.785000000000007,222.31250000000009,0.22287634313094748,50.78868683519028,21.0,71.78868683519028,0.7380952380952381,0.0,0.36571428571428516,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,31.0,0.7380952380952381,6.0,10.0,21.0,42.0,0.2857142857142857,0.23809523809523808,21.0,106.0,22.0,23.0,21.0,98.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,21,random,scenario_3b_mobile_chase_uav
-1787.8258213467602,58.0,0.29,0.05846774193548387,0.7399193548387096,17.856000000000027,61.57241379310354,0.7511693222576828,52.21295090390225,25.0,77.21295090390225,0.23529411764705882,0.0,0.4724719101123595,2.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,12.0,0.23529411764705882,20.0,38.0,26.0,50.0,0.7692307692307693,0.76,20.0,108.0,20.0,27.0,25.0,106.0,114.0,0.0,0.0,58.0,19.0,5.0,14.0,3.0,0.0,0.0,2.0,6.0,0.0,9.0,22,random,scenario_3b_mobile_chase_uav
-1939.1264765592632,36.0,0.18,0.03498542274052478,0.7706511175898931,17.910000000000004,99.50000000000003,0.46088695817236464,52.11025971044412,26.0,78.11025971044413,0.5319148936170213,0.0,0.5311475409836064,1.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,25.0,0.5319148936170213,8.0,28.0,21.0,50.0,0.38095238095238093,0.56,34.0,103.0,36.0,22.0,26.0,109.0,104.0,0.0,36.0,0.0,6.0,0.0,0.0,2.0,9.0,5.0,1.0,4.0,0.0,9.0,23,random,scenario_3b_mobile_chase_uav
