step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,0.3,62.23319184940052,1999.8085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031914213562373096,0.0,0.0,0.0,0.03,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
1.0,0.0,0.0,0.0,0.7,62.23319184940052,1999.5171572875256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07291421356237308,0.0,0.0,0.0,0.06999999999999999,0.0029142135623730953,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
2.0,0.0,0.0,0.0,1.1,62.23319184940052,1999.2757359312882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875857864376269,0.0,0.2,0.0,0.11000000000000001,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
3.0,0.0,0.0,0.0,1.3,62.23319184940052,1999.134314575051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1314142135623731,0.0,0.0,0.0,0.13,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
4.0,1.0,0.0,0.0,1.7,62.23319184940052,1999.0343145750508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.171,0.0,0.0,0.0,0.17,0.001,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
5.0,1.0,0.0,0.0,2.0,62.23319184940052,1998.7428932188136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2029142135623731,0.0,0.0,0.0,0.2,0.0029142135623730957,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
6.0,1.0,0.0,0.0,2.8,62.23319184940052,1998.460050506339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08282842712474615,0.0,0.2,0.0,0.27999999999999997,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
7.0,1.0,0.0,0.0,3.2,62.23319184940052,1998.1272077938645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12332842712474625,0.0,0.2,0.0,0.32000000000000006,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
8.0,1.0,0.0,0.0,3.4,62.23319184940052,1997.8772077938645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3425,0.0,0.0,0.0,0.34,0.0025,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
9.0,0.0,0.0,0.0,3.9,62.23319184940052,1997.5357864376274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3934142135623731,0.0,0.0,0.0,0.39,0.0034142135623730957,0.0,0.0,0.0,0,random,scenario_3b_mobile_chase_uav
