total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14,episode_id,policy_name,scenario_name
-1758.6746122171442,161.0,0.805,0.13349917081260365,0.5364842454394693,21.37933333333334,26.558178053830233,9.938271604938295,16.19999999999996,0.0,16.19999999999996,0.5030864197530864,0.0,0.1417959027378901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.5030864197530864,161.0,0.0,324.0,0.0,0.49691358024691357,0.0,0.0,76.0,0.0,324.0,0.0,0.0,0.0,0.0,157.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,77.0,0.0,0.0,0,backscatter_only,scenario_4_backscatter_types_calibrated
-1701.3987394085964,173.0,0.865,0.14416666666666667,0.5275,20.824666666666662,24.074759152215794,10.880503144654115,15.89999999999996,0.0,15.89999999999996,0.5,0.0,0.17479340049642283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.5,173.0,0.0,352.0,0.0,0.4914772727272727,0.0,2.5,82.0,2.0,316.0,0.0,0.0,0.0,0.0,167.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,25.0,0.0,65.0,0.0,1,backscatter_only,scenario_4_backscatter_types_calibrated
-1800.2120966839689,159.0,0.795,0.12812248186946013,0.5398871877518131,21.636666666666642,27.21593291404609,10.01080240347148,15.882842712474579,0.0,15.882842712474579,0.48717948717948717,0.0,0.13941599801472412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.48717948717948717,159.0,0.0,312.0,0.0,0.5096153846153846,0.0,0.0,88.0,0.0,312.0,0.0,0.0,0.0,0.0,155.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,4.0,2,backscatter_only,scenario_4_backscatter_types_calibrated
-1649.323752961739,158.0,0.79,0.1369150779896014,0.5173310225303293,21.09433333333334,26.701687763713085,10.063694267515949,15.69999999999996,0.0,15.69999999999996,0.5096153846153846,0.0,0.18628460562644578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.5096153846153846,158.0,0.0,458.0,0.0,0.34497816593886466,0.0,2.0,86.0,2.0,312.0,0.0,0.0,0.0,0.0,146.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,10.0,15.0,69.0,0.0,0.0,0.0,0.0,2.0,3,backscatter_only,scenario_4_backscatter_types_calibrated
-2247.310932606448,13.0,0.065,0.0109151973131822,0.6112510495382032,23.928,368.12307692307695,0.8501498779704598,15.291421356237272,0.0,15.291421356237272,0.966996699669967,0.0,0.16815920398009934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.966996699669967,13.0,0.0,448.0,0.0,0.029017857142857144,0.0,0.0,97.0,0.0,303.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,4,backscatter_only,scenario_4_backscatter_types_calibrated
-1783.779810309851,205.0,1.025,0.1594090202177294,0.536547433903577,21.08266666666665,20.568455284552833,13.39869281045755,15.299999999999962,0.0,15.299999999999962,0.5098684210526315,0.0,0.19795567488636095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.5098684210526315,205.0,0.0,413.0,0.0,0.4963680387409201,0.0,2.5,94.0,2.0,304.0,0.0,0.0,0.0,0.0,197.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,86.0,0.0,0.0,68.0,0.0,0.0,0.0,46.0,5,backscatter_only,scenario_4_backscatter_types_calibrated
-1702.3454085737899,191.0,0.955,0.1556642216788916,0.5207823960880196,20.90433333333333,21.88935427574171,12.165605095541432,15.69999999999996,0.0,15.69999999999996,0.5191082802547771,0.0,0.15470177893687848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.5191082802547771,191.0,0.0,511.0,0.0,0.37377690802348335,0.0,0.0,86.0,0.0,314.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6,backscatter_only,scenario_4_backscatter_types_calibrated
-1543.0259910815207,211.0,1.055,0.18065068493150685,0.4974315068493151,19.941333333333343,18.90173775671407,13.52564102564106,15.59999999999996,0.0,15.59999999999996,0.5193548387096775,0.0,0.2206905098272486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.5193548387096775,211.0,0.0,532.0,0.0,0.3966165413533835,0.0,2.0,88.0,2.0,310.0,0.0,0.0,0.0,0.0,205.0,6.0,0.0,10.0,0.0,0.0,0.0,63.0,0.0,76.0,0.0,0.0,60.0,0.0,0.0,2.0,0.0,7,backscatter_only,scenario_4_backscatter_types_calibrated
-1633.0842174910968,197.0,0.985,0.16375727348295926,0.5095594347464671,20.67133333333335,20.98612521150594,12.389937106918271,15.89999999999996,0.0,15.89999999999996,0.5031645569620253,0.0,0.18856254403226197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.5031645569620253,197.0,0.0,507.0,0.0,0.388560157790927,0.0,2.0,82.0,2.0,316.0,0.0,0.0,0.0,0.0,185.0,12.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,12.0,76.0,0.0,0.0,0.0,24.0,0.0,0.0,8,backscatter_only,scenario_4_backscatter_types_calibrated
-1593.909830331431,180.0,0.9,0.15570934256055363,0.5077854671280276,20.738333333333326,23.042592592592584,11.842105263157924,15.199999999999962,0.0,15.199999999999962,0.5033112582781457,0.0,0.17830609212481427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.5033112582781457,180.0,0.0,473.0,0.0,0.38054968287526425,0.0,2.5,96.0,2.0,302.0,0.0,0.0,0.0,0.0,175.0,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,68.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,9,backscatter_only,scenario_4_backscatter_types_calibrated
-2269.6713370173643,12.0,0.06,0.010084033613445379,0.611764705882353,23.90666666666667,398.4444444444445,0.7320902647306881,16.391421356237274,0.0,16.391421356237274,0.9628482972136223,0.0,0.09230769230769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.9628482972136223,12.0,0.0,323.0,0.0,0.03715170278637771,0.0,2.0,75.0,2.0,323.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,10,backscatter_only,scenario_4_backscatter_types_calibrated
-1665.2356438208783,164.0,0.82,0.14065180102915953,0.5188679245283019,21.09299999999999,25.723170731707306,10.123456790123482,16.19999999999996,0.0,16.19999999999996,0.5030864197530864,0.0,0.15638118495261352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.5030864197530864,164.0,0.0,327.0,0.0,0.5015290519877675,0.0,0.0,76.0,0.0,324.0,0.0,0.0,0.0,0.0,155.0,9.0,0.0,2.0,0.0,86.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,63.0,11,backscatter_only,scenario_4_backscatter_types_calibrated
