total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14,episode_id,policy_name,scenario_name
-2342.2289469696548,10.0,0.05,0.008417508417508417,0.6127946127946128,23.968666666666667,479.37333333333333,0.17350407504372298,20.635533905932775,37.0,57.635533905932775,0.9736842105263158,10.0,0.2222222222222217,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,333.0,0.9736842105263158,10.0,0.0,363.0,60.0,0.027548209366391185,0.0,0.0,57.0,0.0,310.0,33.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,0,greedy_sinr,scenario_4_backscatter_types_calibrated
-1771.8983569049044,150.0,0.75,0.12386457473162675,0.5061932287365813,21.828333333333347,29.104444444444464,2.684740562378541,19.871320343559663,36.0,55.87132034355966,0.6543909348441926,0.0,0.37859666834931854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.6543909348441926,124.0,26.0,434.0,66.0,0.2857142857142857,0.3939393939393939,2.5,45.0,2.0,320.0,33.0,0.0,0.0,0.0,139.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,14.0,0.0,12.0,36.0,34.0,0.0,1,greedy_sinr,scenario_4_backscatter_types_calibrated
-1763.8256198058998,183.0,0.915,0.14616613418530353,0.5287539936102237,20.80966666666664,22.74280510018212,3.470984603480518,18.722792206135793,34.0,52.72279220613579,0.501432664756447,0.0,0.19917923097510928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.501432664756447,161.0,22.0,319.0,58.0,0.5047021943573667,0.3793103448275862,0.0,51.0,0.0,318.0,31.0,0.0,0.0,0.0,181.0,2.0,66.0,2.0,0.0,0.0,0.0,0.0,78.0,4.0,0.0,0.0,0.0,27.0,4.0,0.0,2.0,2,greedy_sinr,scenario_4_backscatter_types_calibrated
-2200.768649732523,21.0,0.105,0.018150388936905792,0.5929127052722558,23.84,227.04761904761907,0.37630608505086255,19.805634918610426,36.0,55.80563491861042,0.9476584022038568,0.0,0.3721518987341769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.9476584022038568,14.0,7.0,331.0,63.0,0.04229607250755287,0.1111111111111111,2.0,35.0,2.0,331.0,32.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,7.0,0.0,0.0,2.0,0.0,3.0,3,greedy_sinr,scenario_4_backscatter_types_calibrated
-2295.6802563464767,22.0,0.11,0.018136850783182192,0.6108821104699094,23.667666666666676,215.16060606060614,0.38586869177687017,19.014213562373108,38.0,57.01421356237311,0.9375,0.0,0.164625850340136,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.9375,14.0,8.0,381.0,64.0,0.03674540682414698,0.125,0.0,48.0,0.0,319.0,33.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,4,greedy_sinr,scenario_4_backscatter_types_calibrated
-1695.3005006470942,252.0,1.26,0.19489559164733178,0.5127610208816705,20.55366666666667,16.312433862433863,4.437519907419731,19.78847763108504,37.0,56.788477631085044,0.5070028011204482,0.0,0.2601450165908812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.5070028011204482,220.0,32.0,511.0,62.0,0.43052837573385516,0.5161290322580645,2.5,41.0,2.0,324.0,33.0,0.0,0.0,0.0,245.0,7.0,2.0,2.0,0.0,6.0,0.0,0.0,13.0,72.0,0.0,0.0,62.0,0.0,12.0,0.0,83.0,5,greedy_sinr,scenario_4_backscatter_types_calibrated
-1846.4497606177217,140.0,0.7,0.11560693641618497,0.5383980181668043,21.191,30.272857142857145,2.5716408869244303,18.439949493661167,36.0,54.43994949366117,0.6532951289398281,0.0,0.22520969780535446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.6532951289398281,116.0,24.0,509.0,60.0,0.22789783889980353,0.4,0.0,51.0,0.0,318.0,31.0,0.0,0.0,0.0,132.0,8.0,0.0,0.0,0.0,8.0,68.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,8.0,8.0,21.0,6,greedy_sinr,scenario_4_backscatter_types_calibrated
-1478.176302670353,236.0,1.18,0.20050977060322855,0.46813933729821583,19.797000000000004,16.7771186440678,4.100485307556852,20.554163056034298,37.0,57.5541630560343,0.5152354570637119,0.0,0.2448283441030375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.5152354570637119,198.0,38.0,458.0,66.0,0.43231441048034935,0.5757575757575758,2.0,37.0,2.0,328.0,33.0,0.0,0.0,0.0,234.0,2.0,21.0,0.0,0.0,0.0,0.0,89.0,14.0,78.0,0.0,0.0,18.0,0.0,14.0,2.0,0.0,7,greedy_sinr,scenario_4_backscatter_types_calibrated
-2037.993482393622,91.0,0.455,0.07595993322203673,0.5701168614357263,23.08766666666665,50.7421245421245,1.6816284301186712,19.11421356237311,35.0,54.11421356237311,0.7613636363636364,0.0,0.1240320527222347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.7613636363636364,83.0,8.0,439.0,59.0,0.18906605922551253,0.13559322033898305,2.0,46.0,2.0,322.0,30.0,0.0,0.0,0.0,87.0,4.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,65.0,0.0,0.0,8,greedy_sinr,scenario_4_backscatter_types_calibrated
-1833.498532801735,119.0,0.595,0.10127659574468086,0.5157446808510638,22.02833333333334,37.02240896358545,2.1387510427836958,19.63994949366118,36.0,55.63994949366118,0.7250673854447439,0.0,0.26057594994939737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.7250673854447439,95.0,24.0,510.0,66.0,0.18627450980392157,0.36363636363636365,2.5,27.0,2.0,338.0,33.0,0.0,0.0,0.0,112.0,7.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,10.0,0.0,0.0,9,greedy_sinr,scenario_4_backscatter_types_calibrated
-2309.9454964342785,16.0,0.08,0.013322231473771857,0.6119900083263947,23.805333333333337,297.5666666666667,0.28743021626082116,18.66568542494924,37.0,55.66568542494924,0.9527777777777777,0.0,0.0853333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.9527777777777777,8.0,8.0,325.0,70.0,0.024615384615384615,0.11428571428571428,2.0,38.0,2.0,325.0,35.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10,greedy_sinr,scenario_4_backscatter_types_calibrated
-1979.1535438261824,64.0,0.32,0.0557006092254134,0.5526544821583986,22.510666666666676,70.34583333333336,1.221774090254916,17.3828427124746,35.0,52.3828427124746,0.847953216374269,0.0,0.19532665712923222,2.0,2.0,0.005,0.0,0.0,1.0,1.0,0.0,290.0,0.847953216374269,40.0,24.0,313.0,57.0,0.12779552715654952,0.42105263157894735,0.0,56.0,0.0,310.0,34.0,0.0,0.0,0.0,56.0,8.0,2.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,7.0,11,greedy_sinr,scenario_4_backscatter_types_calibrated
-2408.9533795825255,42.0,0.21,0.03526448362720403,0.5869017632241813,22.808333333333334,108.61111111111111,0.7932672850101801,20.9455844122716,32.0,52.9455844122716,0.9043715846994536,47.0,0.2613333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.9043715846994536,30.0,12.0,423.0,58.0,0.07092198581560284,0.20689655172413793,2.0,32.0,2.0,336.0,30.0,0.0,0.0,0.0,38.0,4.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,12,greedy_sinr,scenario_4_backscatter_types_calibrated
-1994.1282152148208,102.0,0.51,0.08340147179067865,0.5486508585445625,22.386333333333333,43.894771241830064,2.0421022160926636,17.94852813742385,32.0,49.94852813742385,0.8099415204678363,0.0,0.25861297539149886,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.8099415204678363,84.0,18.0,555.0,59.0,0.15135135135135136,0.3050847457627119,0.0,58.0,0.0,312.0,30.0,0.0,0.0,0.0,99.0,3.0,1.0,0.0,0.0,8.0,41.0,0.0,14.0,16.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,13,greedy_sinr,scenario_4_backscatter_types_calibrated
-1478.4192722180262,238.0,1.19,0.1975103734439834,0.45394190871369294,20.776333333333323,17.459103641456576,3.595020016701647,21.202691193458172,45.0,66.20269119345818,0.49859943977591037,0.0,0.3657755391966938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.49859943977591037,197.0,41.0,399.0,72.0,0.49373433583959897,0.5694444444444444,2.5,41.0,2.0,320.0,37.0,0.0,0.0,0.0,235.0,3.0,12.0,34.0,2.0,14.0,2.0,37.0,0.0,55.0,1.0,0.0,0.0,65.0,14.0,2.0,0.0,14,greedy_sinr,scenario_4_backscatter_types_calibrated
-2279.9096975099674,39.0,0.195,0.031426269137792104,0.6059629331184528,23.404,120.02051282051282,0.6712083601030328,20.104163056034295,38.0,58.104163056034295,0.8892045454545454,0.0,0.1721561969439728,1.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,313.0,0.8892045454545454,36.0,3.0,348.0,66.0,0.10344827586206896,0.045454545454545456,2.5,45.0,2.0,318.0,35.0,0.0,0.0,0.0,38.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,15,greedy_sinr,scenario_4_backscatter_types_calibrated
-2156.7767532769226,69.0,0.345,0.056051990251827784,0.578391551584078,23.150000000000006,67.10144927536234,1.3214420042263972,18.215685424949235,34.0,52.215685424949235,0.8725212464589235,0.0,0.21117764471057884,3.0,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,308.0,0.8725212464589235,62.0,7.0,520.0,60.0,0.11923076923076924,0.11666666666666667,0.0,46.0,0.0,322.0,32.0,0.0,0.0,0.0,58.0,11.0,0.0,2.0,0.0,17.0,33.0,0.0,0.0,6.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,16,greedy_sinr,scenario_4_backscatter_types_calibrated
-2065.5455327208338,105.0,0.525,0.08306962025316456,0.5609177215189873,22.803999999999988,43.436190476190454,1.8183208477094623,20.7455844122716,37.0,57.7455844122716,0.7348066298342542,0.0,0.2100600171477565,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.7348066298342542,91.0,14.0,330.0,68.0,0.27575757575757576,0.20588235294117646,2.5,36.0,2.0,328.0,34.0,0.0,0.0,0.0,98.0,7.0,4.0,6.0,0.0,0.0,0.0,21.0,52.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,17,greedy_sinr,scenario_4_backscatter_types_calibrated
-2356.735843475776,15.0,0.075,0.012244897959183673,0.6204081632653061,23.928333333333338,319.04444444444454,0.28805015813968143,18.07426406871192,34.0,52.07426406871192,0.9631728045325779,0.0,0.19999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.9631728045325779,11.0,4.0,325.0,60.0,0.033846153846153845,0.06666666666666667,0.0,47.0,0.0,323.0,30.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,18,greedy_sinr,scenario_4_backscatter_types_calibrated
-2312.241671303896,97.0,0.485,0.07976973684210527,0.5501644736842105,22.611000000000008,46.62061855670105,1.7486977638537098,20.469848480983533,35.0,55.46984848098353,0.8074712643678161,61.0,0.1901384257855916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.8074712643678161,82.0,15.0,400.0,59.0,0.205,0.2542372881355932,0.0,52.0,0.0,318.0,30.0,0.0,0.0,0.0,89.0,8.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,27.0,0.0,10.0,8.0,0.0,2.0,19,greedy_sinr,scenario_4_backscatter_types_calibrated
-1943.151796619436,100.0,0.5,0.08278145695364239,0.5447019867549668,22.03066666666666,44.06133333333332,1.9567313889996196,18.105634918610402,33.0,51.105634918610406,0.7750759878419453,0.0,0.24455857177794083,4.0,2.0,0.005,0.0,0.0,1.0,1.0,0.0,255.0,0.7750759878419453,80.0,20.0,435.0,60.0,0.1839080459770115,0.3333333333333333,2.0,67.0,2.0,298.0,33.0,0.0,0.0,0.0,93.0,7.0,0.0,0.0,0.0,2.0,36.0,6.0,0.0,7.0,0.0,10.0,0.0,0.0,35.0,4.0,0.0,20,greedy_sinr,scenario_4_backscatter_types_calibrated
-2085.9946070798583,86.0,0.43,0.06963562753036437,0.5659919028340081,23.34633333333335,54.293798449612446,1.5653454506710545,17.93994949366116,37.0,54.93994949366116,0.8219584569732937,0.0,0.32524186455584875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.8219584569732937,68.0,18.0,534.0,62.0,0.12734082397003746,0.2903225806451613,2.5,61.0,2.0,304.0,33.0,0.0,0.0,0.0,78.0,8.0,0.0,26.0,0.0,12.0,16.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,21,greedy_sinr,scenario_4_backscatter_types_calibrated
-2094.4430913497217,62.0,0.31,0.051580698835274545,0.5748752079866889,22.745333333333328,73.37204301075268,1.1018046070620768,19.27132034355966,37.0,56.27132034355966,0.8387096774193549,0.0,0.19443601416287304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.8387096774193549,42.0,20.0,310.0,57.0,0.13548387096774195,0.3508771929824561,2.5,57.0,2.0,310.0,31.0,0.0,0.0,0.0,60.0,2.0,29.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,22,greedy_sinr,scenario_4_backscatter_types_calibrated
-2227.660806630523,43.0,0.215,0.03521703521703522,0.5962325962325963,23.888000000000005,111.10697674418607,0.8795528534244861,18.88847763108503,30.0,48.88847763108503,0.9026548672566371,0.0,0.2697301239970824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.9026548672566371,28.0,15.0,434.0,50.0,0.06451612903225806,0.3,2.5,59.0,2.0,312.0,27.0,0.0,0.0,0.0,35.0,8.0,0.0,0.0,15.0,12.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23,greedy_sinr,scenario_4_backscatter_types_calibrated
-1915.7917434298197,118.0,0.59,0.097119341563786,0.5325102880658437,21.877000000000006,37.07966101694917,1.9379692938776667,19.88847763108505,41.0,60.88847763108505,0.766016713091922,0.0,0.42425350396099937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.766016713091922,93.0,25.0,364.0,71.0,0.2554945054945055,0.352112676056338,2.0,39.0,2.0,322.0,37.0,0.0,0.0,0.0,111.0,7.0,0.0,2.0,7.0,2.0,3.0,9.0,16.0,26.0,0.0,12.0,0.0,7.0,0.0,30.0,4.0,24,greedy_sinr,scenario_4_backscatter_types_calibrated
-2155.526420093093,46.0,0.23,0.038397328881469114,0.5859766277128547,23.760333333333342,103.30579710144931,0.948511178478625,18.497056274847715,30.0,48.497056274847715,0.8712574850299402,0.0,0.22679528403001067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.8712574850299402,36.0,10.0,361.0,55.0,0.0997229916897507,0.18181818181818182,2.5,64.0,2.0,306.0,28.0,0.0,0.0,0.0,42.0,4.0,2.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,6.0,2.0,25,greedy_sinr,scenario_4_backscatter_types_calibrated
