total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14,episode_id,policy_name,scenario_name
-1876.7195936464227,41.0,0.205,0.03471634208298052,0.584250635055038,23.356000000000005,113.9317073170732,0.16936351019595514,20.082842712474637,222.0,242.08284271247464,0.4625,0.0,0.13076623881758068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.4625,0.0,41.0,0.0,90.0,0.0,0.45555555555555555,220.78232374038,4.0,316.0,0.0,80.0,0.0,0.0,0.0,36.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,8.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types_calibrated
-1839.2878675037146,77.0,0.385,0.06443514644351464,0.5799163179916318,22.530333333333328,58.520346320346306,0.34841628959276016,20.000000000000014,201.0,221.0,0.5,0.0,0.08704396975702855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.5,0.0,77.0,0.0,133.0,0.0,0.5789473684210527,198.84455023588555,0.0,312.0,0.0,88.0,0.0,0.0,0.0,77.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,67.0,0.0,1,htt_only,scenario_4_backscatter_types_calibrated
-2007.3522391699294,42.0,0.21,0.03378921962992759,0.6041834271922768,23.832333333333334,113.4873015873016,0.19099590723055934,19.900000000000013,200.0,219.9,0.4864864864864865,0.0,0.11713147410358564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.4864864864864865,0.0,42.0,0.0,84.0,0.0,0.5,198.51127912328258,2.0,324.0,0.0,74.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,2,htt_only,scenario_4_backscatter_types_calibrated
-1839.2692788051208,37.0,0.185,0.03237095363079615,0.573928258967629,23.86633333333332,129.00720720720713,0.2367632330281302,20.27426406871195,136.0,156.27426406871194,0.684931506849315,0.0,0.0786103933390755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.684931506849315,0.0,37.0,0.0,114.0,0.0,0.32456140350877194,146.66742701220753,3.0,324.0,0.0,73.0,0.0,0.0,0.0,35.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3,htt_only,scenario_4_backscatter_types_calibrated
-1846.756795377126,82.0,0.41,0.06816292601828762,0.5810473815461347,22.704000000000015,55.3756097560976,0.5620287868403016,19.900000000000013,126.0,145.9,0.5,0.0,0.08091456077015644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.5,0.0,82.0,0.0,166.0,0.0,0.4939759036144578,138.96206652620234,2.0,314.0,0.0,84.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,4,htt_only,scenario_4_backscatter_types_calibrated
-2010.8088514434735,84.0,0.42,0.06496519721577726,0.5993812838360402,23.16100000000003,55.14523809523817,0.3620689655172414,20.000000000000014,212.0,232.0,0.5106382978723404,0.0,0.08509406657018813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.5106382978723404,0.0,84.0,0.0,147.0,0.0,0.5714285714285714,209.7839880868587,0.0,306.0,0.0,94.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5,htt_only,scenario_4_backscatter_types_calibrated
-1946.9427685683968,39.0,0.195,0.03228476821192053,0.5951986754966887,23.66900000000001,121.37948717948723,0.19412643106022898,19.900000000000013,181.0,200.9,0.5131578947368421,0.0,0.09013333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.5131578947368421,0.0,39.0,0.0,118.0,0.0,0.3305084745762712,185.99111828464945,2.0,322.0,0.0,76.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6,htt_only,scenario_4_backscatter_types_calibrated
-1736.1045536328422,78.0,0.39,0.06806282722513089,0.5567190226876091,23.068000000000026,59.148717948718016,0.42391304347826086,20.000000000000014,164.0,184.0,0.5121951219512195,0.0,0.07017301038062283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.5121951219512195,0.0,78.0,0.0,163.0,0.0,0.4785276073619632,162.9486128503219,0.0,318.0,0.0,82.0,0.0,0.0,0.0,76.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,htt_only,scenario_4_backscatter_types_calibrated
-1910.386418599337,51.0,0.255,0.04232365145228216,0.5908713692946058,23.186,90.92549019607843,0.2863697735220182,20.091421356237326,158.0,178.09142135623733,0.46835443037974683,0.0,0.07496757457846952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.46835443037974683,0.0,51.0,0.0,157.0,0.0,0.3248407643312102,171.8934387736498,1.0,320.0,0.0,79.0,0.0,0.0,0.0,48.0,3.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,htt_only,scenario_4_backscatter_types_calibrated
-1846.7927230167065,62.0,0.31,0.05218855218855219,0.5715488215488216,23.921666666666678,77.1666666666667,0.2594142259414226,20.000000000000014,219.0,239.0,0.44565217391304346,0.0,0.14205469327420547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.44565217391304346,0.0,62.0,0.0,144.0,0.0,0.4305555555555556,221.142051954096,0.0,308.0,0.0,92.0,0.0,0.0,0.0,52.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9,htt_only,scenario_4_backscatter_types_calibrated
-1791.1391929475005,86.0,0.43,0.07257383966244725,0.570464135021097,22.260666666666676,51.76899224806204,0.7747747747747746,20.000000000000014,91.0,111.00000000000001,0.4888888888888889,0.0,0.07680166147455868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.4888888888888889,0.0,86.0,0.0,178.0,0.0,0.48314606741573035,106.7025340516574,0.0,310.0,0.0,90.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,80.0,0.0,0.0,10,htt_only,scenario_4_backscatter_types_calibrated
