total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,invalid_action_rate,out_of_coverage_action_count,out_of_coverage_action_rate,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,jammed_transmission_rate,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14,episode_id,policy_name,scenario_name
-1910.008823953813,29.0,0.145,0.024166666666666666,0.6008333333333333,23.810000000000016,164.20689655172427,0.488014422388925,52.4244732728172,7.0,59.4244732728172,0.25,0.0,0.6161172161172157,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,7.0,0.25,24.0,5.0,30.0,7.0,0.8,0.7142857142857143,38.30460314436071,95.0,33.0,26.0,4.0,131.0,111.0,0.0,0.0,29.0,2.0,0.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,6.0,0.0,2.0,2.0,1.0,0,random,scenario_4_backscatter_types_calibrated
-1941.636613284545,23.0,0.115,0.019246861924686193,0.605020920502092,24.100000000000012,209.56521739130446,0.3165673212019274,53.65437226013955,19.0,72.65437226013955,0.5714285714285714,0.0,0.3423948220064723,1.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,20.0,0.5714285714285714,15.0,8.0,38.0,18.0,0.39473684210526316,0.4444444444444444,46.50423651145176,102.0,44.0,25.0,11.0,117.0,101.0,0.0,21.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,7.0,0.0,1,random,scenario_4_backscatter_types_calibrated
-1943.8475238127605,33.0,0.165,0.026938775510204082,0.6057142857142858,23.493666666666677,142.38585858585864,0.49644215395569447,50.47300141024108,16.0,66.47300141024108,0.3055555555555556,0.0,0.45093167701863335,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,11.0,0.3055555555555556,20.0,13.0,28.0,20.0,0.7142857142857143,0.65,22.5,133.0,20.0,26.0,11.0,100.0,110.0,0.0,2.0,31.0,3.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,2.0,4.0,2,random,scenario_4_backscatter_types_calibrated
-1848.7750155329402,10.0,0.05,0.0088339222614841,0.5945229681978799,24.298000000000002,485.96000000000004,0.18058862520880908,50.3744732728172,5.0,55.3744732728172,0.7575757575757576,0.0,0.09803921568627441,3.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,25.0,0.7575757575757576,6.0,4.0,32.0,5.0,0.1875,0.8,26.507359814873467,110.0,30.0,31.0,3.0,102.0,124.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,random,scenario_4_backscatter_types_calibrated
-2041.8261874841041,12.0,0.06,0.009860312243221035,0.6203779786359901,24.02833333333334,400.47222222222234,0.17136505586319917,52.02594513539334,18.0,70.02594513539334,0.82,1.0,0.36923076923076825,0.0,2.0,0.005,2.0,0.005,0.0,0.0,0.0,41.0,0.82,9.0,3.0,52.0,12.0,0.17307692307692307,0.25,48.81289477620424,93.0,47.0,44.0,8.0,98.0,110.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4,random,scenario_4_backscatter_types_calibrated
-2158.72791440749,10.0,0.05,0.00782472613458529,0.6400625978090767,24.43333333333334,488.6666666666668,0.16302533629349947,52.340158697766434,9.0,61.340158697766434,0.8214285714285714,2.0,0.12820512820512803,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,23.0,0.8214285714285714,8.0,2.0,33.0,12.0,0.24242424242424243,0.16666666666666666,22.0,123.0,20.0,23.0,6.0,121.0,107.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5,random,scenario_4_backscatter_types_calibrated
-1969.072599856765,26.0,0.13,0.02139917695473251,0.6082304526748972,23.87166666666668,183.62820512820522,0.4204870889290258,50.8330519165799,11.0,61.8330519165799,0.6086956521739131,0.0,0.40969696969696945,0.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,28.0,0.6086956521739131,15.0,11.0,51.0,15.0,0.29411764705882354,0.7333333333333333,42.71391993191416,116.0,38.0,38.0,9.0,89.0,110.0,0.0,24.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,8.0,2.0,2.0,6,random,scenario_4_backscatter_types_calibrated
-1854.0037474001572,30.0,0.15,0.025619128949615714,0.5900939368061486,24.012000000000008,160.08000000000007,0.4311485881280126,52.58158005400376,17.0,69.58158005400375,0.375,0.0,0.5555555555555552,0.0,5.0,0.0125,5.0,0.0125,0.0,0.0,0.0,12.0,0.375,18.0,12.0,34.0,15.0,0.5294117647058824,0.8,38.5,107.0,37.0,25.0,9.0,103.0,119.0,0.0,28.0,2.0,3.0,2.0,1.0,4.0,4.0,0.0,0.0,6.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,7,random,scenario_4_backscatter_types_calibrated
-1969.9963833417835,30.0,0.15,0.024630541871921183,0.6059113300492611,23.84633333333334,158.97555555555562,0.43833913554293163,53.44015869776645,15.0,68.44015869776645,0.5862068965517241,0.0,0.5555555555555552,2.0,1.0,0.0025,1.0,0.0025,0.0,0.0,0.0,34.0,0.5862068965517241,26.0,4.0,57.0,11.0,0.45614035087719296,0.36363636363636365,45.95643326830108,97.0,39.0,51.0,8.0,106.0,99.0,0.0,30.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,5.0,6.0,1.0,4.0,0.0,1.0,8,random,scenario_4_backscatter_types_calibrated
-1939.4883344695597,12.0,0.06,0.010282776349614395,0.6041131105398457,24.072,401.2,0.1731027185188673,52.32300141024106,17.0,69.32300141024106,0.82,1.0,0.3199999999999993,0.0,3.0,0.0075,3.0,0.0075,0.0,0.0,0.0,41.0,0.82,9.0,3.0,50.0,20.0,0.18,0.15,38.32709320758853,106.0,36.0,40.0,11.0,103.0,104.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,9,random,scenario_4_backscatter_types_calibrated
