step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_uav_served_packets_uav_1,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,per_iot_delivered_packets_iot_5,per_iot_delivered_packets_iot_6,per_iot_delivered_packets_iot_7,per_iot_delivered_packets_iot_8,per_iot_delivered_packets_iot_9,per_iot_delivered_packets_iot_10,per_iot_delivered_packets_iot_11,per_iot_delivered_packets_iot_12,per_iot_delivered_packets_iot_13,per_iot_delivered_packets_iot_14,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,0.4,48.90877297961995,1999.8085786437628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041914213562373105,0.0,0.0,0.0,0.04000000000000001,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
1.0,1.0,0.0,0.0,0.5333333333333333,48.90877297961995,1999.5671572875253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055747546895706435,0.0,0.0,0.0,0.05333333333333334,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
2.0,1.0,0.0,0.0,0.8,48.90877297961995,1999.2757359312882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0829142135623731,0.0,0.0,0.0,0.08000000000000002,0.0029142135623730953,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
3.0,1.0,0.0,0.0,1.3333333333333333,48.90877297961995,1999.084314575051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13524754689570642,0.0,0.0,0.0,0.13333333333333333,0.0019142135623730955,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
4.0,0.0,0.0,0.0,1.5333333333333334,48.90877297961995,1998.9343145750508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15483333333333335,0.0,0.0,0.0,0.15333333333333335,0.0015000000000000002,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
5.0,1.0,0.0,0.0,1.8,48.90877297961995,1998.6428932188137,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9829142135623731,0.0,0.2,0.0,0.18000000000000002,0.0029142135623730953,1.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
6.0,0.0,0.0,0.0,2.0,48.90877297961995,1998.3100505063392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2033284271247462,0.0,0.0,0.0,0.2,0.0033284271247461905,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
7.0,1.0,0.0,0.0,2.466666666666667,48.90877297961995,1997.9272077938647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2504950937914129,0.0,0.0,0.0,0.2466666666666667,0.0038284271247461905,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
8.0,1.0,0.0,0.0,3.0,48.90877297961995,1997.6772077938647,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3025,0.0,0.0,0.0,0.30000000000000004,0.0025,1.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
9.0,1.0,0.0,0.0,3.3333333333333335,48.90877297961995,1997.4357864376275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33574754689570646,0.0,0.0,0.0,0.33333333333333337,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_4_backscatter_types_calibrated
