step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.6,35.192628673793216,2000.0,0.0,0.0,0.0,-0.45999999999999996,0.0,0.0,0.0,0.45999999999999996,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
1.0,1.0,0.0,6.0,8.8,35.192628673793216,2000.0,0.0,0.0,0.0,-12.88,0.0,0.0,12.0,0.8800000000000001,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
2.0,0.0,0.0,54.0,9.8,35.192628673793216,2000.0,0.0,0.0,0.0,-108.98,0.0,0.0,108.0,0.9800000000000001,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
3.0,1.0,0.0,74.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-149.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
4.0,0.0,0.0,73.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-147.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
5.0,1.0,0.0,68.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-137.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
6.0,1.0,0.0,71.0,10.0,35.192628673793216,1999.9,2.0,0.0,0.0,-145.001,0.0,0.0,142.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
7.0,0.0,0.0,73.0,10.0,35.192628673793216,1999.9,0.0,0.0,0.0,-147.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
8.0,1.0,0.0,86.0,10.0,35.192628673793216,1999.9,0.0,0.0,0.0,-173.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
9.0,1.0,0.0,68.0,10.0,35.192628673793216,1999.8000000000002,2.0,0.0,0.0,-139.001,0.0,0.0,136.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
10.0,0.0,0.0,78.0,10.0,35.192628673793216,1999.8000000000002,0.0,0.0,0.0,-157.0,0.0,0.0,156.0,1.0,0.0,0.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
11.0,0.0,0.0,73.0,10.0,32.192628673793216,1999.7000000000003,2.0,0.0,0.0,-149.001,0.0,0.0,146.0,1.0,0.001,2.0,0.0,0.0,0,greedy_sinr,scenario_4_backscatter_types
