step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.6,35.192628673793216,2000.0,0.0,0.0,0.0,-0.45999999999999996,0.0,0.0,0.0,0.45999999999999996,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
1.0,1.0,0.0,6.0,8.8,35.192628673793216,2000.0,0.0,0.0,0.0,-12.88,0.0,0.0,12.0,0.8800000000000001,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
2.0,0.0,0.0,54.0,9.8,35.192628673793216,2000.0,0.0,0.0,0.0,-108.98,0.0,0.0,108.0,0.9800000000000001,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
3.0,1.0,0.0,74.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-149.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
4.0,0.0,0.0,73.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-147.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
5.0,1.0,0.0,68.0,10.0,35.192628673793216,2000.0,0.0,0.0,0.0,-137.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
6.0,1.0,0.0,71.0,10.0,37.192628673793216,1999.9,0.0,0.0,0.0,-143.001,0.0,0.0,142.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
7.0,0.0,0.0,75.0,10.0,37.192628673793216,1999.9,0.0,0.0,0.0,-151.0,0.0,0.0,150.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
8.0,0.0,0.0,80.0,10.0,34.192628673793216,1999.8000000000002,2.0,0.0,0.0,-163.001,0.0,0.0,160.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
9.0,1.0,0.0,68.0,10.0,34.192628673793216,1999.8000000000002,0.0,0.0,0.0,-137.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
10.0,0.0,0.0,74.0,10.0,34.192628673793216,1999.8000000000002,0.0,0.0,0.0,-149.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
11.0,0.0,0.0,74.0,10.0,31.192628673793216,1999.7000000000003,2.0,0.0,0.0,-151.001,0.0,0.0,148.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
12.0,0.0,0.0,78.0,10.0,29.942628673793216,1999.508578643763,1.0,0.0,0.0,-158.00191421356237,0.0,0.0,156.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
13.0,1.0,0.0,57.0,10.0,29.942628673793216,1999.3671572875257,0.0,0.0,0.0,-115.00141421356237,0.0,0.0,114.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
14.0,0.0,0.0,66.0,10.0,29.942628673793216,1999.3671572875257,0.0,0.0,0.0,-133.0,0.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
15.0,0.0,0.0,83.0,10.0,28.692628673793216,1999.1757359312885,1.0,0.0,0.0,-168.00191421356237,0.0,0.0,166.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
16.0,0.0,0.0,72.0,10.0,28.692628673793216,1998.892893218814,0.0,0.0,0.0,-145.00282842712474,0.0,0.0,144.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
17.0,0.0,0.0,77.0,10.0,27.442628673793216,1998.7014718625767,1.0,0.0,0.0,-156.00191421356237,0.0,0.0,154.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
18.0,1.0,0.0,79.0,10.0,27.442628673793216,1998.5600505063394,0.0,0.0,0.0,-159.00141421356238,0.0,0.0,158.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
19.0,0.0,0.0,76.0,10.0,27.442628673793216,1998.5600505063394,0.0,0.0,0.0,-153.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
20.0,1.0,0.0,82.0,10.0,27.442628673793216,1998.418629150102,0.0,0.0,0.0,-165.00141421356238,0.0,0.0,164.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
21.0,1.0,0.0,74.0,10.0,29.442628673793216,1998.3186291501022,0.0,0.0,0.0,-149.001,0.0,0.0,148.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
22.0,0.0,0.0,79.0,10.0,29.442628673793216,1998.3186291501022,0.0,0.0,0.0,-159.0,0.0,0.0,158.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
23.0,0.0,0.0,68.0,10.0,26.942628673793216,1998.2186291501023,2.0,0.0,0.0,-139.001,0.0,0.0,136.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
24.0,0.0,0.0,75.0,10.0,25.692628673793216,1998.027207793865,1.0,0.0,0.0,-152.00191421356237,0.0,0.0,150.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
25.0,1.0,0.0,82.0,10.0,25.692628673793216,1997.7443650813905,0.0,0.0,0.0,-165.00282842712474,0.0,0.0,164.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
26.0,1.0,0.0,65.0,10.0,27.692628673793216,1997.6443650813906,0.0,0.0,0.0,-131.001,0.0,0.0,130.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
27.0,1.0,0.0,83.0,10.0,29.692628673793216,1997.5443650813907,0.0,0.0,0.0,-167.001,0.0,0.0,166.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
28.0,0.0,0.0,67.0,10.0,29.692628673793216,1997.5443650813907,0.0,0.0,0.0,-135.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
29.0,0.0,0.0,77.0,10.0,27.192628673793216,1997.4443650813907,2.0,0.0,0.0,-157.001,0.0,0.0,154.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
30.0,1.0,0.0,78.0,10.0,27.192628673793216,1997.4443650813907,0.0,0.0,0.0,-157.0,0.0,0.0,156.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
31.0,0.0,0.0,70.0,10.0,27.192628673793216,1997.4443650813907,0.0,0.0,0.0,-141.0,0.0,0.0,140.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
32.0,0.0,0.0,82.0,10.0,25.192628673793216,1997.3443650813908,2.0,0.0,0.0,-167.001,0.0,0.0,164.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
33.0,1.0,0.0,75.0,10.0,25.192628673793216,1997.0615223689163,0.0,1.0,0.0,-156.00282842712474,0.0,0.0,150.0,1.0,0.0028284271247461905,0.0,5.0,0.0,0,htt_only,scenario_4_backscatter_types
34.0,0.0,0.0,85.0,10.0,25.192628673793216,1997.0615223689163,0.0,1.0,0.0,-176.0,0.0,0.0,170.0,1.0,0.0,0.0,5.0,0.0,0,htt_only,scenario_4_backscatter_types
35.0,1.0,0.0,78.0,10.0,25.192628673793216,1996.920101012679,0.0,0.0,0.0,-157.00141421356238,0.0,0.0,156.0,1.0,0.0014142135623730952,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
36.0,1.0,0.0,74.0,10.0,27.192628673793216,1996.820101012679,0.0,0.0,0.0,-149.001,0.0,0.0,148.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
37.0,0.0,0.0,76.0,10.0,27.192628673793216,1996.820101012679,0.0,0.0,0.0,-153.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
38.0,0.0,0.0,70.0,10.0,24.692628673793216,1996.7201010126792,2.0,0.0,0.0,-143.001,0.0,0.0,140.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
39.0,1.0,0.0,80.0,10.0,24.692628673793216,1996.7201010126792,0.0,0.0,0.0,-161.0,0.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
40.0,1.0,0.0,84.0,10.0,26.692628673793216,1996.6201010126792,0.0,0.0,0.0,-169.001,0.0,0.0,168.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
41.0,1.0,0.0,65.0,10.0,28.692628673793216,1996.5201010126793,0.0,0.0,0.0,-131.001,0.0,0.0,130.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
42.0,1.0,0.0,64.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-129.001,0.0,0.0,128.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
43.0,0.0,0.0,66.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-133.0,0.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
44.0,1.0,0.0,68.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-137.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
45.0,0.0,0.0,67.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-135.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
46.0,1.0,0.0,76.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-153.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
47.0,0.0,0.0,73.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-147.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
48.0,1.0,0.0,77.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-155.0,0.0,0.0,154.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
49.0,0.0,0.0,82.0,10.0,30.692628673793216,1996.4201010126794,0.0,0.0,0.0,-165.0,0.0,0.0,164.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
50.0,0.0,0.0,80.0,10.0,28.192628673793216,1996.3201010126795,2.0,0.0,0.0,-163.001,0.0,0.0,160.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
51.0,0.0,0.0,73.0,10.0,25.692628673793216,1996.2201010126796,2.0,0.0,0.0,-149.001,0.0,0.0,146.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
52.0,1.0,0.0,75.0,10.0,25.692628673793216,1996.2201010126796,0.0,0.0,0.0,-151.0,0.0,0.0,150.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
53.0,0.0,0.0,73.0,10.0,25.692628673793216,1996.2201010126796,0.0,0.0,0.0,-147.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
54.0,0.0,0.0,74.0,10.0,23.692628673793216,1996.1201010126797,2.0,0.0,0.0,-151.001,0.0,0.0,148.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
55.0,0.0,0.0,75.0,10.0,21.442628673793216,1996.0201010126798,2.0,0.0,0.0,-153.001,0.0,0.0,150.0,1.0,0.001,2.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
56.0,1.0,0.0,72.0,10.0,21.442628673793216,1996.0201010126798,0.0,0.0,0.0,-145.0,0.0,0.0,144.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
57.0,0.0,0.0,76.0,10.0,21.442628673793216,1996.0201010126798,0.0,0.0,0.0,-153.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
58.0,1.0,0.0,76.0,10.0,21.442628673793216,1996.0201010126798,0.0,0.0,0.0,-153.0,0.0,0.0,152.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
59.0,0.0,0.0,83.0,10.0,21.442628673793216,1996.0201010126798,0.0,0.0,0.0,-167.0,0.0,0.0,166.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
60.0,1.0,0.0,74.0,10.0,21.442628673793216,1996.0201010126798,0.0,0.0,0.0,-149.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
61.0,1.0,0.0,77.0,10.0,23.442628673793216,1995.9201010126799,0.0,0.0,0.0,-155.001,0.0,0.0,154.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
62.0,0.0,0.0,80.0,10.0,23.442628673793216,1995.9201010126799,0.0,0.0,0.0,-161.0,0.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
63.0,1.0,0.0,85.0,10.0,23.442628673793216,1995.9201010126799,0.0,0.0,0.0,-171.0,0.0,0.0,170.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
64.0,1.0,0.0,74.0,10.0,25.442628673793216,1995.82010101268,0.0,0.0,0.0,-149.001,0.0,0.0,148.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
65.0,1.0,0.0,76.0,10.0,27.442628673793216,1995.72010101268,0.0,0.0,0.0,-153.001,0.0,0.0,152.0,1.0,0.001,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
66.0,0.0,0.0,84.0,10.0,27.442628673793216,1995.72010101268,0.0,0.0,0.0,-169.0,0.0,0.0,168.0,1.0,0.0,0.0,0.0,0.0,0,htt_only,scenario_4_backscatter_types
67.0,0.0,2.0,72.0,9.866666666666667,24.942628673793216,1995.6201010126802,1.0,0.0,0.0,-144.17433333333335,2.0,0.0,144.0,0.9866666666666668,0.001,1.0,0.0,0.1866666666666669,0,htt_only,scenario_4_backscatter_types
