total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,avg_delay_proxy,energy_efficiency,uav_energy_consumption,iot_energy_consumption,total_energy_consumption,jamming_failure_rate,collision_count,fairness_index,duplicate_target_count,invalid_action_count,episode_id,policy_name,scenario_name
-29937.891278054896,11.0,0.055,0.0007322593529490081,0.98928238583411,9.962333333333333,181.13333333333333,0.20267354682019972,47.774473272817225,6.5,54.274473272817225,0.5,0.0,0.29876543209876466,4.0,178.0,0,random,scenario_4_backscatter_types
-29815.04255586409,11.0,0.055,0.0007353432716090647,0.9892372484791764,9.965666666666667,181.19393939393942,0.1919574295319785,48.554372260139544,8.75,57.304372260139544,0.6,0.0,0.17925925925925898,2.0,166.0,1,random,scenario_4_backscatter_types
-29930.411279727585,18.0,0.09,0.001197445449707291,0.9888238424693986,9.964999999999998,110.7222222222222,0.31705211197012817,46.77300141024108,10.0,56.77300141024108,0.3125,0.0,0.2454545454545453,3.0,201.0,2,random,scenario_4_backscatter_types
-29482.476146693512,5.0,0.025,0.0003379748546708125,0.9895227795052048,9.970666666666666,398.82666666666665,0.10116445697661951,46.92447327281724,2.5,49.42447327281724,0.5,0.0,0.09803921568627413,2.0,170.0,3,random,scenario_4_backscatter_types
-29823.252426117997,2.0,0.01,0.00013393156097234312,0.989821201366102,9.967666666666666,996.7666666666667,0.029816948474792014,48.57594513539337,18.5,67.07594513539337,0.9722222222222222,1.0,0.06666666666666556,3.0,151.0,4,random,scenario_4_backscatter_types
-30542.752234920295,4.0,0.02,0.0002611989029646076,0.9899438422358626,9.967666666666666,498.3833333333333,0.08181605678000671,47.890158697766466,1.0,48.890158697766466,0.6,2.0,0.2666666666666622,2.0,187.0,5,random,scenario_4_backscatter_types
-29854.98052282684,6.0,0.03,0.0004008016032064128,0.9895791583166332,9.967333333333334,332.24444444444447,0.10853235832663101,47.28305191657995,8.0,55.28305191657995,0.7647058823529411,0.0,0.09230769230769206,5.0,167.0,6,random,scenario_4_backscatter_types
-29524.873295892372,16.0,0.08,0.0010791124300263033,0.9888042085384771,9.964333333333332,124.55416666666665,0.28606379409541915,48.43158005400381,7.5,55.93158005400381,0.43478260869565216,0.0,0.4063492063492057,1.0,181.0,7,random,scenario_4_backscatter_types
-29739.85627396398,11.0,0.055,0.00073711720163506,0.9892112845942505,9.968333333333332,181.24242424242422,0.1984121304552319,47.94015869776647,7.5,55.44015869776647,0.6,0.0,0.29876543209876466,5.0,171.0,8,random,scenario_4_backscatter_types
-29635.139063347415,4.0,0.02,0.00026910656620021526,0.9896393972012917,9.968,498.4,0.07438677208072302,47.77300141024107,6.0,53.77300141024107,0.8235294117647058,1.0,0.10666666666666597,3.0,175.0,9,random,scenario_4_backscatter_types
-29924.630756535822,9.0,0.045,0.0005995603224302178,0.9894077676370662,9.967666666666666,221.5037037037037,0.16960905895784126,45.813203435596435,7.25,53.063203435596435,0.5833333333333334,0.0,0.21599999999999941,3.0,181.0,10,random,scenario_4_backscatter_types
-29672.304087878485,1.0,0.005,6.724949562878279e-05,0.9898453261600538,9.974,1994.8,0.017120711400561994,46.40878784786798,12.0,58.40878784786798,0.9565217391304348,0.0,0.06666666666666222,6.0,176.0,11,random,scenario_4_backscatter_types
