step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
0.0,0.0,0.0,0.0,4.6,35.192628673793216,1999.8585786437627,0.0,0.0,0.0,-0.46141421356237305,0.0,0.0,0.0,0.45999999999999996,0.0014142135623730952,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
1.0,1.0,0.0,6.0,8.8,35.192628673793216,1999.6171572875255,0.0,0.0,0.0,-12.882414213562374,0.0,0.0,12.0,0.8800000000000001,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
2.0,0.0,0.0,54.0,9.8,33.942628673793216,1999.3257359312881,1.0,0.0,0.0,-109.98291421356238,0.0,0.0,108.0,0.9800000000000001,0.0029142135623730953,1.0,0.0,0.0,0,random,scenario_4_backscatter_types
3.0,1.0,0.0,77.0,10.0,33.942628673793216,1999.134314575051,1.0,0.0,0.0,-156.00191421356237,0.0,0.0,154.0,1.0,0.0019142135623730955,1.0,0.0,0.0,0,random,scenario_4_backscatter_types
4.0,1.0,0.0,73.0,10.0,33.942628673793216,1999.0343145750508,0.0,0.0,0.0,-147.001,0.0,0.0,146.0,1.0,0.001,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
5.0,1.0,0.0,73.0,10.0,33.942628673793216,1998.6928932188137,1.0,0.0,0.0,-148.00341421356237,0.0,0.0,146.0,1.0,0.0034142135623730957,1.0,0.0,0.0,0,random,scenario_4_backscatter_types
6.0,1.0,0.0,72.0,10.0,33.942628673793216,1998.410050506339,0.0,0.0,0.0,-144.80282842712475,0.0,0.2,144.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
7.0,1.0,0.0,72.0,10.0,33.942628673793216,1998.1272077938645,0.0,0.0,0.0,-145.00282842712474,0.0,0.0,144.0,1.0,0.0028284271247461905,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
8.0,1.0,0.0,85.0,10.0,33.942628673793216,1997.9272077938645,0.0,0.0,0.0,-170.80200000000002,0.0,0.2,170.0,1.0,0.002,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
9.0,1.0,0.0,71.0,10.0,33.942628673793216,1997.685786437627,0.0,0.0,0.0,-143.00241421356236,0.0,0.0,142.0,1.0,0.0024142135623730953,0.0,0.0,0.0,0,random,scenario_4_backscatter_types
10.0,1.0,0.0,79.0,10.0,33.942628673793216,1997.435786437627,1.0,0.0,0.0,-160.0025,0.0,0.0,158.0,1.0,0.0025,1.0,0.0,0.0,0,random,scenario_4_backscatter_types
