episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1983.1777847882192,9.0,0.6129848229342327,0.8,0.13170731707317052,1.0,400,0.0,0.0,52.0,29.0,11.0,0.0075,0.13157894736842105,0.19047619047619047
2,200,-2117.073324436364,8.0,0.6308562197092084,0.8888888888888888,0.3047619047619033,1.0,800,0.0,0.0,59.0,47.0,11.0,0.01,0.125,0.05555555555555555
3,200,-1854.0905818595372,12.0,0.5893333333333334,0.8,0.20869565217391273,1.0,1200,0.0,0.0,37.0,42.0,9.0,0.0025,0.19298245614035087,0.06666666666666667
4,200,-2071.005139321457,5.0,0.6195652173913043,0.9285714285714286,0.23809523809523583,1.0,1600,0.0,0.0,34.0,46.0,11.0,0.01,0.07142857142857142,0.05555555555555555
5,200,-2255.0671246028305,3.0,0.652073732718894,0.9555555555555556,0.11999999999999841,0.999962,2000,9.478788375854492,-0.0028846252243965864,56.0,39.0,6.0,0.0175,0.05660377358490566,0.0
6,200,-2002.5193104504137,25.0,0.6131921824104235,0.660377358490566,0.3501400560224088,0.992362,2400,4.365762695670128,-7.284753127372824,32.0,45.0,10.0,0.01,0.36507936507936506,0.1
7,200,-1838.109082488166,21.0,0.588646288209607,0.5483870967741935,0.3721518987341769,0.984762,2800,1.9357191628217698,-9.308253574371339,40.0,23.0,9.0,0.005,0.27586206896551724,0.8125
8,200,-1948.790473409217,19.0,0.6088407005838199,0.6470588235294118,0.2644688644688643,0.977162,3200,1.7682794833183288,-9.399348559379577,25.0,30.0,5.0,0.0025,0.4358974358974359,0.2222222222222222
9,200,-1816.8161167481005,47.0,0.5752136752136752,0.49206349206349204,0.4796959826275786,0.969562,3600,1.6597705441713333,-9.483149089813232,41.0,49.0,15.0,0.005,0.532258064516129,0.4827586206896552
10,200,-1955.1169884878432,18.0,0.6090225563909775,0.6388888888888888,0.17704918032786876,0.961962,4000,1.6058517372608185,-9.573212821483612,31.0,32.0,5.0,0.0025,0.4864864864864865,0.0
11,200,-1886.0201398392044,18.0,0.5948051948051948,0.7608695652173914,0.30857142857142833,0.954362,4400,1.8748593282699586,-9.956977140903472,37.0,40.0,7.0,0.0075,0.2711864406779661,0.14285714285714285
12,200,-1950.6634907014295,19.0,0.6075313807531381,0.5882352941176471,0.2587813620071683,0.946762,4800,2.2132716935873034,-11.390124406814575,43.0,27.0,8.0,0.0075,0.3142857142857143,0.5714285714285714
