episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1011.9968148077381,55.0,0.695049504950495,0.0,0.7405140758873927,1.0,200,0.0,0.0,11.0,19.0,20.0,0.02,1.0,1.0
2,200,-979.6911473083959,36.0,0.701098901098901,0.0,0.5122529644268773,1.0,400,0.0,0.0,24.0,11.0,14.0,0.01,1.0,1.0
3,200,-1130.089113280062,21.0,0.7599206349206349,0.0,0.3230769230769229,1.0,600,0.0,0.0,9.0,6.0,10.0,0.035,1.0,1.0
4,200,-962.1365326858304,57.0,0.6817248459958932,0.0,0.5775999999999999,1.0,800,0.0,0.0,20.0,19.0,19.0,0.0,1.0,1.0
5,200,-1037.6169916303734,55.0,0.7030651340996169,0.0,0.935085007727975,1.0,1000,0.0,0.0,15.0,22.0,20.0,0.015,1.0,1.0
6,200,-988.4639660615625,32.0,0.7124183006535948,0.0,0.6826666666666662,1.0,1200,0.0,0.0,27.0,12.0,10.0,0.0,1.0,1.0
7,200,-993.7781359363619,50.0,0.6954732510288066,0.0,0.943396226415094,1.0,1400,0.0,0.0,25.0,22.0,14.0,0.0,1.0,1.0
8,200,-1061.2186792777047,26.0,0.7418032786885246,0.0,0.5680672268907558,1.0,1600,0.0,0.0,22.0,8.0,9.0,0.01,1.0,1.0
9,200,-1020.5393242740217,53.0,0.70703125,0.0,0.7500667556742321,1.0,1800,0.0,0.0,24.0,20.0,17.0,0.005,1.0,1.0
10,200,-967.8003597296085,50.0,0.6877637130801688,0.0,0.5995203836930454,0.999962,2000,4.76094913482666,-0.007995327934622765,20.0,12.0,19.0,0.01,1.0,1.0
11,200,-1072.4008816039666,30.0,0.741869918699187,0.0,0.5660377358490563,0.992362,2200,2.093676251769066,-3.904751797383651,25.0,10.0,11.0,0.015,1.0,1.0
12,200,-985.0685939966435,37.0,0.7015250544662309,0.0,0.45557404326123113,0.984762,2400,1.3743024891614914,-4.777372376918793,10.0,16.0,12.0,0.01,1.0,0.9166666666666666
13,200,-953.8569348016514,63.0,0.6761710794297352,0.0,0.6732824427480915,0.977162,2600,1.2494337230920791,-4.773088929653167,15.0,20.0,22.0,0.005,1.0,1.0
14,200,-1058.067875178594,39.0,0.722,0.0,0.4644274809160304,0.969562,2800,1.1693358063697814,-4.819515230655671,13.0,17.0,13.0,0.015,1.0,1.0
15,200,-1064.561300706934,53.0,0.7123809523809523,0.0,0.5750255885363356,0.961962,3000,1.0827374666929246,-4.823720371723175,17.0,13.0,20.0,0.015,1.0,1.0
16,200,-1030.700753148983,51.0,0.7053045186640472,0.0,0.7941984732824425,0.954362,3200,1.2653662011027336,-6.107215631008148,27.0,18.0,18.0,0.015,1.0,1.0
17,200,-1013.301680560095,47.0,0.7058823529411765,0.0,0.5700645161290321,0.946762,3400,1.197500973343849,-6.212509450912475,16.0,17.0,16.0,0.005,1.0,1.0
18,200,-859.525733677707,90.0,0.6144329896907217,0.0,0.7699619771863117,0.939162,3600,1.2128199982643126,-6.206396963596344,23.0,25.0,33.0,0.0,1.0,1.0
19,200,-1046.2920833843311,58.0,0.6967370441458733,0.0,0.5780068728522336,0.931562,3800,1.2561309936642646,-6.523750185966492,20.0,22.0,18.0,0.005,1.0,1.0
20,200,-1079.1540238830514,34.0,0.7368421052631579,0.0,0.2249027237354085,0.923962,4000,1.3018577465415,-6.855311594009399,7.0,14.0,10.0,0.0,1.0,1.0
21,200,-1014.6007023313543,80.0,0.6763636363636364,0.0,0.9453471196454947,0.916362,4200,1.4203572908043862,-8.120348789691924,20.0,35.0,25.0,0.02,1.0,1.0
22,200,-912.7364159053858,61.0,0.655982905982906,0.0,0.7809024134312695,0.908762,4400,1.345782508254051,-8.061283552646637,10.0,19.0,23.0,0.015,1.0,1.0
23,200,-1010.9364068592155,67.0,0.6819047619047619,0.0,0.761492790500424,0.901162,4600,1.3488517835736276,-8.46639852285385,15.0,23.0,22.0,0.005,1.0,1.0
24,200,-980.108210997592,62.0,0.6826347305389222,0.0,0.5771771771771771,0.893562,4800,1.366206328868866,-8.631815240383148,15.0,18.0,22.0,0.0,1.0,1.0
25,200,-1009.854595397652,44.0,0.7024793388429752,0.0,0.5275204359673024,0.885962,5000,1.3804068958759308,-8.833113024234772,19.0,11.0,17.0,0.005,1.0,1.0
26,200,-1026.439910816607,36.0,0.7175732217573222,0.0,0.35604395604395594,0.878362,5200,1.355135715007782,-9.972270288467406,13.0,9.0,16.0,0.015,1.0,1.0
27,200,-1015.7567525660379,65.0,0.6833013435700576,0.0,0.44450289321409775,0.870762,5400,1.3029814741015435,-10.09872703075409,25.0,23.0,21.0,0.0,1.0,1.0
28,200,-947.9610120356101,57.0,0.6722338204592901,0.0,0.8538764783180024,0.863162,5600,1.3134014204144477,-10.159473061561584,12.0,25.0,19.0,0.02,1.0,1.0
29,200,-1015.2922891007764,56.0,0.6906187624750499,0.0,0.34198473282442743,0.8555619999999999,5800,1.2704892033338546,-10.162620739936829,11.0,22.0,18.0,0.005,1.0,1.0
30,200,-805.8379382602849,92.0,0.5931477516059958,0.0,0.8405163853028796,0.847962,6000,1.3205195942521095,-10.285153794288636,23.0,37.0,28.0,0.005,1.0,1.0
31,200,-1060.3967565727055,50.0,0.7142857142857143,0.0,0.5924170616113743,0.840362,6200,1.346390424668789,-10.679158248901366,12.0,20.0,16.0,0.01,1.0,1.0
32,200,-836.620687502741,92.0,0.6033755274261603,0.0,0.8575481256332319,0.832762,6400,1.2696798402071,-10.68252905845642,15.0,33.0,31.0,0.015,1.0,1.0
33,200,-953.3084750163757,49.0,0.6824034334763949,0.0,0.7885057471264365,0.825162,6600,1.245656515955925,-10.594039034843444,11.0,19.0,15.0,0.0,1.0,1.0
34,200,-1002.3244715906176,47.0,0.7048192771084337,0.0,0.7903398926654738,0.817562,6800,1.29959243953228,-10.621017022132873,6.0,24.0,14.0,0.01,1.0,1.0
35,200,-941.8170319638099,62.0,0.6610878661087866,0.0,0.501173402868318,0.8099620000000001,7000,1.300487314760685,-10.9454594707489,24.0,15.0,28.0,0.035,1.0,1.0
36,200,-943.8106707179136,76.0,0.6514851485148515,0.0,0.5635121951219512,0.802362,7200,1.3555713433027268,-11.047554545402527,26.0,29.0,26.0,0.025,1.0,1.0
37,200,-871.2853637309423,92.0,0.6146044624746451,0.0,0.8610376398779246,0.794762,7400,1.3491084915399552,-11.369322738647462,22.0,27.0,33.0,0.005,1.0,1.0
38,200,-846.201438881946,94.0,0.6020618556701031,0.0,0.7254515599343184,0.787162,7600,1.2802417439222336,-11.520158834457398,22.0,33.0,31.0,0.005,1.0,1.0
39,200,-931.117149081006,72.0,0.6511156186612576,0.0,0.8801358234295414,0.779562,7800,1.2480285489559173,-11.525517373085021,25.0,21.0,30.0,0.03,1.0,1.0
40,200,-912.1003609547671,91.0,0.6254901960784314,0.0,0.5887664415215073,0.771962,8000,1.2528748762607576,-11.493049306869507,19.0,29.0,32.0,0.005,1.0,1.0
41,200,-748.7345033998567,123.0,0.5467775467775468,0.0,0.9094679891794409,0.764362,8200,1.2944871306419372,-11.95189003944397,23.0,45.0,39.0,0.005,1.0,1.0
42,200,-986.4304331210976,66.0,0.6732283464566929,0.0,0.5777188328912466,0.756762,8400,1.2790290182828903,-12.173927392959595,16.0,23.0,25.0,0.03,1.0,1.0
