episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
1,200,-1885.8639341848302,46.0,0.76,0.08333333333333333,0.5038095238095237,1.0,400,0.0,0.0,17.0,16.0,20.0,0.005,0.875,0.8
2,200,-1997.603436052863,19.0,0.7847976307996052,0.7758620689655172,0.5084507042253514,1.0,800,0.0,0.0,36.0,35.0,25.0,0.005,0.08823529411764706,0.3333333333333333
3,200,-1863.4004082158724,18.0,0.7705263157894737,0.6981132075471698,0.4628571428571422,1.0,1200,0.0,0.0,26.0,27.0,29.0,0.0125,0.19230769230769232,0.24528301886792453
4,200,-1903.6136965018638,37.0,0.761569416498994,0.4222222222222222,0.5680497925311201,1.0,1600,0.0,0.0,24.0,21.0,28.0,0.015,0.5,0.5185185185185185
5,200,-2144.706121237299,15.0,0.8027522935779816,0.717391304347826,0.4591836734693868,0.999962,2000,9.209793090820312,0.0027204141952097416,25.0,27.0,20.0,0.005,0.11538461538461539,0.3
6,200,-1784.9137730109246,52.0,0.7459349593495935,0.075,0.5982300884955751,0.992362,2400,4.175364105701447,-7.180876937806606,20.0,23.0,19.0,0.01,0.9047619047619048,0.8918918918918919
7,200,-1832.2792423844255,31.0,0.7613636363636364,0.46511627906976744,0.5251366120218577,0.984762,2800,2.238847469687462,-8.981686284542084,23.0,22.0,24.0,0.01,0.5238095238095238,0.45454545454545453
8,200,-1742.0001522160721,49.0,0.740625,0.10256410256410256,0.5785542168674698,0.977162,3200,2.161022559404373,-9.068543050289154,25.0,24.0,19.0,0.015,0.8636363636363636,0.9090909090909091
9,200,-1808.3517101220093,48.0,0.7477110885045778,0.4032258064516129,0.6031413612565444,0.969562,3600,2.041874659061432,-9.051946029663085,22.0,33.0,31.0,0.005,0.5,0.5333333333333333
10,200,-1816.0974700050376,30.0,0.7611630321910696,0.3548387096774194,0.4090909090909089,0.961962,4000,1.9769855117797852,-9.087042462825774,22.0,11.0,22.0,0.01,0.4444444444444444,0.5909090909090909
11,200,-1906.247674421997,35.0,0.765702891326022,0.5932203389830508,0.28422273781902546,0.954362,4400,2.4591677075624467,-11.43963846206665,27.0,36.0,28.0,0.0225,0.3142857142857143,0.5
12,200,-1777.8113214542152,35.0,0.7550585729499467,0.5098039215686274,0.5041152263374483,0.946762,4800,2.32426233291626,-13.241436448097229,27.0,24.0,30.0,0.01,0.3181818181818182,0.4827586206896552
13,200,-1963.0620286025985,28.0,0.775811209439528,0.7014925373134329,0.6124999999999996,0.939162,5200,2.472835138440132,-13.63656105041504,32.0,38.0,31.0,0.0075,0.16216216216216217,0.36666666666666664
14,200,-1944.543932299116,38.0,0.7666666666666667,0.6060606060606061,0.49115646258503387,0.931562,5600,2.511762517094612,-14.055829615592957,27.0,33.0,33.0,0.0025,0.30303030303030304,0.42424242424242425
15,200,-1923.3675057264124,57.0,0.7550047664442326,0.4126984126984127,0.43728129205921934,0.923962,6000,2.401723111271858,-14.583913712501525,34.0,32.0,32.0,0.0075,0.40625,0.7096774193548387
16,200,-1789.0168529132743,73.0,0.7328767123287672,0.12727272727272726,0.7558865248226949,0.916362,6400,2.653615424633026,-19.045884876251222,21.0,27.0,30.0,0.0075,0.8076923076923077,0.9122807017543859
17,200,-1893.1835342450954,50.0,0.7556207233626588,0.5,0.42372881355932196,0.908762,6800,2.6393500852584837,-19.605254192352294,29.0,24.0,40.0,0.005,0.34782608695652173,0.56
18,200,-1667.8372920687991,88.0,0.7061855670103093,0.1,0.44,0.901162,7200,2.6495956498384476,-19.38020037651062,32.0,24.0,37.0,0.0075,0.6956521739130435,0.972972972972973
19,200,-1895.6814957247716,34.0,0.7624365482233503,0.56,0.3729032258064515,0.893562,7600,2.652753784656525,-20.15031951904297,28.0,22.0,33.0,0.0125,0.38095238095238093,0.4482758620689655
